AOP,AOP name,Event,Event Process,Event Action,Level of Organisation,Process_merged,Ontology_ID,Object,Ontology_ID,Action,Ontology_ID,Cell Context,  ,Organ Context,Ontology_ID
Aop:6,Antagonist binding to PPARalpha leading to starvation-like body-weight loss,Event:861,Ketogenesis (production of ketone bodies),Decreased,Molecular,ketosis,D007662,,,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:38,Protein Alkylation leading to Liver Fibrosis,Event:244,Protein,Alkylation,Molecular,protein alkylation,GO:0008213,,,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:81,Increased metabolic stress contributes to abnormal foraging and leads to colony loss/failure,Event:574,Appetite and hunger,Increased,Individual,Appetite,D001066,,,increased process quality,PATO:0002304,,,,
Aop:104,Altered ion channel activity leading impaired heart function,Event:699,cardiac arrthymia,Increased,Organ,"Arrhythmias, Cardiac",D001145,,,increased object quality,PATO:0002305,,,Heart,UBERON:0000948
Aop:136,Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors,Event:868,"Tissue Degeneration, Necrosis & Atrophy",Increase,Tissue,atrophy,D001284,olfactory epithelium,UBERON:0001997,increased process quality,PATO:0002304,,,olfactory organ,UBERON:0002268
Aop:116,Cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat),Event:713,Adenomas/carcinomas (renal tubular),Increase,Tissue,"Carcinoma, Renal Cell",D002292,adenoma,D000236,increased object quality,PATO:0002305,,,renal tubule,UBERON:0009773
Aop:128,Kidney dysfunction by decreased thyroid hormone,Event:823,Cystic dilatation (renal tubule),Occurrence,Organ,Dilatation,D004106,renal tubule,UBERON:0009773,occurrence,PATO:0000057,,,kidney,UBERON:0002113
Aop:14,Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility,Event:323,Disease susceptibility,Increased,Individual,Disease Susceptibility,D004198,,,increased process quality,PATO:0002304,,,,
Aop:7,Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,Event:406,Fertility,impaired,Individual,fertility,D005298,,,decreased process quality,PATO:0002302,,,,
Aop:51,PPARalpha activation leading to impaired fertility in adult male rodents,Event:406,Fertility,impaired,Individual,fertility,D005298,,,decreased process quality,PATO:0002302,,,,
Aop:64,Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility,Event:406,Fertility,impaired,Individual,fertility,D005298,,,decreased process quality,PATO:0002302,,,,
Aop:1,Uncharacterized liver damage leading to hepatocellular carcinoma,Event:334,Hepatocelluar carcinoma,Promotion,Individual,hepatocellular carcinoma,D006528,,,increased object quality,PATO:0002305,,,liver,UBERON:0002107
Aop:117,Androgen receptor activation leading to hepatocellular adenomas and carcinomas (in mouse and rat),Event:719,Adenomas/carcinomas (hepatocellular),Increase,Tissue,"Carcinoma, Hepatocellular",D006528,adenoma,D000236,increased object quality,PATO:0002305,,,liver,UBERON:0002107
Aop:118,Chronic cytotoxicity leading to hepatocellular adenomas and carcinomas (in mouse and rat),Event:719,Adenomas/carcinomas (hepatocellular),Increase,Tissue,"Carcinoma, Hepatocellular",D006528,adenoma,D000236,increased object quality,PATO:0002305,,,liver,UBERON:0002107
Aop:1,Uncharacterized liver damage leading to hepatocellular carcinoma,Event:142,Hyperplasia,Hyperplasia,Tissue,hyperplasia,D006965,,,increased object quality,PATO:0002305,,,liver,UBERON:0002107
