"","AOP ID","KE ID","Molecular Pathways"
"1","10","405","SYNAPSES"
"2","10","281","SYNAPSES"
"3","10","471","SYNAPSES"
"4","10","312","SYNAPSES"
"5","10","405","SYNAPSES"
"6","10","16","SYNAPSES"
"7","10","281","SYNAPSES"
"8","10","312","SYNAPSES"
"9","10","16","SYNAPSES"
"10","10","471","SYNAPSES"
"11","1000","6","GO:0003714"
"12","1000","6","GO:0003714"
"13","1000","6","GO:0003714"
"14","1000","6","GO:0003714"
"15","1001","43","GO:0009653"
"16","1001","43","GO:0009653"
"17","1002","155","GO:0003824"
"18","1002","190","GO:0003824"
"19","1002","190","GO:0003824"
"20","1002","156","GO:0003824"
"21","1002","156","GO:0003824"
"22","1002","155","GO:0003824"
"23","1003","365","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"24","1003","156","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"25","1003","158","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"26","1003","365","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"27","1003","364","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"28","1003","159","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"29","1003","157","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"30","1003","155","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"31","1003","189","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"32","1003","364","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"33","1003","156","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"34","1003","363","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"35","1003","157","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"36","1003","363","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"37","1003","159","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"38","1003","158","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"39","1003","155","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"40","1003","189","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"41","1004","157","ABNORMALITY OF THE BLADDER"
"42","1004","155","ABNORMALITY OF THE BLADDER"
"43","1004","155","ABNORMALITY OF THE BLADDER"
"44","1004","157","ABNORMALITY OF THE BLADDER"
"45","1005","155","LOCOMOTORY BEHAVIOR"
"46","1005","159","LOCOMOTORY BEHAVIOR"
"47","1005","242","LOCOMOTORY BEHAVIOR"
"48","1005","334","LOCOMOTORY BEHAVIOR"
"49","1005","156","LOCOMOTORY BEHAVIOR"
"50","1005","157","LOCOMOTORY BEHAVIOR"
"51","1005","158","LOCOMOTORY BEHAVIOR"
"52","1005","155","LOCOMOTORY BEHAVIOR"
"53","1005","242","LOCOMOTORY BEHAVIOR"
