"","V1"
"16#-1",0.538686519991665
"17#-1",0.714155117441752
"21#-1",3.92835573316665
"25#-1",1.29248571597397
"25#-2",0.0270924837621733
"25#-3",2.02532681766046
"25#-4",1.1445085954317
"27#-1",0.277221311813369
"3#-1",0.117372412796033
"34#-1",0.20550238730037
"38#-1",0.659238368096876
"4#-1",3.74403079644126
"40#-1",0.402049112035817
"41#-1",0.297688437287952
"47#-1",0.209884315110354
"60#-1",0.160119474904713
"60#-2",0.00443066031582115
"60#-3",0.305390506215154
"60#-4",0.83621021278769
"7#-1",0.0343817911030806
"BPA-1",0.0876125345786839
"BPA-2",0.146890250188867
"BPA-3",0.75014754607036
"BPA-4",2.32280513606845
"BPAF-1",0.00135537882730453
"BPE-1",0.153195627176713
"BPS-1",13.8531319202448
"P8-1",7.68781253507262
"P8-2",70.9671629819864
"P8-3",25.3992535678559
"P8-4",7.96817985137512
"TCDD-1",8.56632799703372e-05
"TCDD-2",9.09845086663217e-05
"TCDD-3",2.45784562458367e-05
"TCDD-4",0.00021905336896496
