AOP,MIE,Fullname,AO-1,AO-2,AO-3,AO-4
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to decreased shelter seeking and increased predation,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",,"Increased, predation",,,
5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",,"Increase, predation","Decline, Population",,
5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",,"Increased, Population",,,
5-hydroxytryptamine transporter inhibition leading to decreased reproductive success and population decline,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",,"Decreased, Reproductive Success","Decline, Population",,
5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",,"Increased, Reproductive Success","Increased, Population",,
Abnormal role change in worker caste contributes to reduced brood care and leads to colony loss/failure,,,"impaired, Larval development","Death/Failure, Colony",,
Acetylcholinesterase inhibition leading to acute mortality,"Inhibition, Acetylcholinesterase (AchE)",,"Increased, Mortality","Decreased, Population trajectory",,
Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building,,,Reproductive failure,,,
Sustained AhR Activation leading to Rodent Liver Tumours,"Activation, Long term AHR receptor driven direct and indirect gene expression changes",,"Formation, Hepatocellular and Bile duct tumors",,,
AhR activation leading to early life stage mortality,"Activation, AhR",,"Increased, Mortality","Decreased, Population trajectory",,
AhR activation leading to hepatic steatosis,"Activation, AhR",,"Accumulation, Liver lipid",,,
AhR signalling leading to placental vascular disruption,,,,,,
AKT2 activation leading to hepatic steatosis,inflammation,systemic inflammation leading to hepatic steatosis,"Increased, Liver Steatosis",,,
Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,"Alkylation, DNA",,"Increase, Heritable mutations in offspring",,,
Alkylation of DNA in male prebiotic germ cells leading to heritable mutations,,,,,,
Alkylation of DNA leading to cancer 1,"Alkylation, DNA",,"Increase, Cancer",,,
Alpha-noradrenergic antagonism leads to reduced fecundity via delayed ovulation,"Inhibition, Antgonism of NE receptor",,"Decreased, Decreased fecundity",,,
Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat),"Increased, Binding of chemicals to 2u (serum)",,"Increase, Adenomas/carcinomas (renal tubular)",,,
Altered ion channel activity leading impaired heart function,"impaired, ion channels",,"Increased, Mortality",,,
Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP,,,Hepatotoxicity,,,
Androgen receptor agonism leading to reproductive dysfunction,"Agonism, Androgen receptor",,"Decrease, Population trajectory",,,
Androgen receptor antagonism leading to adverse effects in the male foetus (mammals),"N/A, Androgen receptor, Antagonism",,"N/A, Impairment of reproductive capacity",,,
Antagonist binding to PPAR¦Á leading to body-weight loss,"Binding of antagonist, PPAR alpha",,"Decreased, Body Weight",,,
Anti-dopaminergic activity leading to mammary adenomas and carcinomas in the SD rat,,,"Increased, Adenomas/carcinomas (mammary)",,,
Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,"Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle","Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone","Impaired recruitment , Population trajectory",,,
Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,"Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP","Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP","Impaired recruitment , Population trajectory",,,
Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,"Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment","Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment of post-translational modification (carboxylation) of osteocalcin","Impaired recruitment , Population trajectory",,,
Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse,,,"Promotion, ovarian adenomas","Promotion, ovarian granular cell tumors",,
AOP from chemical insult to cell death,Decompartmentalization,,Apoptosis,Necrosis,,
AOP from chemical insult to cell death,Direct mitochondrial inhibition,,Apoptosis,Necrosis,,
AOP from chemical insult to cell death,narcosis,,Apoptosis,Necrosis,,
Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",,"impaired, Fertility","irregularities, ovarian cycle",,
Aromatase Inhibition leading to Ovulation Inhibition and Decreased Fertility in Female Rats,"Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b","Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b","Decreased fertility, Reduced number of oocytes ovulated",,,
Aromatase inhibition leading to reproductive dysfunction,"Inhibition, Aromatase",,"Decrease, Population trajectory",,,
Aryl hydrocarbon receptor activation leading to embryolethality via cardiotoxicty,"Activation, AhR",,"Increase, Embryolethality",,,
Aryl hydrocarbon receptor activation leading to uroporphyria,"Activation, AhR",,Uroporphyria,,,
Axonal sodium channel modulation leading to acute mortality,"modulation, sodium channel",,"Increased, Mortality",,,
