Ensembl.Gene.ID,,Associated.Gene.Name,EntrezGene.ID
ENSDARG00000055504,,CD68,100000085
ENSDARG00000068493,,si-zfos-411a11.2,100000156
ENSDARG00000069105,,fgfr4,100000160
ENSDARG00000021838,,rps23,100000341
ENSDARG00000061255,,dusp3a,100000665
ENSDARG00000026225,,whsc1,100000709
ENSDARG00000035187,,abl1,100000720
ENSDARG00000053496,,gemin8,100000842
ENSDARG00000040319,,c5ar1,100000959
ENSDARG00000018228,,htr2cl1,100000981
ENSDARG00000060596,,prkaa1,100001198
ENSDARG00000038116,,gnrhr4,100001586
ENSDARG00000093745,,htr1aa,100001828
ENSDARG00000036227,,npvf,100002108
ENSDARG00000074509,,tacr2,100002125
ENSDARG00000062053,,kif1bp,100002194
ENSDARG00000019572,,taf7,100002261
ENSDARG00000067563,,kiss1rb,100002715
ENSDARG00000078888,,iqgap1,100002928
ENSDARG00000104795,,CT826376.2,100002946
ENSDARG00000044153,,ppp1cb,100003223
ENSDARG00000011496,,ppm1bb,100003481
ENSDARG00000035533,,tacr1a,100003539
ENSDARG00000069422,,nhp2,100003787
ENSDARG00000094763,,npy2r,100003852
ENSDARG00000105281,,P2RY1,100003922
ENSDARG00000037966,,thoc6,100004014
ENSDARG00000052846,,fsta,100004116
ENSDARG00000041140,,ddb2,100004133
ENSDARG00000074060,,MAP3K14_2of2,100004261
ENSDARG00000037283,,plrg1,100004402
ENSDARG00000055163,,epo,100004455
ENSDARG00000036394,,pop7,100004610
ENSDARG00000103277,,cyp24a1,100004700
ENSDARG00000087195,,rorc,100004847
ENSDARG00000016788,,zeb1a,100004929
ENSDARG00000058999,,cdx1b,100004956
ENSDARG00000067976,,ar,100005148
ENSDARG00000069100,,aldh9a1a.1,100005587
ENSDARG00000057479,,HRH2,100005590
ENSDARG00000059029,,mmp28,100005670
ENSDARG00000038618,,cpt2,100005717
ENSDARG00000038635,,magoh,100005893
ENSDARG00000068761,,mespab,100006128
ENSDARG00000045150,,csnk1e,100006858
ENSDARG00000100794,,mmp13b,100006896
ENSDARG00000090768,,zp3.2,100007710
ENSDARG00000079202,,parp2,100007906
ENSDARG00000017007,,nr4a2a,100008101
ENSDARG00000075265,,plaua,100008445
ENSDARG00000017423,,patl1,100009659
ENSDARG00000042982,,cyp2p8,100034366
ENSDARG00000042980,,cyp2p7,100034406
ENSDARG00000061974,,grhl2b,100034503
ENSDARG00000070228,,cdk6,100034507
ENSDARG00000054510,,adrb2b,100037315
ENSDARG00000054799,,rfc1,100037336
ENSDARG00000038869,,htr5a,100038775
ENSDARG00000058341,,casp8l1,100049706
ENSDARG00000104292,,ctgfb,100124530
ENSDARG00000029688,,hsp70.1,100126123
ENSDARG00000056410,,fdx1,100126232
ENSDARG00000075829,,kiss1,100134982
ENSDARG00000056795,,serpine1,100136840
ENSDARG00000059360,,srsf3b,100145909
ENSDARG00000091481,,foxc1a,100148408
ENSDARG00000076624,,ptprb,100149130
ENSDARG00000077364,,mapk9,100149273
ENSDARG00000071298,,chrm3b,100149598
ENSDARG00000068934,,cyp1b1,100150054
ENSDARG00000098320,,grm1b,100150246
ENSDARG00000070941,,igfbp6a,100150352
ENSDARG00000070903,,met,100150664
ENSDARG00000069254,,chrm4a,100150701
