"","x"
"1",10403
"2",378
"3",1472798736
"4",-1601511065
"5",1214097111
"6",-545978029
"7",432306195
"8",1420816546
"9",1474650296
"10",458646970
"11",1289677494
"12",570145343
"13",-641111116
"14",1944166132
"15",-1468989699
"16",1338278820
"17",1425215370
"18",-1715315864
"19",-1909661986
"20",1949606237
"21",-1768590001
"22",1573558110
"23",643520414
"24",1228482032
"25",2072890457
"26",257693430
"27",635086820
"28",-283819341
"29",1768523347
"30",2063005391
"31",648128741
"32",152606378
"33",-228846219
"34",-2044856712
"35",1663216237
"36",-1890960588
"37",1136782134
"38",-1044129994
"39",-1847949761
"40",2116943274
"41",-813630439
"42",-2073527457
"43",-1429820644
"44",963555105
"45",-709129608
"46",473620144
"47",575468406
"48",-1328297485
"49",1058920266
"50",2104394604
"51",1720414693
"52",-2058097757
"53",1289088491
"54",-429141504
"55",-731465001
"56",-1814695065
"57",-1293865997
"58",-1991306834
"59",1799350300
"60",1520163586
"61",755405555
"62",-369835381
"63",-1386127714
"64",-1237590794
"65",394045558
"66",902759210
"67",621953590
"68",-2114902457
"69",-1503270833
"70",1721608185
"71",-182329234
"72",1206305472
"73",-987806050
"74",1486749348
"75",1610565173
"76",-658472851
"77",-1247313480
"78",-834724987
"79",-410671054
"80",-1031339283
"81",1095337980
"82",858739386
"83",-1763508428
"84",-1471913618
"85",-1395333549
"86",939001614
"87",719325481
"88",-568566199
"89",-1460867896
"90",1973564427
"91",-736275851
"92",626325017
"93",-960755210
"94",180398790
"95",2006715855
"96",230541826
"97",-467623163
"98",-482030147
"99",1284815950
"100",1659671107
"101",801851472
"102",-1853106124
"103",-221340049
"104",-2021906571
"105",-70926462
"106",132344838
"107",967280429
"108",-250201150
"109",-1944998364
"110",148876996
"111",-1605744733
"112",1266415356
"113",-750443470
"114",2016691984
"115",-725998737
"116",-1584814307
"117",1006502531
"118",899155844
"119",-1369353784
"120",1590382603
"121",-1092490274
"122",-952867405
"123",579876940
"124",2094008024
"125",1528285101
"126",714342850
"127",384866945
"128",-207356265
"129",794178674
"130",567469440
"131",-1023662016
"132",146097086
"133",1376228322
"134",-2024738762
"135",-1768031178
"136",-642306440
"137",11850048
"138",-1673874689
"139",1877941475
"140",-1191182685
"141",-20319906
"142",-568466742
"143",-1325642488
"144",731658828
"145",-619679373
"146",1914240751
"147",2048301067
"148",-1949968247
"149",-633394264
"150",-1283042925
"151",2019544910
"152",-1392173571
"153",141311537
"154",-2053724125
"155",-1757358216
"156",102719401
"157",-1727737846
"158",1536488654
"159",-1608695545
"160",673249047
"161",929013150
"162",1969084523
"163",-214703634
"164",-1744260831
"165",703234239
"166",-327849562
"167",-979279979
"168",1117660872
"169",274289428
"170",-697347884
"171",-1624389538
"172",-541610075
"173",-1830094473
"174",1383125598
"175",1170457585
"176",481361801
"177",1849602899
"178",1641240121
"179",-2101261778
"180",735227367
"181",-20587503
"182",44395821
"183",-417844000
"184",-1834975761
"185",-289419065
"186",577982275
"187",797441236
"188",4128019
"189",26226721
"190",-186886128
"191",-711692472
"192",965246866
"193",1570571404
"194",-764161948
"195",-162452729
"196",-1165617834
"197",452708003
"198",-1054137614
"199",997601048
"200",-1093168096
"201",-802890964
"202",-2102038735
"203",-1568498560
"204",1425178740
"205",-2005221615
"206",20439413
"207",773433253
"208",232789668
"209",629375361
"210",-346197413
"211",654404653
"212",-443190141
"213",957274615
"214",-1897525221
"215",177677038
"216",-1074021679
"217",-1017007501
"218",1913039951
"219",-572807771
"220",1589952762
"221",1759565452
"222",-1816801515
"223",-223220008
"224",327813204
"225",195289825
"226",-441257224
"227",1793556933
"228",1042742785
"229",1216758292
"230",-1452857342
"231",914695014
"232",-2102182355
"233",1031319592
"234",-468540578
"235",-1517837049
"236",2089333195
"237",778988380
"238",-1765220496
"239",89264438
"240",-1845004617
"241",630989897
"242",-529354534
"243",1899043015
"244",1584262896
"245",-115288174
"246",-1749963188
"247",-965424339
"248",1350548174
"249",-454780433
"250",18031100
"251",-2082681636
"252",-45006750
"253",-1546625911
"254",-1271230110
"255",-1516278044
"256",-2126798302
"257",7689442
"258",521322595
"259",-536204193
"260",2093174877
"261",-726985180
"262",910766534
"263",-1091040099
"264",-754090013
"265",-1059340924
"266",-1064744191
"267",1712942531
"268",-852829948
"269",-288993108
"270",389912299
"271",-2060554373
"272",1923792893
"273",-485482948
"274",-899549245
"275",-1801633388
"276",-993426334
"277",-177839587
"278",1720575698
"279",1958963229
"280",-771209314
"281",437383675
"282",1527796805
"283",1817174121
"284",1923534909
"285",759213186
"286",-487932452
"287",-1042010542
"288",1382497814
"289",735386573
"290",-219107061
"291",1830506853
"292",1019550727
"293",-2053954996
"294",580332044
"295",-1792305992
"296",-1628810831
"297",437294939
"298",-1237885587
"299",-846725700
"300",132731039
"301",-879749296
"302",-2019829789
"303",-749339524
"304",-414447529
"305",1711491562
"306",-1525119192
"307",327570598
"308",-456145324
"309",-568467639
"310",476512549
"311",1538193064
"312",-334687236
"313",-221601396
"314",1230051398
"315",-1437976325
"316",2119747255
"317",-72037316
"318",-389574047
"319",-2142191066
"320",-795372498
"321",1185671387
"322",816639470
"323",-1995193262
"324",-1808688909
"325",-1211086758
"326",1222289296
"327",-2082115228
"328",-189002859
"329",-1057315522
"330",-1346569156
"331",-31794978
"332",1931746944
"333",405155996
"334",-705976995
"335",-1299459683
"336",1690795076
"337",799097976
"338",1822620265
"339",1190693955
"340",-1613910928
"341",-905516815
"342",-280674356
"343",1905483715
"344",2098977371
"345",-1465475194
"346",1770307659
"347",516047554
"348",-293012210
"349",510061858
"350",-532448897
"351",-280313695
"352",-675449340
"353",1326502451
"354",1190302130
"355",1267870695
"356",-2050085171
"357",-1221953058
"358",1219574379
"359",-296203126
"360",612109016
"361",-1165285075
"362",-1088974730
"363",-192494450
"364",-681902446
"365",2068716688
"366",2064847297
"367",-189104061
"368",-854324540
"369",-1628086296
"370",-1981351521
"371",-2132966871
"372",698206377
"373",-1374014463
"374",1735136408
"375",1262024963
"376",684638637
"377",-938256273
"378",-1705599499
"379",-920761576
"380",-1819685895
"381",-1774056982
"382",-1830552210
"383",1415396313
"384",-588110883
"385",277688243
"386",-1268209148
"387",1840670155
"388",319679035
"389",-383012440
"390",-1602613441
"391",-1871736654
"392",1619739608
"393",-1255046578
"394",-2075624292
"395",2094481258
"396",-406772138
"397",-1840329677
"398",1712132420
"399",1008127467
"400",-1855653963
"401",330358623
"402",-2040299077
"403",-1538042423
"404",-32237875
"405",700341549
"406",-810678544
"407",-1672971311
"408",-1383764334
"409",1145213301
"410",-1006949344
"411",-1001719795
"412",1109243245
"413",-1214212838
"414",482764846
"415",593165329
"416",402760922
"417",1968666546
"418",1631230362
"419",-958167378
"420",193238878
"421",1313814214
"422",-1775888248
"423",1927319893
"424",-1354304046
"425",-790437071
"426",1093209141
"427",875606135
"428",-1707082325
"429",1629794992
"430",-1757285969
"431",2029200119
"432",-438987055
"433",-1705253257
"434",1053492581
"435",-1153501684
"436",-1720056847
"437",-1223051894
"438",-1614482644
"439",-52005957
"440",-55477251
"441",1538584549
"442",-847279482
"443",-100567560
"444",-2124979588
"445",2103443992
"446",813770044
"447",201853922
"448",1069584141
"449",304623568
"450",-880836253
"451",-489007728
"452",-1463919621
"453",-317323683
"454",-1000611450
"455",812987254
"456",-901191222
"457",-1206242362
"458",-33502604
"459",-842656214
"460",-587171711
"461",301878037
"462",-2039637579
"463",62494096
"464",1300314264
"465",453115076
"466",1057767365
"467",-72669728
"468",1996098226
"469",413152091
"470",385362372
"471",-303929617
"472",-246666015
"473",-1052091594
"474",-619193049
"475",1832078599
"476",1604100411
"477",1896354236
"478",2058460795
"479",-451232870
"480",243809829
"481",815361556
"482",-2100451379
"483",184233530
"484",-1464427323
"485",-1088250504
"486",-1660268967
"487",1889480757
"488",-638617206
"489",-430942287
"490",1953149409
"491",2105935543
"492",1285258431
"493",-827329868
"494",-362902415
"495",-722631336
"496",464957938
"497",1124103016
"498",-1131165858
"499",-4179706
"500",-966406989
"501",-1885003167
"502",1754533128
"503",-857440364
"504",-1210961255
"505",-75085552
"506",433117967
"507",349577
"508",-1657303225
"509",-18740090
"510",-2052556641
"511",-833544675
"512",489238794
"513",-1370459201
"514",1562498136
"515",-822314411
"516",1712837398
"517",-993137266
"518",1615700070
"519",-1360127282
"520",-1871133679
"521",-1132424801
"522",-473207129
"523",-998064964
"524",1451194228
"525",-702987270
"526",41343160
"527",-1531828791
"528",-1426655981
"529",-2006301542
"530",1097443565
"531",-1082635194
"532",-1458638130
"533",1893948965
"534",-553370895
"535",364427005
"536",-1516037932
"537",-1579791624
"538",-353841803
"539",-17590834
"540",-844754204
"541",2029063635
"542",-2003537484
"543",-1644198326
"544",1751654566
"545",2043994294
"546",1509312670
"547",-1595405299
"548",2083503317
"549",1065272484
"550",1646430039
"551",6800210
"552",296037493
"553",-1005615947
"554",639853917
"555",-749871559
"556",-1858316543
"557",-594758357
"558",-1891859769
"559",965742717
"560",1242607075
"561",-150792684
"562",840514337
"563",273913325
"564",-700519507
"565",1453842038
"566",1581080939
"567",1847309013
"568",-270046567
"569",-1824171607
"570",-925548435
"571",99648042
"572",-722128219
"573",-499616652
"574",30589342
"575",-947633665
"576",-43679883
"577",1184341252
"578",256165845
"579",250008612
"580",-1349515526
"581",-2140851576
"582",1528051224
"583",1536134437
"584",1497225332
"585",-2075142962
"586",-1669155248
"587",1730720340
"588",1884928882
"589",1777523961
"590",1721989965
"591",-754123061
"592",71942570
"593",198220228
"594",-1214903446
"595",-1026632242
"596",-1552672399
"597",-1956862975
"598",220068876
"599",-269071241
"600",1924113135
"601",-1433380957
"602",1477296773
"603",-220750470
"604",-1532199690
"605",2133784577
"606",-1827403574
"607",-240588492
"608",-507102263
"609",1016759790
"610",1939216889
"611",-2016493234
"612",1018396856
"613",193929268
"614",-717432709
"615",1730277488
"616",-263996295
"617",-1484049643
"618",-1495515051
"619",-2047207977
"620",-2093733119
"621",-1862171362
"622",-526619156
"623",-1634469372
"624",-453619550
"625",-1394434377
"626",1475501539
