"","x","X.1"
"1","ALKYLATION PROTEIN","GO:0008213"
"2","REDUCED REPRODUCTIVE SUCCESS","GO:0000003"
"3","NA REPRODUCTIVE FAILURE","GO:0000003"
"4","INHIBITION ACTION POTENTIAL","GO:0001508"
"5","ALTERED ACTION POTENTIAL","GO:0001508"
"6","REDUCED PROSTAGLANDIN F2ALPHA SYNTHESIS OVARY","GO:0001516"
"7","DECREASED PROSTAGLANDIN F2ALPHA SYNTHESIS OVARY","GO:0001516"
"8","REDUCTION ANGIOGENESIS","GO:0001525"
"9","INCREASED ANGIOGENESIS","GO:0001525"
"10","ACTIVATION DENDRITIC CELLS","GO:0001775"
"11","STIMULATION OF ADULT LEYDIG CELLS VIA THE ADRENAL CORTICOSTERONE INCREASED GLUCOCORTICOID","GO:0001775"
"12","SUPPRESSION SUPPRESSION OF CYTOKINE PRODUCTION IN THE PRESENCE OF T-CELL ACTIVATION","GO:0001775"
"13","ACTIVATION FIBROBLASTS","GO:0001775"
"14","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION","GO:0001816"
"15","PRODUCTION OF NERVE GROWTH FACTOR EPITHELIAL IRRITATION","GO:0001816"
"16","NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION","GO:0001816"
"17","DEPLETION ENERGY RESERVES DEPLETION ENERGY RESERVES","GO:0001820"
"18","INCREASED SEROTONIN 5-HT INCREASED SEROTONIN 5-HT","GO:0001820"
"19","INCREASED SEROTONIN 5-HT","GO:0001820"
"20","INCREASE CYTOTOXICITY","GO:0001909"
"21","INCREASED PROLIFERATION ENDOTHELIAL CELLS","GO:0001935"
"22","INCREASE DOPAMINERGIC ACTIVITY","GO:0001963"
"23","DECREASED DOPAMINERGIC ACTIVITY","GO:0001963"
"24","SUPPRESSION INFLAMMATORY CYTOKINES","GO:0002534"
"25","ACTIVATION KERATINOCYTES","GO:0002534"
"26","REDUCTION RELEASE OF CIRCULATING CRUSTACEAN CARDIOACTIVE PEPTIDE","GO:0002790"
"27","IMPAIRMENT ENDOTHELIAL NETWORK","GO:0003158"
"28","REDUCED MATURATION INDUCING STEROID RECEPTOR SIGNALLING OOCYTE","GO:0003707"
"29","STABILIZATION PPAR ALPHA CO-REPRESSOR","GO:0003714"
"30","DECREASED DHB4/HSD17B4","GO:0003824"
"31","DECREASE INCORPORATION OF ACTIVE IODIDE INTO IODOTYROSINES","GO:0003824"
"32","INHIBITION 5ALPHA-REDUCTASE ACTIVITY","GO:0003824"
"33","INHIBITION PROLYL HYDROXYLASES","GO:0003824"
"34","INHIBITION UROD","GO:0003824"
