"","PODt","PODa","Chemical Class","chemicals"
"16#-1",-0.268663892036157,-1,"Neurotoxicants","PPC"
"17#-1",-0.930433967639911,-1,"Neurotoxicants","TPP"
"21#-1",0.594210808533451,1,"Neurotoxicants","DIR"
"25#-1",0.111425752146665,0.301029995663981,"Neurotoxicants","CPS"
"27#-1",-0.557173385722687,1,"Non-neurotoxicants","CLP"
"3#-1",-0.146207447422267,1,"Neurotoxicants","DEHP"
"34#-1",-0.687183128603703,-1.65757731917779,"Neurotoxicants","BaP"
"38#-1",-0.180957524357292,1.90308998699194,"Non-neurotoxicants","PFOA"
"4#-1",0.573339412360271,0,"Neurotoxicants","DZN"
"40#-1",-0.395720892728024,-0.136677139879544,"Neurotoxicants","BbF"
"41#-1",-0.526238033742799,-1.49485002168009,"Neurotoxicants","TDCPP"
"47#-1",1.14154796992856,1,"Neurotoxicants","TCS"
"60#-1",-0.795555842788513,0.397940008672038,"Non-neurotoxicants","MFA"
"7#-1",-1.46367150269484,0,"Neurotoxicants","DFC"
"70#-1",0.04925027160262,1,"Neurotoxicants","CPD"
"BPA-1",-1.05743375560217,-2,"Neurotoxicants","BPA"
"BPAF-1",-2.86793930286054,-3,"Neurotoxicants","BPAF"
"BPE-1",-0.814753631048895,-2,"Neurotoxicants","BPE"
"BPS-1",-0.678020015517386,-2,"Neurotoxicants","BPS"
"P8-1",0.885802784653186,2.30102999566398,"Neurotoxicants","CBP"
"TCDD-1",-4.06720530087399,-3,"Neurotoxicants","TCDD"
"SnO2",1.86044939159417,1.12288792582624,"Nano particles","SnO2"
"ZnO",0.904693736954232,-0.308457694189304,"Nano particles","ZnO"
"MnO2",1.25666135981221,0.0607963495134684,"Nano particles","MnO2"
"TiO2",2.40486277805795,1.09763806618014,"Nano particles","TiO2"
