"","KE ID","AOP ID","Molecular Pathways"
"1","Accumulation Acetylcholine In Synapses","Acetylcholinesterase inhibition leading to acute mortality","SYNAPSES"
"2","Stabilization Ppar Alpha Co-Repressor","Antagonist binding to PPARα leading to body-weight loss","GO:0003714"
"3","Increased Developmental Defects","Disruption of VEGFR Signaling Leading to Developmental Defects","GO:0009653"
"4","Inhibition Deiodinase 2","Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation","GO:0003824"
"5","Decreased Triiodothyronine T3 In Serum","Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"6","Reduced Posterior Swim Bladder Inflation","Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation","ABNORMALITY OF THE BLADDER"
"7","Reduced Swimming Performance","Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation","LOCOMOTORY BEHAVIOR"
"8","Reduced Anterior Swim Bladder Inflation","Deiodinase 2 inhibition leading to increased mortality via reduced anterior swim bladder inflation","ABNORMALITY OF THE BLADDER"
"9","Reduced Hearing","GSK3beta inactivation leading to increased mortality via defects in developing inner ear","PROGRESSIVE HEARING IMPAIRMENT"
"10","Inhibition Deiodinase 1","Deiodinase 1 inhibition leading to increased mortality via reduced posterior swim bladder inflation","GO:0003824"
"11","Increased Inhibitory Postsynaptic Potential","Ionotropic gamma-aminobutyric acid receptor activation mediated neurotransmission inhibition leading to mortality","GO:0060080"
"12","Induction Somatic Muscle Paralysis","Ionotropic gamma-aminobutyric acid receptor activation mediated neurotransmission inhibition leading to mortality","PARALYSIS"
"13","Increased Neuronal Synaptic Inhibition","Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality","GO:0050805"
"14","Inhibition Feeding","Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality","TUBE FEEDING"
"15","Activation Glutamate-Gated Chloride Channels","Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality","GO:0005254"
"16","Induction Pharyngeal Muscle Paralysis","Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality","PARALYSIS"
"17","Increased Thyroid-Stimulating Hormone Tsh","Enhanced hepatic clearance of thyroid hormones leading to thyroid follicular cell adenomas and carcinomas in the rat and mouse","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
