"","x"
"1","5α-reductase, inhibition"
"2","Activation of Cyp2E1"
"3","Activation, 5HT2c"
"4","Activation, AhR"
"5","Activation, Androgen receptor"
"6","Activation, beta-2 adrenergic receptor"
"7","Activation, Constitutive androstane receptor"
"8","Activation, EGFR"
"9","Activation, Hepatic nuclear receptor(s)"
"10","Activation, ionotropic GABA Receptor chloride channel"
"11","Activation, Juvenile hormone receptor"
"12","Activation, Long term AHR receptor driven direct and indirect gene expression changes"
"13","Activation, Nicotinic acetylcholine receptor"
"14","Activation, PPARα"
"15","Activation, PXR/SXR"
"16","Agonism, Androgen receptor"
"17","Antagonism, Androgen receptor"
"18","Antagonism, Estrogen receptor"
"19","Antagonism, Histamine Receptor (H2)"
"20","Binding at picrotoxin site, iGABAR chloride channel"
"21","Binding of antagonist, NMDA receptors"
"22","Binding of antagonist, PPAR alpha"
"23","Decreased, Androgen receptor activity"
"24","Decreased, PPAR-alpha activation"
"25","Decreased, PPAR-beta activation"
"26","Decreased, PPAR-gamma activation"
"27","Decreased, Uptake of inorganic iodide"
"28","Histone deacetylase inhibition"
"29","Inactivation of PPARγ"
"30","Increase, Cytotoxicity (hepatocytes)"
"31","Increase, Dopaminergic activity"
"32","Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"
"33","Inhibition, 5α-reductase activity"
"34","Inhibition, Aromatase"
"35","Inhibition, Cyclooxygenase 1 activity"
"36","Inhibition, Cyclooxygenase activity"
"37","Inhibition, Deiodinase 1"
"38","Inhibition, Deiodinase 2"
"39","Inhibition, Deiodinase 3"
"40","Inhibition, HMG-CoA reductase"
"41","Inhibition, Iodotyrosine deiodinase (IYD)"
"42","Inhibition, sodium channel"
"43","Inhibition, VegfR2"
"44","modulation, sodium channel"
"45","N/A, Androgen receptor, Antagonism"
"46","narcosis"
"47","NFE2/Nrf2 repression"
"48","prepubertal increase, Estrogen receptor (ER) activity"
"49","Reduced, PTGS1 function"
"50","Reduced, PTGS2 function"
"51","reduction in ovarian granulosa cells, Aromatase (Cyp19a1)"
"52","Serotonin 1A Receptor Agonism"
"53","Thyroperoxidase, Inhibition"
