,x
1,Increased Neuronal Synaptic Inhibition
2,Reduction Ecdysis Motoneuron Bursts
3,Activation Long Term Ahr Receptor Driven Direct And Indirect Gene Expression Changes
4,Altered Neuroanatomy
5,N/A Neuroinflammation
6,N/A Neuronal Dysfunction
7,Altered Neurophysiology
8,Impairment Learning And Memory
9,Overactivation Neuronotransmitter Release
10,Decreased Neuronal Network Function In Adult Brain
11,Decrease Histaminergic Neuron Excitation
12,Hyperpolarisation Neuron
13,Dimerization Ahr/Arnt
14,N/A Neurodegeneration
