"","17#-1","21#-1","25#-1","25#-2","25#-3","25#-4","27#-1","3#-1","34#-1","38#-1","4#-1","40#-1","41#-1","47#-1","60#-1","60#-2","60#-3","60#-4","7#-1","70#-1","BPA-1","BPA-2","BPA-3","BPA-4","BPAF-1","BPE-1","BPS-1","NP1-1","NP10-1","NP5-1","NP9-1","P8-1","P8-2","P8-3","P8-4","TCDD-1","TCDD-2","TCDD-3","TCDD-4"
"GO:0008213",6,1.19871339452327,0.192468985486218,6,6,6,6,6,6,-1.24694941151592,6,6,-0.40496777109162,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.0540627361920504,6,6,6,6,6,6,6,6,6,6
"GO:0000003",-1.38279112191633,0.641602609692499,-0.493338750445349,-1.46366680570066,0.143893164955992,-0.215373241126511,0.104045934055283,-1.08504681828244,-0.809837529401746,-0.052117839950225,0.740996718387229,0.619246286694662,-1.12622033960058,1.45837797660694,-0.797802463598342,-1.55600525126257,-0.614642597097953,0.0216457850212554,-1.60927898065001,0.428525103426051,-1.52403439889009,-0.987549938211297,-0.00638723399301619,0.362661816909592,-2.45123262586077,-0.935014483534466,-1.02191779483197,1.300849233542,0.356101791410436,0.352470134532923,1.17857007180977,0.897471835456953,1.67621633435615,1.3637809530749,0.650862257451106,-3.97975333256637,-4.23602338021074,-4.82155863275158,-3.72583039950911
"GO:0001508",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.202502408464526,6,6,6,6,6,6,6,6,1.84785370468593,6,6,6,6,6,6
"GO:0001516",6,6,6,6,6,0.108755606502079,6,6,6,6,6,6,6,6,6,6,-1.42980612459558,-0.938563893828913,6,0.261340548727661,6,6,-0.0309737402791095,6,6,6,6,6,6,6,6,6,6,1.17526631447275,6,6,6,6,6
"GO:0001525",0.495848427709395,0.641992107650248,0.0709357319153003,-0.266697888283156,-1.2934420248885,0.0082445473476037,6,6,-0.572313389804661,6,6,6,6,6,6,6,-0.832490339954219,-0.425734520221167,6,-0.591650015481789,6,-1.77097640584814,6,6,-2.87782704364816,6,-1.67166328418979,1.0278055637511,-0.26384369174262,0.390455414502016,6,6,1.61155245564038,1.56162593571318,6,-3.92483189882868,6,6,6
"GO:0001775",-1.14871345336791,0.699487612918939,0.0178291102735444,-1.49582170544089,0.244795642102888,-0.0402558487744398,-0.271162230499729,0.173307469417357,-0.414187824233338,-1.10576071441065,0.017455199772889,-0.298403012506279,-1.23631336680061,1.13622105528047,-0.60030132005106,-2.39432223007101,-0.798128365819273,0.166385371277032,-0.874393473251606,0.110681378811307,-1.33645103390724,-0.935442892645031,-0.340901053496619,0.499646312248236,-3.13776231930517,-1.52218770521869,-0.696804110473326,1.23815650542078,0.380593800899201,0.455318020812448,1.35980428754954,0.490192652647293,1.67966684962007,1.51455853898638,0.642348146368782,-4.01797491349098,-4.06309247266737,-4.61604941956366,-3.79861634188087
"GO:0001816",-1.6281658404282,0.741815051436369,0.387644152839799,-0.273568008087088,-0.200586779836957,0.0821942885210829,6,-0.24978515768141,-0.926886996102411,0.776973153816845,0.536174567104508,-0.508319299021233,-0.996612410306004,0.637499717866976,-0.23929520471522,-1.92137842161165,-0.143964714762675,0.129322908554533,-0.350940730662595,-0.147915077789161,-0.938704376205841,-0.853422466058558,0.334245128079536,0.681198588011849,-3.430244965511,-0.685953245751474,-0.904610446040362,1.20728264777811,-0.396104935787902,0.843380165389983,1.18984434979858,2.05430673270141,1.84851486906669,0.141049277968351,1.33043735705555,-4.05166961327974,-3.68405946901777,-4.75871085353043,-3.65735468463455
"GO:0001820",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-3.55597193527615
"GO:0001909",6,1.01454120307751,6,6,0.159789013450193,6,6,6,6,6,6,6,6,6,6,6,6,0.208091609275216,6,6,6,6,6,6,-2.73741166244712,6,6,6,6,6,6,6,6,1.89439279446334,6,6,-4.13260443038157,6,6
"GO:0001935",6,0.698002774032773,0.444312137536418,6,0.559717284756928,0.328279679675231,6,6,-1.0189348916927,6,0.307299348251001,0.131817757549782,6,6,-1.48378172585298,-1.7062504442912,-0.403215740153215,0.188889554804247,6,6,6,-0.970229040468993,-0.773509253208662,0.748582925880234,6,6,6,1.12728735102128,-0.889503344740043,-0.577620242493538,0.214587158679956,0.670231065436587,1.42985112083239,1.93710493935546,1.6267466206034,-3.8977223997189,6,-4.39731393834951,-3.54069330238344
"GO:0001963",6,0.747291651139072,6,6,6,0.143598128893523,6,6,6,6,6,6,6,6,6,6,6,0.0857304016444939,6,6,6,6,-0.0662735315065549,0.720754323671404,6,6,6,6,6,0.22548452238395,6,6,2.11396118004634,1.42027407068922,0.449070382766123,-3.53605572831354,6,-4.03435368467249,-3.38666470048185
"GO:0002534",6,0.398814796014245,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
