"","x"
"BINDING OF INHIBITOR NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","Binding of inhibitor nadh-ubiquinone oxidoreductase complex i"
"BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS","Binding of agonist ionotropic glutamate receptors"
"ACTIVATION PXR/SXR","Activation pxr/sxr"
"ACTIVATION AHR","Activation ahr"
"ACTIVATION NRF2","Activation nrf2"
"ACTIVATION LXR","Activation lxr"
"INHIBITION DUAL OXIDASE","Inhibition dual oxidase"
"INHIBITION IODOTYROSINE DEIODINASE IYD","Inhibition iodotyrosine deiodinase iyd"
"ACTIVATION ESTROGEN RECEPTOR","Activation estrogen receptor"
"DECREASE INTRACELLULAR PH","Decrease intracellular ph"
"ACTIVATION NR1H4","Activation nr1h4"
"SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","Suppression constitutive androstane receptor nr1l3"
"INHIBITION NA+/I- SYMPORTER NIS","Inhibition na+/i- symporter nis"
"ACTIVATION NADPH OXIDASE","Activation nadph oxidase"
