,ED50,Model,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
rxrab,0.001296901,lgaussian_up,0.000209451,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901,0.001296901
ubr7,0.004824593,lgaussian_up,0.003669414,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593,0.004824593
srsf2a,0.006062863,gaussian_up,0.039019851,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863,0.006062863
atic,0.006750536,gaussian_up,0.013352015,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536,0.006750536
rps12,0.007703973,lgaussian_up,0.013266072,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973,0.007703973
atp5g3a,0.009322387,gaussian_up,0.016790938,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387,0.009322387
ndufa6,0.010171921,gaussian_up,0.013130159,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921,0.010171921
bves,0.010343002,gaussian_up,0.047506447,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002,0.010343002
pole3,0.011897873,gaussian_up,0.001571243,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873,0.011897873
rqcd1,0.020316733,gaussian_down,0.040791305,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733,0.020316733
per2,0.047113837,gaussian_down,0.043313094,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837,0.047113837
pa2g4b,0.048616566,lgaussian_up,0.008936779,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566,0.048616566
erbb2,0.048661177,lgaussian_up,0.014884933,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177,0.048661177
C24H11orf65,0.054262206,lgaussian_up,0.017302786,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206,0.054262206
atp5j,0.071152087,gaussian_up,0.011667619,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087,0.071152087
COX5B_2of3,0.071383494,lgaussian_up,0.000916679,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494,0.071383494
prpf38b,0.076081059,gaussian_up,0.040785029,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059,0.076081059
hoxb5b,0.081738307,gaussian_up,0.005051482,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307,0.081738307
mapkapk2a,0.107608312,lgaussian_up,0.049377792,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312,0.107608312
pop7,0.127288108,lgaussian_up,0.044236918,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108,0.127288108
taf9,0.201894332,lgaussian_up,0.022835685,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332,0.201894332
insra,0.535734336,W1.4_down,0.000197881,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336,0.535734336
tuba8l2,0.675460458,gaussian_up,0.013391405,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458,0.675460458
mdm2,1.059272676,lgaussian_up,0.00157234,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676,1.059272676
mmp24,1.063353777,linlog_up,0.012366122,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777,1.063353777
csnk1e,2.620154077,linlog_down,0.026480213,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077,2.620154077
cpt1aa,4.121429911,lgaussian_up,0.006019235,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911,4.121429911
grhl2b,4.603962177,linear_down,0.024323928,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177,4.603962177
nppa,5.413691824,linear_down,0.042382785,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824,5.413691824
gabbr1a,5.836960771,linear_up,0.00733337,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771,5.836960771
psmd1,6.425259308,linlog_down,0.023661697,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308,6.425259308
gatm,7.752996997,lgaussian_up,0.024365845,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997,7.752996997
pomp,8.200938188,linlog_down,0.040199898,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188,8.200938188
rxrgb,10.21279017,lgaussian_up,0.008636464,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017,10.21279017
tpm4a,10.33137657,linear_down,0.000374071,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657,10.33137657
csnk2a2b,12.2124005,linlog_down,0.023781713,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005,12.2124005
sec61al2,13.56591872,linear_up,0.004590971,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872,13.56591872
