"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"gli1","Exp3",1.07103468551099e-09,NA,0.0425021321870828,0.994372384577796,NA,0.313963519687088,9.64,0.841167389904561,0.994372384577796,1,TRUE,8.22136482682928e-05,0.00517095253700688,0.00188088175761497,1.31396351968709,TRUE,TRUE,TRUE,TRUE,TRUE
"sod1","Exp4",8304.4362286389,0.712292999531494,NA,1.00043672124699,NA,0.146149023359478,-5.65,0.97070231170077,1.00043672124699,1,FALSE,8.57216264912191e-05,1.75637227257048e-05,0.000198675185173459,0.853850976640522,TRUE,TRUE,TRUE,TRUE,TRUE
"anxa1a","Exp4",9020.71195586551,0.68454786460747,NA,1.00001536505484,NA,0.175574723856301,-1.98,0.99648305852591,1.00001536505484,1,FALSE,9.01626301776344e-05,1.68376043659078e-05,0.000228019273702058,0.824425276143699,TRUE,TRUE,TRUE,TRUE,TRUE
"acadl","Exp4",3601.43201892002,0.697555969788748,NA,1.032528413774,NA,0.14056745160475,-6.43,0.47152109590397,1.032528413774,1,FALSE,0.000224381377046486,7.41804777113611e-05,0.00046701480381123,0.85943254839525,TRUE,TRUE,TRUE,TRUE,TRUE
"scn1lab","Exp4",1297.96695254264,0.419683777669858,NA,1.00812652546291,NA,0.145590302586061,-5.73,0.990555863358225,1.00812652546291,1,FALSE,0.000234849860960928,4.00109590923721e-05,0.00042921581209292,0.854409697413939,TRUE,TRUE,TRUE,TRUE,TRUE
"glud1a","Exp4",3203.95976810804,0.695171893489913,NA,1.02177519161402,NA,0.144159191025347,-5.92,0.780948517876781,1.02177519161402,1,FALSE,0.000237486617902247,6.98197044424293e-05,0.000503143549593246,0.855840808974653,TRUE,TRUE,TRUE,TRUE,TRUE
"cyp2y3","Exp4",1366.06359415988,0.64841436703643,NA,1,NA,0.131267919387818,-7.8,0.972444337732114,1,1,FALSE,0.00029681479992594,3.44032045535773e-05,0.00061319636448854,0.868732080612182,TRUE,TRUE,TRUE,TRUE,TRUE
"fgfr4","Exp4",1198.10552777902,0.518261874809797,NA,1,NA,0.187993365162926,-0.61,0.930592373140865,1,1,FALSE,0.000405263350465102,6.05173166857884e-05,0.000794536006576312,0.812006634837074,TRUE,TRUE,TRUE,TRUE,TRUE
"dhdhl","Exp4",1338.66015283569,0.712392783273168,NA,1.00075154105916,NA,0.138523521526633,-6.72,0.999146556215621,1.00075154105916,1,FALSE,0.000494103598761311,0.000111815224762026,0.00107978042736511,0.861476478473367,TRUE,TRUE,TRUE,TRUE,TRUE
"tmsb4x","Exp4",1376.33728393426,0.690240120030845,NA,1,NA,0.185090679105888,-0.93,0.998850617151014,1,1,FALSE,0.000636021141199355,0.00011834208970183,0.00174804416448846,0.814909320894112,TRUE,TRUE,TRUE,TRUE,TRUE
"igf2a","Exp4",787.195070663225,0.7418002075882,NA,1.01560342646205,NA,0.0978958384670709,-13.67,0.768504634528029,1.01560342646205,1,FALSE,0.000720391379682178,0.000241259435061434,0.00136537794052848,0.902104161532929,TRUE,TRUE,TRUE,TRUE,TRUE
"pck2","Exp4",779.022029328753,0.752332794903078,NA,1,NA,0.133435715444461,-7.47,0.983865315815377,1,1,FALSE,0.000884957030611229,0.000158855385841847,0.00214742857944364,0.866564284555539,TRUE,TRUE,TRUE,TRUE,TRUE
"cdc45","Exp4",105.732260531701,1.5746725659747,NA,1,NA,0.152096375269088,-4.85,0.917331540889561,1,1,TRUE,0.00299660006584437,0.00134482893458514,0.00536556270196382,1.15209637526909,TRUE,TRUE,TRUE,TRUE,TRUE
"plod1a","Exp4",73.4834030690281,1.39792227269272,NA,1.01906040937811,NA,0.185664687482362,-0.86,0.472980888730425,1.01906040937811,1,TRUE,0.00720002014805018,0.00228613685434927,0.0174450724873779,1.18566468748236,TRUE,TRUE,TRUE,TRUE,TRUE
"ube2d1a","Exp4",1.16705263682391,0.711731633415611,NA,1.01649622376314,NA,0.159782020584817,-3.87,0.173480085296696,1.01649622376314,1,FALSE,0.788531259925412,0.25752649853236,1.8033236962066,0.840217979415183,TRUE,TRUE,TRUE,TRUE,TRUE
"unga","Poly2",1.04321490437584,0.109176446233809,-0.00118239640060632,NA,NA,0.19730495369911,0.35,0.562032169328831,1.04321490437584,1,TRUE,1.43364506900479,0.272061693666104,2.62625194869067,1.19730495369911,TRUE,TRUE,TRUE,TRUE,TRUE
"pparaa","Exp4",0.0970808126981206,0.354523533178156,NA,1.00711652267369,NA,0.0815426934255856,-17.32,0.878962712134641,1.00711652267369,1,FALSE,1.51036206825524,0.563401538970093,2.43829552911472,0.918457306574414,TRUE,TRUE,TRUE,TRUE,TRUE
"sf3a1","Poly2",1.00782797165481,0.0710119002216595,-0.00081714873211387,NA,NA,0.116812230240748,-10.13,0.987928713071837,1.00782797165481,1,TRUE,1.56283825851345,0.499842412364705,2.65356853141065,1.11681223024075,TRUE,TRUE,TRUE,TRUE,TRUE
"smo","Lin",0.0133182414005656,NA,1.32640066943062,NA,NA,0.349425044788736,11.12,0.250196518451408,1.32640066943062,1,TRUE,1.72878493590951,1.04066205583204,5.67324844863906,1.34942504478874,TRUE,TRUE,TRUE,TRUE,TRUE
"pdx1","Exp4",0.586522350608396,0.482544531818757,NA,1.06034248819775,NA,0.31578091632098,9.76,0.116683732381711,1.06034248819775,1,FALSE,1.97228639591097,0.74961403424242,3.9484578040295,0.68421908367902,TRUE,TRUE,TRUE,TRUE,TRUE
"usf1l","Poly2",0.91385630662839,0.10224614702435,-0.00114991903581554,NA,NA,0.112943319975951,-10.81,0.544960102843433,0.91385630662839,1,TRUE,1.99175057927544,1.26834681049942,2.7277146077422,1.11294331997595,TRUE,TRUE,TRUE,TRUE,TRUE
"polr3h","Poly2",1.06489935273273,0.16201870348666,-0.00199654674594066,NA,NA,0.439635384878264,16.38,0.511018476382581,1.06489935273273,1,TRUE,2.38289003211152,0.605594197482118,4.24716236054694,1.43963538487826,TRUE,TRUE,TRUE,TRUE,TRUE
"plp2","Poly2",0.95818002823146,-0.0465906697740123,0.000579624178386597,NA,NA,0.154764358463114,-4.51,0.998155203168624,0.95818002823146,1,FALSE,2.50206822116495,0.329958713695862,4.80746036482315,0.845235641536886,TRUE,TRUE,TRUE,TRUE,TRUE
"nup50","Poly2",1.02600845280435,0.0658840360952808,-0.000836353730694906,NA,NA,0.198683389105518,0.49,0.357191225807271,1.02600845280435,1,TRUE,2.71442503434992,0.725108598349782,4.81819373328977,1.19868338910552,TRUE,TRUE,TRUE,TRUE,TRUE
"tcf7","Poly2",0.915815816475972,0.0933646777462272,-0.00101791567790239,NA,NA,0.176098974531902,-1.92,0.512832180277576,0.915815816475972,1,TRUE,2.8781244851916,1.62675161013224,4.16710147793869,1.1760989745319,TRUE,TRUE,TRUE,TRUE,TRUE
"nvl","Poly2",0.967471612304817,-0.0550448625486987,0.00065881037713992,NA,NA,0.209699114050713,1.57,0.325124496717675,0.967471612304817,1,FALSE,3.35323801078053,0.823471974488077,6.06199776712706,0.790300885949287,TRUE,TRUE,TRUE,TRUE,TRUE
"rxrab","Poly2",0.934417848940789,0.0890045649427367,-0.00115967633681141,NA,NA,0.234034464098918,3.77,0.21069853540731,0.934417848940789,1,TRUE,3.52852895620216,1.74725299186351,5.40604794323022,1.23403446409892,TRUE,TRUE,TRUE,TRUE,TRUE
"adcyap1b","Poly2",1.0082308006656,-0.0625593897737934,0.000799127639157195,NA,NA,0.203902773662729,1.01,0.76712258161197,1.0082308006656,1,FALSE,3.55208752690706,1.35829447145513,5.89049569748674,0.796097226337271,TRUE,TRUE,TRUE,TRUE,TRUE
"mcm4","Poly2",0.978906139612817,0.10219699612805,-0.00126078255672336,NA,NA,0.328439598863058,10.54,0.389735381759374,0.978906139612817,1,TRUE,3.57814222002079,1.41753235202988,5.87337990112239,1.32843959886306,TRUE,TRUE,TRUE,TRUE,TRUE
"anapc10","Poly2",1.09596116821424,-0.0855610859956003,0.00108117069054307,NA,NA,0.19952846945094,0.58,0.792925164962461,1.09596116821424,1,FALSE,3.61905575378733,2.03468846645971,5.27665992076397,0.80047153054906,TRUE,TRUE,TRUE,TRUE,TRUE
"tceb1a","Poly2",1.00162058922397,-0.0469919202669619,0.000624425712558528,NA,NA,0.162821307996142,-3.49,0.965776062120332,1.00162058922397,1,FALSE,3.67924176521182,1.33728587341722,6.19541978616247,0.837178692003858,TRUE,TRUE,TRUE,TRUE,TRUE
"ssbp1","Poly2",1.07438974528518,0.0648257618102543,-0.000804351602612954,NA,NA,0.303214818355013,8.95,0.281143981513683,1.07438974528518,1,TRUE,3.69968284392104,0.583381955970198,7.10766403499346,1.30321481835501,TRUE,TRUE,TRUE,TRUE,TRUE
"hsd11b2","Poly2",1.0024708816087,-0.0620210600870315,0.000735100996699932,NA,NA,0.21808465258828,2.35,0.99864249304149,1.0024708816087,1,FALSE,3.72017351011468,1.3597649522373,6.23543673806028,0.78191534741172,TRUE,TRUE,TRUE,TRUE,TRUE
