,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50,ED50,ED50,ED50
abl1,0.702616534,gaussian_up,0.004585318,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534,0.702616534
aco2,29.30438955,linear_down,0.025494896,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955,29.30438955
adcyap1b,6.713386923,linlog_up,0.001171328,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923,6.713386923
alg9,9.933037893,linear_down,0.004409951,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893,9.933037893
anxa1a,8.688049418,linear_up,0.039695971,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418,8.688049418
apoa2,17.31199011,linear_up,0.037175538,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011,17.31199011
ar,2.413899327,linear_down,0.009544853,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327,2.413899327
arnt,0.760318557,gaussian_up,0.009601413,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557,0.760318557
arntl1a,0.077518775,gaussian_up,0.013772026,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775,0.077518775
arpc1b,0.034547252,lgaussian_up,0.038809583,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252,0.034547252
asmtl,0.346836206,linlog_down,0.007415194,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206,0.346836206
atp1b1b,12.53620975,linear_up,0.034265024,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975,12.53620975
atp5e,5.361955777,linlog_up,0.020486524,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777,5.361955777
atp5g1,0.853836389,LL.3_up,0.000955902,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389,0.853836389
atp5g3b,305.9165594,linlog_up,0.005381744,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594,305.9165594
axin2,3.57800538,lgaussian_up,0.003933255,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538,3.57800538
bcas2,17.77494646,linear_up,0.034176421,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646,17.77494646
bnip4,7.796906347,linear_up,0.040420872,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347,7.796906347
cdc7,1.286728405,LL.3_down,3.44E-05,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405,1.286728405
cdk7,7.582505567,linear_down,0.010774274,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567,7.582505567
ciapin1,10.92605199,linear_up,0.026946388,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199,10.92605199
cltcb,11.18006007,linear_down,0.031883919,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007,11.18006007
cndp2,12.54924497,linear_up,0.032394253,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497,12.54924497
cox5ab,1152.28861,linlog_up,0.042050647,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861,1152.28861
COX5B_2of3,0.014225758,LL.3_up,8.48E-05,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758,0.014225758
cox7a3,17.95275018,linear_up,0.020974414,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018,17.95275018
cyp1b1,29230.2327,lgaussian_up,0.0062031,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327,29230.2327
cyp2y3,12.59250433,linear_up,0.015982115,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433,12.59250433
dao.1,22.76428689,linear_up,0.004394434,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689,22.76428689
dhrs3a,2.901439987,linear_down,0.007429203,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987,2.901439987
dpm1,0.791681223,LL.3_down,0.004233631,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223,0.791681223
edc4,4.059038742,linear_down,0.005671518,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742,4.059038742
eef1a1l1,10.67894153,linear_up,0.002850126,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153,10.67894153
eftud2,11.13779416,linear_down,0.021369091,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416,11.13779416
eif1axb,41.71117183,linlog_up,0.005589226,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183,41.71117183
ephb2b,8.190908804,linlog_down,0.008390912,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804,8.190908804
fdps,8.725500502,linear_down,0.023110308,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502,8.725500502
foxa1,0.652942715,gaussian_up,0.012876821,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715,0.652942715
foxc1a,0.683412582,lgaussian_up,0.011238759,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582,0.683412582
fth1a,14.63993181,linear_up,0.031501009,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181,14.63993181
fzr1a,8.996044939,linear_up,0.025911731,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939,8.996044939
gabbr1b,7.358517919,linear_down,0.035197884,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919,7.358517919
gamt,7.68948049,linear_up,0.017056768,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049,7.68948049
gap43,3.809390049,lgaussian_up,9.87E-05,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049,3.809390049
gapdhs,18.91595769,linear_up,0.022555756,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769,18.91595769
gpd1c,12.40035897,linear_down,0.002373097,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897,12.40035897
gstp1,4.329849461,linlog_up,0.006139614,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461,4.329849461
gstt1a,8.944059531,linear_down,0.007219116,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531,8.944059531
gtf2h4,12.51507706,linlog_down,0.003532505,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706,12.51507706
hoxb6a,0.326632081,lgaussian_up,0.038767065,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081,0.326632081
hoxb8a,10.78024856,linear_down,0.017960099,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856,10.78024856
hsd3b7,5.126090811,linear_down,0.023958271,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811,5.126090811
hspa5,9.221061261,linear_down,0.001438947,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261,9.221061261
igf1ra,6.806164406,linear_down,0.02765748,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406,6.806164406
igfbp1a,0.106169507,LL.3_up,0.001324857,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507,0.106169507
iqgap1,9.718198618,linear_down,0.00484911,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618,9.718198618
lgmn,1.067497657,lgaussian_up,0.000906076,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657,1.067497657
map2k1,3.992756001,linlog_up,0.037573617,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001,3.992756001
mapk1,0.307472814,lgaussian_up,0.004261869,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814,0.307472814
mapk11,13.64544241,linlog_up,0.044366531,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241,13.64544241
mcm5,0.000707517,LL.3_up,0.001475504,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517,0.000707517
mdka,9.492195196,linlog_up,0.009086114,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196,9.492195196
mmp14a,0.008117437,gaussian_up,0.000590237,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437,0.008117437
mmp15a,9.299139451,linear_down,0.042160584,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451,9.299139451
mphosph6,4.460231562,linear_down,0.036541306,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562,4.460231562
mvp,11.0895536,linear_up,0.001560387,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536,11.0895536
ncoa1,14.72482874,linear_down,0.0045414,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874,14.72482874
ndufa12,11.63780852,linear_down,0.029304397,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852,11.63780852
ndufb2,12.07019135,linear_up,0.03432723,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135,12.07019135
ndufb7,11.38888751,linear_up,0.040995709,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751,11.38888751
ndufs2,0.685590982,gaussian_up,0.013951439,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982,0.685590982
nfkb1,0.004201642,lgaussian_up,0.027298116,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642,0.004201642
nos1,8.136946241,linlog_down,0.018346338,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241,8.136946241
nr2f6a,0.039035266,lgaussian_up,0.049161695,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266,0.039035266
nup133,15.9021732,linear_down,0.022860783,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732,15.9021732
odc1,13.02250136,linear_up,0.040904986,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136,13.02250136
orc3,0.00894273,gaussian_up,0.011683171,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273,0.00894273
otx2,0.926437118,gaussian_up,0.008706064,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118,0.926437118
pax6b,12.2676679,linear_down,0.03281116,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679,12.2676679
pitx3,12.16332607,linear_down,0.028215798,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607,12.16332607
polr2gl,21430.19805,linlog_down,0.001801199,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805,21430.19805
pom121,0.417770223,lgaussian_up,0.001540538,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223,0.417770223
pparab,11.14708093,linear_up,0.018697362,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093,11.14708093
ppm1bb,0.038391141,LL.3_up,2.74E-05,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141,0.038391141
prkcsh,1.572470307,linlog_down,0.02398585,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307,1.572470307
prpf4,0.234593089,LL.3_down,0.000939171,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089,0.234593089
prps1a,19.79506391,linear_up,0.047864811,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391,19.79506391
psmb7,10.47788444,linear_down,0.012287451,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444,10.47788444
psmd1,0.014830973,MM.3_down,0.001838055,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973,0.014830973
psmd3,0.002920053,lgaussian_up,0.015928265,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053,0.002920053
ptpn9a,8.409146525,linear_down,0.005295254,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525,8.409146525
rae1,15.09473596,linear_up,0.007909082,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596,15.09473596
rassf1,7.03946723,linear_up,0.046873354,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723,7.03946723
rnaseh2a,12.70075308,linear_up,0.010157428,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308,12.70075308
rnf2,6646.523604,linlog_up,0.035977066,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604,6646.523604
rnps1,1.091755712,linear_down,7.76E-05,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712,1.091755712
rpl10a,11.20423525,linear_up,0.002922386,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525,11.20423525
rpl13,17.8271352,linear_up,0.031517986,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352,17.8271352
rpl21,0.149062808,lgaussian_down,0.001071606,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808,0.149062808
RPL29,12.60182498,linear_up,0.003971845,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498,12.60182498
rpl35,2963.211497,linlog_up,0.024584073,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497,2963.211497
rpl35a,14.3976919,linear_up,0.031438252,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919,14.3976919
rpl36a,11.51246532,linear_up,0.002135567,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532
rpl6,0.145597185,LL.3_up,0.002640458,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185
rpl7a,12.40365766,linear_up,0.020431544,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766
