,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
adora2aa,0.024501375,lgaussian_up,0.014112295,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375,0.024501375
adsl,0.048466798,lgaussian_up,0.002867921,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798,0.048466798
alas1,0.011849087,lgaussian_up,0.002690196,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087,0.011849087
apex1,0.005799946,lgaussian_up,0.029377723,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946,0.005799946
araf,0.01906771,lgaussian_up,0.014537607,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771,0.01906771
arntl1b,21.65388023,lgaussian_up,0.016610841,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023,21.65388023
atp6v1c1a,0.063284721,lgaussian_up,0.000126008,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721,0.063284721
atp6v1e1b,10.8993579,linear_down,0.001239179,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579,10.8993579
atp6v1f,0.007689705,lgaussian_up,0.021280127,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705,0.007689705
brk1,0.014214898,lgaussian_up,0.018629778,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898,0.014214898
btg3,0.004185249,lgaussian_up,0.010123111,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249,0.004185249
btk,0.00508252,lgaussian_up,0.01267189,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252,0.00508252
bves,0.368384712,lgaussian_up,0.002043867,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712,0.368384712
C21H18orf32,0.011595563,lgaussian_up,0.012477674,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563,0.011595563
ccnd1,0.002709371,lgaussian_up,0.008859867,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371,0.002709371
ccng1,0.02437911,lgaussian_up,0.032910082,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911,0.02437911
cdc42l,0.005959747,lgaussian_up,0.006781987,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747,0.005959747
cfl1l,0.031327296,lgaussian_up,0.00315787,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296,0.031327296
chuk,0.019603655,lgaussian_up,0.000201667,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655,0.019603655
cirh1a,0.006041745,lgaussian_up,0.010814493,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745,0.006041745
