"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"cebpz","Exp4",53119.2922714322,0.754234240630137,NA,1.0003624403226,NA,0.149405511807802,-7.02,0.981721555011708,1.0003624403226,1,FALSE,1.76863886959846e-05,4.52809280036796e-06,5.0618778912952e-05,0.850594488192198,TRUE,TRUE,TRUE,TRUE,TRUE
"fasn","Exp4",15415.0796488197,0.598358440446712,NA,1,NA,0.122085365820269,-11.87,0.857388547538353,1,1,FALSE,2.29504941885373e-05,4.93144323266299e-06,4.29859868352891e-05,0.877914634179731,TRUE,TRUE,TRUE,TRUE,TRUE
"psmb4","Exp4",28331.2612048155,1.34474174632668,NA,1,NA,0.158335127514696,-5.63,0.564196368169914,1,1,TRUE,2.30667867742637e-05,1.01041855542553e-05,4.86294692230964e-05,1.1583351275147,TRUE,TRUE,TRUE,TRUE,TRUE
"chrm2a","Exp4",13689.9391492854,0.572223248874042,NA,1.00572754134465,NA,0.129668072618487,-10.42,0.559835915548055,1.00572754134465,1,FALSE,2.76049075224039e-05,6.97609738628703e-06,5.03197255236197e-05,0.870331927381513,TRUE,TRUE,TRUE,TRUE,TRUE
"ywhag2","Exp4",7633.16877009419,0.73877656802547,NA,1.01427764588092,NA,0.128473163148271,-10.65,0.695047886111746,1.01427764588092,1,FALSE,0.000101383201558296,3.38907372844854e-05,0.000211102670599372,0.871526836851729,TRUE,TRUE,TRUE,TRUE,TRUE
"pax5","Exp4",7327.48205103065,0.666592382040864,NA,1,NA,0.211083610017352,1.27,0.508966664572249,1,1,FALSE,0.000124918321131976,2.49800730347302e-05,0.00034127440751926,0.788916389982648,TRUE,TRUE,TRUE,TRUE,TRUE
"arhgap1","Exp4",3900.54339835976,0.666889044785706,NA,1,NA,0.175352304676781,-3.18,0.624091423248625,1,1,FALSE,0.00016265708858109,2.82049529223322e-05,0.000359073935177102,0.824647695323219,TRUE,TRUE,TRUE,TRUE,TRUE
"fgfr4","Exp4",80.855562522848,2.77892854544745,NA,1.23002303048773,NA,0.876211560892694,35.43,0.9614006506173,1.23002303048773,1,TRUE,0.00432878450017453,0.00202461618432617,0.00891259777048733,1.87621156089269,TRUE,TRUE,TRUE,TRUE,TRUE
"nr4a2b","Exp4",59.6127444071845,0.708534040752502,NA,1,NA,0.116979281796806,-12.9,0.265465790958029,1,1,FALSE,0.00585821257808402,0.000639602069909104,0.0121686083170123,0.883020718203194,TRUE,TRUE,TRUE,TRUE,TRUE
"cyp2p9","Exp4",118.188154038673,0.447249348334703,NA,1.00133471905133,NA,0.329170280243724,11.93,0.422518883118195,1.00133471905133,1,FALSE,0.00769233958749472,0.00197128805228301,0.0152051307968322,0.670829719756276,TRUE,TRUE,TRUE,TRUE,TRUE
