,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
acp1,0.001391801,lgaussian_up,0.002332547,0.001391801,0.001391801,0.001391801,0.001391801,0.001391801,0.001391801,0.001391801,0.001391801,0.001391801,1.3918E-05,0.001391801,0.001391801
tceb1a,0.002480582,lgaussian_up,0.002379137,0.002480582,0.002480582,0.002480582,0.002480582,0.002480582,0.002480582,0.002480582,0.002480582,0.002480582,2.48058E-05,0.002480582,0.002480582
dhrs3b,0.003178954,lgaussian_up,0.000531634,0.003178954,0.003178954,0.003178954,0.003178954,0.003178954,0.003178954,0.003178954,0.003178954,0.003178954,3.17895E-05,0.003178954,0.003178954
vegfaa,0.004049378,lgaussian_up,0.038960665,0.004049378,0.004049378,0.004049378,0.004049378,0.004049378,0.004049378,0.004049378,0.004049378,0.004049378,4.04938E-05,0.004049378,0.004049378
rpl19,0.004323173,lgaussian_up,0.0046677,0.004323173,0.004323173,0.004323173,0.004323173,0.004323173,0.004323173,0.004323173,0.004323173,0.004323173,4.32317E-05,0.004323173,0.004323173
hoxb1a,0.004776796,gaussian_down,7.80E-05,0.004776796,0.004776796,0.004776796,0.004776796,0.004776796,0.004776796,0.004776796,0.004776796,0.004776796,4.7768E-05,0.004776796,0.004776796
foxo1b,0.004834658,lgaussian_up,2.35E-05,0.004834658,0.004834658,0.004834658,0.004834658,0.004834658,0.004834658,0.004834658,0.004834658,0.004834658,4.83466E-05,0.004834658,0.004834658
tmsb4x,0.004976593,lgaussian_up,4.21E-05,0.004976593,0.004976593,0.004976593,0.004976593,0.004976593,0.004976593,0.004976593,0.004976593,0.004976593,4.97659E-05,0.004976593,0.004976593
wnt1,0.005,gaussian_up,0.02921,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.00005,0.005,0.005
arrb2b,0.005,lgaussian_up,0.04126614,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.00005,0.005,0.005
arpc1a,0.005,lgaussian_up,0.000871867,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.00005,0.005,0.005
psmd1,0.005,gaussian_up,0.011492803,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.00005,0.005,0.005
cs,0.005710381,lgaussian_up,0.004160223,0.005710381,0.005710381,0.005710381,0.005710381,0.005710381,0.005710381,0.005710381,0.005710381,0.005710381,5.71038E-05,0.005710381,0.005710381
ndc1,0.00580813,lgaussian_up,0.000749471,0.00580813,0.00580813,0.00580813,0.00580813,0.00580813,0.00580813,0.00580813,0.00580813,0.00580813,5.80813E-05,0.00580813,0.00580813
f11r.1,0.006015776,lgaussian_up,0.000480056,0.006015776,0.006015776,0.006015776,0.006015776,0.006015776,0.006015776,0.006015776,0.006015776,0.006015776,6.01578E-05,0.006015776,0.006015776
alyref,0.006045306,lgaussian_up,5.91E-05,0.006045306,0.006045306,0.006045306,0.006045306,0.006045306,0.006045306,0.006045306,0.006045306,0.006045306,6.04531E-05,0.006045306,0.006045306
spcs1,0.006078442,lgaussian_up,5.18E-05,0.006078442,0.006078442,0.006078442,0.006078442,0.006078442,0.006078442,0.006078442,0.006078442,0.006078442,6.07844E-05,0.006078442,0.006078442
mapk12a,0.006210786,gaussian_up,8.10E-06,0.006210786,0.006210786,0.006210786,0.006210786,0.006210786,0.006210786,0.006210786,0.006210786,0.006210786,6.21079E-05,0.006210786,0.006210786
tuba8l3,0.006275038,lgaussian_up,0.002261126,0.006275038,0.006275038,0.006275038,0.006275038,0.006275038,0.006275038,0.006275038,0.006275038,0.006275038,6.27504E-05,0.006275038,0.006275038
rpl34,0.006363286,lgaussian_up,1.05E-05,0.006363286,0.006363286,0.006363286,0.006363286,0.006363286,0.006363286,0.006363286,0.006363286,0.006363286,6.36329E-05,0.006363286,0.006363286
srp72,0.006667407,gaussian_up,0.003872884,0.006667407,0.006667407,0.006667407,0.006667407,0.006667407,0.006667407,0.006667407,0.006667407,0.006667407,6.66741E-05,0.006667407,0.006667407
lpl,0.006742613,lgaussian_up,0.019717799,0.006742613,0.006742613,0.006742613,0.006742613,0.006742613,0.006742613,0.006742613,0.006742613,0.006742613,6.74261E-05,0.006742613,0.006742613
adssl,0.006866891,lgaussian_up,0.001730154,0.006866891,0.006866891,0.006866891,0.006866891,0.006866891,0.006866891,0.006866891,0.006866891,0.006866891,6.86689E-05,0.006866891,0.006866891
rps29,0.006918821,gaussian_up,0.005949525,0.006918821,0.006918821,0.006918821,0.006918821,0.006918821,0.006918821,0.006918821,0.006918821,0.006918821,6.91882E-05,0.006918821,0.006918821
bcas2,0.006930201,gaussian_up,0.017854279,0.006930201,0.006930201,0.006930201,0.006930201,0.006930201,0.006930201,0.006930201,0.006930201,0.006930201,6.9302E-05,0.006930201,0.006930201
pdhx,0.006979647,gaussian_up,0.004185645,0.006979647,0.006979647,0.006979647,0.006979647,0.006979647,0.006979647,0.006979647,0.006979647,0.006979647,6.97965E-05,0.006979647,0.006979647
gosr2,0.00702063,lgaussian_up,0.016957141,0.00702063,0.00702063,0.00702063,0.00702063,0.00702063,0.00702063,0.00702063,0.00702063,0.00702063,7.02063E-05,0.00702063,0.00702063
tfa,0.007117834,lgaussian_up,4.37E-06,0.007117834,0.007117834,0.007117834,0.007117834,0.007117834,0.007117834,0.007117834,0.007117834,0.007117834,7.11783E-05,0.007117834,0.007117834
atic,0.007162827,gaussian_up,0.008696517,0.007162827,0.007162827,0.007162827,0.007162827,0.007162827,0.007162827,0.007162827,0.007162827,0.007162827,7.16283E-05,0.007162827,0.007162827
ctnnbl1,0.007394046,gaussian_up,0.012324211,0.007394046,0.007394046,0.007394046,0.007394046,0.007394046,0.007394046,0.007394046,0.007394046,0.007394046,7.39405E-05,0.007394046,0.007394046
rps19,0.007475505,lgaussian_up,0.000195722,0.007475505,0.007475505,0.007475505,0.007475505,0.007475505,0.007475505,0.007475505,0.007475505,0.007475505,7.47551E-05,0.007475505,0.007475505
rrm2,0.007717935,gaussian_up,0.004847894,0.007717935,0.007717935,0.007717935,0.007717935,0.007717935,0.007717935,0.007717935,0.007717935,0.007717935,7.71794E-05,0.007717935,0.007717935
cacna1ba,0.007777194,gaussian_up,0.007442692,0.007777194,0.007777194,0.007777194,0.007777194,0.007777194,0.007777194,0.007777194,0.007777194,0.007777194,7.77719E-05,0.007777194,0.007777194
rbm8a,0.007888642,gaussian_up,0.003678803,0.007888642,0.007888642,0.007888642,0.007888642,0.007888642,0.007888642,0.007888642,0.007888642,0.007888642,7.88864E-05,0.007888642,0.007888642
nup107,0.007939989,gaussian_up,0.00097808,0.007939989,0.007939989,0.007939989,0.007939989,0.007939989,0.007939989,0.007939989,0.007939989,0.007939989,7.93999E-05,0.007939989,0.007939989
hsp90aa1.1,0.008252263,lgaussian_up,0.000108209,0.008252263,0.008252263,0.008252263,0.008252263,0.008252263,0.008252263,0.008252263,0.008252263,0.008252263,8.25226E-05,0.008252263,0.008252263
lipf,0.00847333,gaussian_up,0.003461376,0.00847333,0.00847333,0.00847333,0.00847333,0.00847333,0.00847333,0.00847333,0.00847333,0.00847333,8.47333E-05,0.00847333,0.00847333
riok1,0.008715435,lgaussian_up,0.000952341,0.008715435,0.008715435,0.008715435,0.008715435,0.008715435,0.008715435,0.008715435,0.008715435,0.008715435,8.71544E-05,0.008715435,0.008715435
ppp2r1a,0.009295061,lgaussian_up,0.000342218,0.009295061,0.009295061,0.009295061,0.009295061,0.009295061,0.009295061,0.009295061,0.009295061,0.009295061,9.29506E-05,0.009295061,0.009295061
fzd7a,0.009500511,lgaussian_up,2.95E-06,0.009500511,0.009500511,0.009500511,0.009500511,0.009500511,0.009500511,0.009500511,0.009500511,0.009500511,9.50051E-05,0.009500511,0.009500511
ube2na,0.009572037,lgaussian_up,0.001347018,0.009572037,0.009572037,0.009572037,0.009572037,0.009572037,0.009572037,0.009572037,0.009572037,0.009572037,9.57204E-05,0.009572037,0.009572037
pwp1,0.00959267,gaussian_up,0.013631121,0.00959267,0.00959267,0.00959267,0.00959267,0.00959267,0.00959267,0.00959267,0.00959267,0.00959267,9.59267E-05,0.00959267,0.00959267
hsp90b1,0.009938234,gaussian_up,0.012285592,0.009938234,0.009938234,0.009938234,0.009938234,0.009938234,0.009938234,0.009938234,0.009938234,0.009938234,9.93823E-05,0.009938234,0.009938234
roraa,0.010113385,lgaussian_up,0.001924962,0.010113385,0.010113385,0.010113385,0.010113385,0.010113385,0.010113385,0.010113385,0.010113385,0.010113385,0.000101134,0.010113385,0.010113385
hmox1a,0.010309517,gaussian_up,0.011606612,0.010309517,0.010309517,0.010309517,0.010309517,0.010309517,0.010309517,0.010309517,0.010309517,0.010309517,0.000103095,0.010309517,0.010309517
eif6,0.010480607,gaussian_up,0.040288763,0.010480607,0.010480607,0.010480607,0.010480607,0.010480607,0.010480607,0.010480607,0.010480607,0.010480607,0.000104806,0.010480607,0.010480607
pik3ca,0.010546808,gaussian_up,0.03904806,0.010546808,0.010546808,0.010546808,0.010546808,0.010546808,0.010546808,0.010546808,0.010546808,0.010546808,0.000105468,0.010546808,0.010546808
psmc6,0.010804443,gaussian_up,0.011490864,0.010804443,0.010804443,0.010804443,0.010804443,0.010804443,0.010804443,0.010804443,0.010804443,0.010804443,0.000108044,0.010804443,0.010804443
ndufv2,0.011117873,lgaussian_up,0.000277818,0.011117873,0.011117873,0.011117873,0.011117873,0.011117873,0.011117873,0.011117873,0.011117873,0.011117873,0.000111179,0.011117873,0.011117873
rps25,0.011402617,gaussian_up,0.006566547,0.011402617,0.011402617,0.011402617,0.011402617,0.011402617,0.011402617,0.011402617,0.011402617,0.011402617,0.000114026,0.011402617,0.011402617
psmb6,0.011539509,lgaussian_up,0.007116778,0.011539509,0.011539509,0.011539509,0.011539509,0.011539509,0.011539509,0.011539509,0.011539509,0.011539509,0.000115395,0.011539509,0.011539509
rchy1,0.011709724,lgaussian_up,0.005344549,0.011709724,0.011709724,0.011709724,0.011709724,0.011709724,0.011709724,0.011709724,0.011709724,0.011709724,0.000117097,0.011709724,0.011709724
asmtl,0.011797655,lgaussian_up,3.83E-05,0.011797655,0.011797655,0.011797655,0.011797655,0.011797655,0.011797655,0.011797655,0.011797655,0.011797655,0.000117977,0.011797655,0.011797655
wdr75,0.012102399,lgaussian_up,2.22E-06,0.012102399,0.012102399,0.012102399,0.012102399,0.012102399,0.012102399,0.012102399,0.012102399,0.012102399,0.000121024,0.012102399,0.012102399
glud1b,0.012287547,lgaussian_up,0.009033582,0.012287547,0.012287547,0.012287547,0.012287547,0.012287547,0.012287547,0.012287547,0.012287547,0.012287547,0.000122875,0.012287547,0.012287547
csnk2b,0.01376447,lgaussian_up,0.000109382,0.01376447,0.01376447,0.01376447,0.01376447,0.01376447,0.01376447,0.01376447,0.01376447,0.01376447,0.000137645,0.01376447,0.01376447
rpl21,0.015682265,lgaussian_up,0.001544892,0.015682265,0.015682265,0.015682265,0.015682265,0.015682265,0.015682265,0.015682265,0.015682265,0.015682265,0.000156823,0.015682265,0.015682265
ptena,0.016274547,lgaussian_up,8.62E-05,0.016274547,0.016274547,0.016274547,0.016274547,0.016274547,0.016274547,0.016274547,0.016274547,0.016274547,0.000162745,0.016274547,0.016274547
gtf2h4,0.017492596,lgaussian_up,9.58E-08,0.017492596,0.017492596,0.017492596,0.017492596,0.017492596,0.017492596,0.017492596,0.017492596,0.017492596,0.000174926,0.017492596,0.017492596
psmd12,0.019884341,lgaussian_up,0.001188071,0.019884341,0.019884341,0.019884341,0.019884341,0.019884341,0.019884341,0.019884341,0.019884341,0.019884341,0.000198843,0.019884341,0.019884341
msh6,0.020767286,lgaussian_up,0.015476057,0.020767286,0.020767286,0.020767286,0.020767286,0.020767286,0.020767286,0.020767286,0.020767286,0.020767286,0.000207673,0.020767286,0.020767286
cyp2aa3,0.020815372,lgaussian_up,0.049252004,0.020815372,0.020815372,0.020815372,0.020815372,0.020815372,0.020815372,0.020815372,0.020815372,0.020815372,0.000208154,0.020815372,0.020815372
rpl38,0.023222374,lgaussian_up,0.03679552,0.023222374,0.023222374,0.023222374,0.023222374,0.023222374,0.023222374,0.023222374,0.023222374,0.023222374,0.000232224,0.023222374,0.023222374
blmh,0.025692681,lgaussian_up,0.033694636,0.025692681,0.025692681,0.025692681,0.025692681,0.025692681,0.025692681,0.025692681,0.025692681,0.025692681,0.000256927,0.025692681,0.025692681
kars,0.026371809,lgaussian_up,0.005658153,0.026371809,0.026371809,0.026371809,0.026371809,0.026371809,0.026371809,0.026371809,0.026371809,0.026371809,0.000263718,0.026371809,0.026371809
plod1a,0.02711212,lgaussian_up,0.000996696,0.02711212,0.02711212,0.02711212,0.02711212,0.02711212,0.02711212,0.02711212,0.02711212,0.02711212,0.000271121,0.02711212,0.02711212
ephb2b,0.02890004,lgaussian_up,0.022465179,0.02890004,0.02890004,0.02890004,0.02890004,0.02890004,0.02890004,0.02890004,0.02890004,0.02890004,0.000289,0.02890004,0.02890004
farsb,0.029084968,lgaussian_up,0.01186952,0.029084968,0.029084968,0.029084968,0.029084968,0.029084968,0.029084968,0.029084968,0.029084968,0.029084968,0.00029085,0.029084968,0.029084968
thoc6,0.029774057,lgaussian_up,0.019864578,0.029774057,0.029774057,0.029774057,0.029774057,0.029774057,0.029774057,0.029774057,0.029774057,0.029774057,0.000297741,0.029774057,0.029774057
rdh10a,0.031016964,gaussian_up,0.003000276,0.031016964,0.031016964,0.031016964,0.031016964,0.031016964,0.031016964,0.031016964,0.031016964,0.031016964,0.00031017,0.031016964,0.031016964
meis2b,0.031424721,lgaussian_up,2.16E-05,0.031424721,0.031424721,0.031424721,0.031424721,0.031424721,0.031424721,0.031424721,0.031424721,0.031424721,0.000314247,0.031424721,0.031424721
cebpb,0.033637799,lgaussian_up,6.18E-06,0.033637799,0.033637799,0.033637799,0.033637799,0.033637799,0.033637799,0.033637799,0.033637799,0.033637799,0.000336378,0.033637799,0.033637799
cwc15,0.035180194,lgaussian_up,0.028781548,0.035180194,0.035180194,0.035180194,0.035180194,0.035180194,0.035180194,0.035180194,0.035180194,0.035180194,0.000351802,0.035180194,0.035180194
ube2e2,0.035729455,lgaussian_up,0.001863394,0.035729455,0.035729455,0.035729455,0.035729455,0.035729455,0.035729455,0.035729455,0.035729455,0.035729455,0.000357295,0.035729455,0.035729455
gtf2b,0.037344236,lgaussian_up,0.000176181,0.037344236,0.037344236,0.037344236,0.037344236,0.037344236,0.037344236,0.037344236,0.037344236,0.037344236,0.000373442,0.037344236,0.037344236
orc1,0.040219833,lgaussian_up,0.00050577,0.040219833,0.040219833,0.040219833,0.040219833,0.040219833,0.040219833,0.040219833,0.040219833,0.040219833,0.000402198,0.040219833,0.040219833
ppp1caa,0.041593097,lgaussian_up,0.00334236,0.041593097,0.041593097,0.041593097,0.041593097,0.041593097,0.041593097,0.041593097,0.041593097,0.041593097,0.000415931,0.041593097,0.041593097
ntf3,0.042335066,lgaussian_up,0.009201439,0.042335066,0.042335066,0.042335066,0.042335066,0.042335066,0.042335066,0.042335066,0.042335066,0.042335066,0.000423351,0.042335066,0.042335066
eif4ea,0.042963921,lgaussian_up,0.016104315,0.042963921,0.042963921,0.042963921,0.042963921,0.042963921,0.042963921,0.042963921,0.042963921,0.042963921,0.000429639,0.042963921,0.042963921
sdhc,0.046031553,lgaussian_up,0.001765246,0.046031553,0.046031553,0.046031553,0.046031553,0.046031553,0.046031553,0.046031553,0.046031553,0.046031553,0.000460316,0.046031553,0.046031553
wdr36,0.047319709,lgaussian_up,0.00428208,0.047319709,0.047319709,0.047319709,0.047319709,0.047319709,0.047319709,0.047319709,0.047319709,0.047319709,0.000473197,0.047319709,0.047319709
ppp2r1b,0.049483533,lgaussian_up,0.026270147,0.049483533,0.049483533,0.049483533,0.049483533,0.049483533,0.049483533,0.049483533,0.049483533,0.049483533,0.000494835,0.049483533,0.049483533
grhl2b,0.053324674,lgaussian_up,0.047552741,0.053324674,0.053324674,0.053324674,0.053324674,0.053324674,0.053324674,0.053324674,0.053324674,0.053324674,0.000533247,0.053324674,0.053324674
enoph1,0.055742707,lgaussian_up,0.049385525,0.055742707,0.055742707,0.055742707,0.055742707,0.055742707,0.055742707,0.055742707,0.055742707,0.055742707,0.000557427,0.055742707,0.055742707
adka,0.059132962,lgaussian_up,0.000995781,0.059132962,0.059132962,0.059132962,0.059132962,0.059132962,0.059132962,0.059132962,0.059132962,0.059132962,0.00059133,0.059132962,0.059132962
tpi1b,0.062118829,lgaussian_up,0.01825612,0.062118829,0.062118829,0.062118829,0.062118829,0.062118829,0.062118829,0.062118829,0.062118829,0.062118829,0.000621188,0.062118829,0.062118829
fdps,0.068588308,gaussian_up,0.009720189,0.068588308,0.068588308,0.068588308,0.068588308,0.068588308,0.068588308,0.068588308,0.068588308,0.068588308,0.000685883,0.068588308,0.068588308
calr3a,0.070575414,lgaussian_up,0.017409507,0.070575414,0.070575414,0.070575414,0.070575414,0.070575414,0.070575414,0.070575414,0.070575414,0.070575414,0.000705754,0.070575414,0.070575414
rplp0,0.073820591,gaussian_up,0.00070076,0.073820591,0.073820591,0.073820591,0.073820591,0.073820591,0.073820591,0.073820591,0.073820591,0.073820591,0.000738206,0.073820591,0.073820591
ppp2r2ab,0.075032024,lgaussian_up,0.004022113,0.075032024,0.075032024,0.075032024,0.075032024,0.075032024,0.075032024,0.075032024,0.075032024,0.075032024,0.00075032,0.075032024,0.075032024
calcrla,0.07777455,lgaussian_up,0.017320613,0.07777455,0.07777455,0.07777455,0.07777455,0.07777455,0.07777455,0.07777455,0.07777455,0.07777455,0.000777746,0.07777455,0.07777455
