,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
ndufs5,9.56E-05,MM.3_down,0.022122627,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05,9.56E-05
mapk3,0.000722341,gaussian_up,0.041461333,0.000722341,0.000722341,0.000722341,0.000722341,0.000722341,0.000722341,0.00072234,0.00072234,0.00072234,0.00072234,0.00072234,0.00072234
bnip4,0.000998305,lgaussian_up,0.001783215,0.000998305,0.000998305,0.000998305,0.000998305,0.000998305,0.000998305,0.00099831,0.00099831,0.00099831,0.00099831,0.00099831,0.00099831
chek1,0.001014474,MM.3_up,0.000904903,0.001014474,0.001014474,0.001014474,0.001014474,0.001014474,0.001014474,0.00101447,0.00101447,0.00101447,0.00101447,0.00101447,0.00101447
psmd9,0.002069956,lgaussian_up,0.019432324,0.002069956,0.002069956,0.002069956,0.002069956,0.002069956,0.002069956,0.00206996,0.00206996,0.00206996,0.00206996,0.00206996,0.00206996
gclm,0.003783587,MM.3_down,0.007682965,0.003783587,0.003783587,0.003783587,0.003783587,0.003783587,0.003783587,0.00378359,0.00378359,0.00378359,0.00378359,0.00378359,0.00378359
fdps,0.003878152,lgaussian_up,0.000852962,0.003878152,0.003878152,0.003878152,0.003878152,0.003878152,0.003878152,0.00387815,0.00387815,0.00387815,0.00387815,0.00387815,0.00387815
hnf4a,0.00468055,lgaussian_up,0.000566523,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055,0.00468055
pex19,0.005520236,lgaussian_up,0.00240134,0.005520236,0.005520236,0.005520236,0.005520236,0.005520236,0.005520236,0.00552024,0.00552024,0.00552024,0.00552024,0.00552024,0.00552024
rpl22,0.007642058,lgaussian_up,0.014439409,0.007642058,0.007642058,0.007642058,0.007642058,0.007642058,0.007642058,0.00764206,0.00764206,0.00764206,0.00764206,0.00764206,0.00764206
aldh1a3,0.013442804,gaussian_up,0.000400894,0.013442804,0.013442804,0.013442804,0.013442804,0.013442804,0.013442804,0.0134428,0.0134428,0.0134428,0.0134428,0.0134428,0.0134428
rpl7,0.014894939,lgaussian_up,0.000104801,0.014894939,0.014894939,0.014894939,0.014894939,0.014894939,0.014894939,0.01489494,0.01489494,0.01489494,0.01489494,0.01489494,0.01489494
fsta,0.015013929,lgaussian_up,0.00043332,0.015013929,0.015013929,0.015013929,0.015013929,0.015013929,0.015013929,0.01501393,0.01501393,0.01501393,0.01501393,0.01501393,0.01501393
dnajc1,0.018838169,lgaussian_up,3.57E-06,0.018838169,0.018838169,0.018838169,0.018838169,0.018838169,0.018838169,0.01883817,0.01883817,0.01883817,0.01883817,0.01883817,0.01883817
psma8,0.018969999,lgaussian_up,0.047181707,0.018969999,0.018969999,0.018969999,0.018969999,0.018969999,0.018969999,0.01897,0.01897,0.01897,0.01897,0.01897,0.01897
fgfr3,0.023509386,lgaussian_up,0.005537705,0.023509386,0.023509386,0.023509386,0.023509386,0.023509386,0.023509386,0.02350939,0.02350939,0.02350939,0.02350939,0.02350939,0.02350939
pgm1,0.028218102,lgaussian_up,0.030815161,0.028218102,0.028218102,0.028218102,0.028218102,0.028218102,0.028218102,0.0282181,0.0282181,0.0282181,0.0282181,0.0282181,0.0282181
ppat,0.028688208,lgaussian_up,0.000265948,0.028688208,0.028688208,0.028688208,0.028688208,0.028688208,0.028688208,0.02868821,0.02868821,0.02868821,0.02868821,0.02868821,0.02868821
ywhabb,0.03022451,lgaussian_up,0.010317926,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451,0.03022451
bmp2b,0.031074137,lgaussian_up,0.015245701,0.031074137,0.031074137,0.031074137,0.031074137,0.031074137,0.031074137,0.03107414,0.03107414,0.03107414,0.03107414,0.03107414,0.03107414
creb3l3l,0.03657655,lgaussian_up,0.032843039,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655,0.03657655
qdprb1,0.04750884,lgaussian_up,0.019867419,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884,0.04750884
taf7,0.059100718,gaussian_down,0.039302415,0.059100718,0.059100718,0.059100718,0.059100718,0.059100718,0.059100718,0.05910072,0.05910072,0.05910072,0.05910072,0.05910072,0.05910072
apoeb,0.068198721,gaussian_up,0.003164798,0.068198721,0.068198721,0.068198721,0.068198721,0.068198721,0.068198721,0.06819872,0.06819872,0.06819872,0.06819872,0.06819872,0.06819872
acat1,0.070602654,gaussian_up,0.003243117,0.070602654,0.070602654,0.070602654,0.070602654,0.070602654,0.070602654,0.07060265,0.07060265,0.07060265,0.07060265,0.07060265,0.07060265
cyp26a1,0.079009156,gaussian_up,0.035872741,0.079009156,0.079009156,0.079009156,0.079009156,0.079009156,0.079009156,0.07900916,0.07900916,0.07900916,0.07900916,0.07900916,0.07900916
serpine2,0.080358489,lgaussian_up,0.011693443,0.080358489,0.080358489,0.080358489,0.080358489,0.080358489,0.080358489,0.08035849,0.08035849,0.08035849,0.08035849,0.08035849,0.08035849
cebpb,0.083748659,lgaussian_up,0.044264132,0.083748659,0.083748659,0.083748659,0.083748659,0.083748659,0.083748659,0.08374866,0.08374866,0.08374866,0.08374866,0.08374866,0.08374866
rpl15,0.139023238,lgaussian_up,0.007285549,0.139023238,0.139023238,0.139023238,0.139023238,0.139023238,0.139023238,0.13902324,0.13902324,0.13902324,0.13902324,0.13902324,0.13902324
mre11a,0.356083318,lgaussian_up,1.52E-05,0.356083318,0.356083318,0.356083318,0.356083318,0.356083318,0.356083318,0.35608332,0.35608332,0.35608332,0.35608332,0.35608332,0.35608332
