gene.id,mod.name,b,c,d,e,f,SDres,AIC.model,lof.p,ctrl.mod,ctrl.mean,adv.incr,bmd,bmdl,bmdu,bmr,conv.pass,hd.pass,CI.pass,ld.pass,all.pass
ahcyl1,Exp4,1625.773846,0.676333842,NA,1.048437465,NA,0.119358284,-9.7,0.765599274,1.048437465,1,FALSE,0.000419585,0.000173457,0.000747271,0.880641716,TRUE,TRUE,TRUE,TRUE,TRUE
gars,Exp4,1553.88619,0.622675103,NA,1.035075944,NA,0.165249243,-3.19,0.265835695,1.035075944,1,FALSE,0.000462918,0.000146111,0.00090038,0.834750757,TRUE,TRUE,TRUE,TRUE,TRUE
atp2a2b,Exp4,553.4977353,0.724467208,NA,1,NA,0.13592236,-7.1,0.92971488,1,1,FALSE,0.001220664,0.000278822,0.002705602,0.86407764,TRUE,TRUE,TRUE,TRUE,TRUE
hspd1,Exp4,408.8082649,0.766953955,NA,1.020819264,NA,0.087295683,-15.96,0.426495034,1.020819264,1,FALSE,0.001482304,0.00055983,0.002754,0.912704317,TRUE,TRUE,TRUE,TRUE,TRUE
calcrla,Exp4,116.2704499,1.555167602,NA,1.046823797,NA,0.268127472,6.49,0.692206856,1.046823797,1,TRUE,0.004122444,0.001287109,0.010142932,1.268127472,TRUE,TRUE,TRUE,TRUE,TRUE
polr3h,Exp4,196.1603249,0.578676748,NA,1.057461787,NA,0.201859514,0.81,0.863215066,1.057461787,1,FALSE,0.004447313,0.001604197,0.008563922,0.798140486,TRUE,TRUE,TRUE,TRUE,TRUE
eif4e1c,Exp4,92.00357719,0.711545837,NA,1.051271812,NA,0.155855414,-4.36,0.266142651,1.051271812,1,FALSE,0.012488382,0.004703402,0.033011966,0.844144586,TRUE,TRUE,TRUE,TRUE,TRUE
cenpe,Exp4,7.248167302,0.622992343,NA,1,NA,0.097545789,-13.74,0.964612292,1,1,FALSE,0.039284239,0.00949172,0.07171197,0.902454211,TRUE,TRUE,TRUE,TRUE,TRUE
pgam1b,Exp4,5.875248905,1.505012153,NA,1.062711986,NA,0.280555434,7.39,0.337375921,1.062711986,1,TRUE,0.088629482,0.02142848,0.266714803,1.280555434,TRUE,TRUE,TRUE,TRUE,TRUE
rpl35a,Poly2,1.028809346,0.071520896,-0.000739816,NA,NA,0.115831485,-10.3,0.747334986,1.028809346,1,TRUE,1.232449163,0.195396742,2.292887829,1.115831485,TRUE,TRUE,TRUE,TRUE,TRUE
prpf6,Poly2,1.004571536,0.055494569,-0.000558902,NA,NA,0.072926638,-19.55,0.854713973,1.004571536,1,TRUE,1.247415392,0.404341724,2.105463502,1.072926638,TRUE,TRUE,TRUE,TRUE,TRUE
ednrab,Poly2,0.940723527,0.16388274,-0.001626361,NA,NA,0.213655783,1.94,0.356162159,0.940723527,1,TRUE,1.693886076,0.850102603,2.552578277,1.213655783,TRUE,TRUE,TRUE,TRUE,TRUE
