"","Num","POD","SD","%","Genes","KE"
"GO:0009653","2","0.00151929429145508","0.0355303503258077","40","foxa1, foxa2","INCREASED DEVELOPMENTAL DEFECTS"
"VENTRICULAR ARRHYTHMIA","2","0.00160808258078526","0.0196059831393007","28.57","bmp2a, raf1b","OCCURRENCE CARDIAC ARRHYTHMIA"
"GO:0008015","2","0.00161809214487062","0.0951730190300429","66.67","gli2a, tnnt2a","INSUFFICIENCY VASCULAR"
"ABNORMALITY OF THE WING OF THE ILIUM","2","0.00183007809975859","0.0302754495616747","33.33","hdac6, sec23a","INCREASED DEFORMED WING VIRUS LEVELS"
"ABNORMAL PROLACTIN LEVEL","3","0.0130475293360537","0.556249607702314","37.5","foxa2, gli2a, pik3ca","DECREASED PROLACTIN"
"ABNORMAL HYPOTHALAMUS PHYSIOLOGY","3","0.0132521904249797","0.554470832258517","33.33","fgf8a, gli2a, pik3ca","REDUCED PROSTAGLANDIN E2 CONCENTRATION HYPOTHALAMUS; DECREASE E2 BLOOD CONCENTRATIONS AT HYPOTHALAMUS"
"ANTERIOR PITUITARY AGENESIS","3","0.0138784946939568","0.571713948007191","60","foxa2, gata6, gli2a","INCREASED SECRETION OF LH FROM ANTERIOR PITUITARY"
"REGULATION OF ATPASE ACTIVITY","3","0.0151219310042571","0.549566343469141","18.75","atp1b3b, gtf2h4, tnnt2a","INHIBITION CA++ ATPASE"
"ABNORMAL PLEURA MORPHOLOGY","3","0.0284247765066487","0.567492536521845","37.5","bmp2a, calcrla, ccnd1","PERSISTENT CYTOTOXICITY PLEURA OR PERITONEUM"
"IMMUNOLOGIC HYPERSENSITIVITY","4","0.0301543153907288","0.38535409690015","17.39","fgf8a, gli2a, ptger2a, rbm8a","INCREASE ALLERGIC RESPIRATORY HYPERSENSITIVITY RESPONSE"
"GO:0005125","4","0.031795319369277","0.508392093845407","16","bmp1a, bmp2a, inhbb, wnt1","ACTIVATION INFLAMMATORY CYTOKINES CHEMOKINES CYTOPROTECTIVE GENE PATHWAYS"
"G TGF BETA SIGNALING PATHWAY","7","0.0323415548920595","0.246570666956034","10.29","bmp2a, id1, inhbb, myca, mycb, rps6kb1b, tfdp1a","ACTIVATION TGF-BETA PATHWAY; UP REGULATION TGFBETA1 EXPRESSION"
"NEUROINFLAMMATION","2","0.0361698623261484","1.0319182053315","16.67","chuk, jun","N/A NEUROINFLAMMATION"
"GO:0030545","6","0.0381775750664335","0.306534290990213","10.17","bmp1a, bmp2a, fgf8a, inhbb, nppa, wnt1","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR"
"DECREASED PLASMA CARNITINE","2","0.0420000676974904","1.08576859216194","28.57","acadm, dldh","REDUCTION PLASMA VITELLOGENIN CONCENTRATIONS; INCREASE PLASMA VITELLOGENIN CONCENTRATIONS; DECREASED RENAL PLASMA FLOW; INCREASED PLASMA TYROSINE; DECREASED PROSTAGLANDIN F2ALPHA CONCENTRATION PLASMA"
"GO:0004738","2","0.0420416516114751","1.08607249151802","50","dldh, pdhx","INCREASED INDUCTION OF PYRUVATE DEHYDROGENASE PDH; INHIBITION PYRUVATE DEHYDROGENASE KINASE PDK ENZYME"
"HEPATOCELLULAR CARCINOMA","2","0.0433671895368131","0.992159826914247","15.38","bmp2a, pik3ca","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
"SANDAL GAP","2","0.0433671895368131","0.992159826914247","40","bmp2a, pik3ca","N/A GAP"
"CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R","2","0.0442820139092977","0.985749136076004","15.38","fgf8a, pik3ca","INCREASED IGF-1 MOUSE"
"GO:0030520","2","0.0517790215722427","1.11917993083322","25","ar, foxa1","ACTIVATION ESTROGEN RECEPTOR ALPHA"
