"","Num","POD","SD","%","Genes","KE"
"ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY","3","0.0254261428475102","0.968199982680128","23.08","kif1bp, ntrk1, zeb1b","INCREASED ACCUMULATION OF ALPHA2U MICROGLOBULIN PROXIMAL TUBULAR EPITHELIUM"
"GO:0004970","3","0.057315379501662","0.882664414522418","50","gria1b, gria3b, grik1b","BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS"
"GO:0050805","3","0.11839572171839","0.935675574317255","17.65","gnai1, gria1b, ptena","INCREASED NEURONAL SYNAPTIC INHIBITION"
"PYRUVATE METABOLIC PROCESS","4","0.209944005857311","0.540468157447136","7.14","arnt, fbp1b, ndc1, pom121","INHIBITION 4-HYDROXYPHENYL-PYRUVATE DIOXYGENASE HPPD ENZYME"
"GO:0006839","4","0.260704490839996","0.707592452667178","8.7","atp5c1, atp5h, kif1bp, ywhah","REDUCTION CHOLESTEROL TRANSPORT IN MITOCHONDRIA"
"GO:0045333","4","0.274645481224068","0.690033888108329","5.56","cs, mt-co2, ndufb10, sirt3","INCREASE OXIDATIVE METABOLISM"
"GO:0006898","4","0.446344970583367","0.636658728510787","10.53","apoeb, drd4b, gria1b, rac1a","REDUCTION VITELLOGENIN ACCUMULATION INTO OOCYTES AND OOCYTE GROWTH/DEVELOPMENT; INCREASED LDL UPTAKE"
"GO:0030154","7","0.450577907911282","0.290800094422382","10.77","foxa3, kif1bp, lyn, pparda, rxrba, rxrgb, sox1b","DIFFERENTIATION OF MYOFIBROBLAST"
"INCREASED SUSCEPTIBILITY TO FRACTURES","5","0.50008060004091","0.136400195825013","14.29","chrna1, dkc1, ntrk1, ptena, srsf2a","INCREASED DISEASE SUSCEPTIBILITY"
"REGULATION OF WNT SIGNALING PATHWAY","3","0.591187937287593","0.626159354154126","3.8","apoeb, csnk1g2a, psmb6","INHIBITION WNT PATHWAY"
"G GLUTATHIONE METABOLISM","2","0.602901884898786","0.753862485778786","25","gclm, rrm2","DEPLETION GSH"
"GO:0022414","4","0.635107661074704","0.0280391830203407","11.11","ar, aurka, brca2, fbxo5","INCREASED REPRODUCTIVE SUCCESS"
"ABNORMAL NASAL MORPHOLOGY","13","0.640417562878731","0.158339516200435","8.39","atrx, dhdds, kif1bp, orc6, ptena, ptpn11a, rac1a, rpl26, rps23, stag1b, strada, tfap2b, tmco1","INCREASE SITE OF CONTACT NASAL TUMORS"
"GO:0007059","6","0.696626817930431","0.303365780622865","13.64","atrx, bc2, cdc20, fbxo5, kpnb1, ndc1","INCREASED CHROMOSOME MISSEGGREGATION"
"GO:0007568","9","0.915236271934471","0.0859546254089833","10.47","brca2, fbxo5, gclm, ntrk1, P2RY1, pdx1, ptena, rela, sirt3","ACCELERATED AGING"
