"","Num","POD","SD","%","Genes","KE"
"GO:0004620","2","8.33744192153685e-05","0.065198626126909","40","hmox1a, lpl","INHIBITION PHOSPHOLIPASE A"
"GO:0016055","3","8.67945497594956e-05","0.0741691697012931","13.04","csnk2b, fzd7a, wnt1","ALTERATION WNT PATHWAY"
"GO:0050663","3","9.60063352446122e-05","0.128575305008263","10","kars, lpl, tmsb4x","RELEASE CYTOKINE"
"ABNORMAL OVARIAN MORPHOLOGY","4","0.000158261798882863","0.0836592961416621","10.81","nup107, pik3ca, ptena, sdhc","PROMOTION OVARIAN GRANULAR CELL TUMORS; DECREASED OVARIAN E2; PROMOTION OVARIAN ADENOMAS"
"ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION","4","0.000210767955211325","0.219366979384424","36.36","hsd3b7, lipf, lpl, nup107","DECREASED CHOLESTEROL; PERTURBATION OF CHOLESTEROL"
"GO:0060291","2","0.000216871632538698","0.08817274658404","14.29","ephb2b, ptena","DECREASED LONG-TERM POTENTIATION LTP"
"ABNORMALITY OF THE ENDOMETRIUM","5","0.000217661001463131","0.0489579215816277","45.45","msh6, pik3ca, ptena, sdhc, thoc6","INCREASED HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM; INCREASE HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM; INCREASED ADENOSQUAMOUS CARCINOMAS OF ENDOMETRIUM"
"SMOOTH MUSCLE CELL PROLIFERATION","3","0.000235429572816211","0.153416796280767","11.54","calcrla, hmox1a, ptena","HYPERTROPHY/HYPERPLASIA SMOOTH MUSCLE"
"CYTOPLASMIC RIBOSOMAL PROTEINS","11","0.000241571170530789","0.0593847656672613","7.64","rpl19, rpl21, rpl34, RPL37A, rpl38, rplp0, rps19, rps25, rps29, rps3, rps4x","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"CTOME CELLULAR RESPONSE TO HYPOXIA","7","0.000274149590702174","0.127113457662363","16.28","psmb6, psmc6, psmd1, psmd12, psmd14, psmd8, vegfaa","N/A HYPOXIA"
"GO:0001909","2","0.000296451007756762","0.546581469203854","33.33","arrb2b, crk","INCREASE CYTOTOXICITY"
"GO:0006898","6","0.000306188467333887","0.135468399188933","15.79","arrb2b, calcrla, hsp90b1, ntf3, rac1a, tfa","REDUCTION VITELLOGENIN ACCUMULATION INTO OOCYTES AND OOCYTE GROWTH/DEVELOPMENT; INCREASED LDL UPTAKE"
"TUBE FEEDING","4","0.000308667899139459","0.135524113569313","23.53","csnk2b, ppp2r1a, ppp2r1b, psat1","INHIBITION FEEDING"
"SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR","3","0.00031130641796981","0.219270496973397","8.82","crk, pik3ca, ptena","OCCURRENCE CYTOPLASMIC VACUOLIZATION HEPATOCYTE; OCCURRENCE BALLOONING DEGENERATION HEPATOCYTE"
"REGULATION OF WNT SIGNALING PATHWAY","8","0.00032745728812598","0.0979624922314548","10.13","ppp2r1a, ppp2r1b, psmb6, psmc6, psmd1, psmd12, psmd14, psmd8","INHIBITION WNT PATHWAY"
"HYPERACTIVITY","7","0.000333417523022854","0.128621959298094","14","atrx, cacna1ba, msh6, pik3ca, ppp2r1a, ppp2r1b, psmd12","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"LIPID ACCUMULATION IN HEPATOCYTES","4","0.000369248747522557","0.125092174241713","12.5","adka, aldob, farsb, lipf","INCREASE PRENEOPLASTIC FOCI HEPATOCYTES"
"GO:0001816","14","0.000371325722281737","0.0780899676496966","11.67","adcyap1b, arrb2b, cd40, cebpb, f11r.1, hmox1a, kars, lipf, lpl, rac1a, roraa, rps3, tfa, tmsb4x","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION; PRODUCTION OF NERVE GROWTH FACTOR  EPITHELIAL IRRITATION; NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION"
"GO:0019882","6","0.000377068957185894","0.148052638311794","10.17","psmb6, psmc6, psmd1, psmd12, psmd14, psmd8","GENERATION OF NOVEL EPITOPES  ANTIGEN PRESENTATION"
"GO:1903009","6","0.000377068957185894","0.148052638311794","17.65","psmb6, psmc6, psmd1, psmd12, psmd14, psmd8","DECREASE GTPCH-1"
"GO:0006633","3","0.000382605225857089","0.381318389661385","10.34","eif6, lpl, nr1h3","SYNTHESIS DE NOVO FA; INCREASED DE NOVO FA SYNTHESIS; INCREASED DE NOVO FA SYNTHESIS"
"MORTALITY AGING","6","0.000386777522954501","0.16554355569091","23.08","atrx, calcrla, lipf, msh6, pik3ca, rbm8a","REDUCED FITNESS OR EVEN MORTALITY ACIDOSIS HYPOVOLEMIC SHOCK AND ORGAN DYSFUNCTION; INCREASE MORTALITY; INCREASED MORTALITY"
"BREAST CANCER PATHWAY","5","0.000404045912546026","0.26602138313692","4.39","csnk2b, pik3ca, ptena, tp53, wnt1","N/A BREAST CANCER"
"GO:0006412","13","0.000420929937249593","0.0676449096362233","12.04","eef1a1l1, eif3ea, eif4ea, eif6, rpl19, rpl21, rpl34, RPL37A, rpl38, rps19, rps29, rps3, rps4x","ALTERED PROTEIN PRODUCTION"
"ABNORMALITY OF THE OVARY","7","0.000446465869238859","0.15011349686199","12.28","msh6, nup107, pik3ca, ptena, sdhc, thoc6, tp53","REDUCED PROSTAGLANDINS OVARY"
"GO:0007249","6","0.000461171357990325","0.186581971123719","13.95","cd40, hmox1a, rock1, roraa, tfa, ube2na","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB"
"GO:0042701","5","0.000478875174163222","0.24148007398836","14.71","anapc10, hsp90aa1.1, mapk12a, pik3ca, plk1","DECREASED PROGESTERONE FROM CORPUS LUTEUM"
"LOCOMOTORY BEHAVIOR","3","0.000537547289936959","0.455628478659995","4.84","aph1b, arrb2b, ptena","REDUCED SWIMMING SPEED; REDUCED SWIMMING PERFORMANCE"
"ABNORMAL NASAL MORPHOLOGY","19","0.000558080546695484","0.0499880015524865","12.26","atic, atrx, cdc42, ctsk, exosc2, hoxb1a, pik3ca, plod1a, ppp2r1a, ppp2r1b, psat1, psmd12, ptena, rac1a, rbm8a, rps19, rps29, tfap2a, thoc6","INCREASE SITE OF CONTACT NASAL TUMORS"
"GO:0043542","7","0.000564753781351517","0.181025682896503","20","cd40, csnk2b, hmox1a, pik3ca, ptena, tek, tmsb4x","INCREASED MIGRATION ENDOTHELIAL CELLS"
"JNK CASCADE","3","0.000577947222388021","0.488454336186593","13.64","cdc42, tfa, ube2na","ACTIVATION JNK"
"GO:0042116","3","0.000595696645893074","0.331808007409238","20","kars, nr1h3, roraa","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS"
"FAT MALABSORPTION","2","0.000607134855687763","0.604739671993519","50","hsd3b7, lipf","INDUCTION MICROVESICULAR FAT"
"GO:0045444","7","0.000642158216742089","0.213670553229258","17.07","adrb1, arntl1a, cebpb, foxo1b, lpl, roraa, wnt1","INCREASED ADIPOGENESIS"
"GO:0044414","3","0.000679223330467729","0.342058972930853","7.5","calr3a, rac1a, tuba8l3","SUPPRESSION IMMUNE SYSTEM"
"GO:0001775","23","0.000728178212896824","0.0462222797063368","11.73","arrb2b, cat, cd40, cdc42, cebpb, csnk2b, f11r.1, hmox1a, kars, msh6, nme2b.2, nr1h3, pik3ca, psmd1, psmd12, psmd14, rac1a, rock1, roraa, rps3, tfa, tp53, wnt1","ACTIVATION DENDRITIC CELLS"
"GO:0006954","16","0.000767508571008184","0.0720528303746265","13.68","adcyap1b, calcrla, cd40, cebpb, f11r.1, hmox1a, kars, lipf, lpl, nr1h3, pparab, rac1a, roraa, rps19, tek, tmsb4x","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"PURE RED CELL APLASIA","3","0.000778315858038636","0.597190883323675","15","rps19, rps29, tp53","N/A METHEMOGLOBINEMIA DECREASED HEMOGLOBIN HEMATOCRIT RED BLOOD CELL NUMBER"
"REGULATION OF ATPASE ACTIVITY","5","0.000786357372363662","0.248069395593839","31.25","aldob, gtf2h4, msh6, tfa, tp53","INHIBITION CA++ ATPASE"
"GO:0030163","19","0.00085656141785733","0.0635509450958396","12.42","anapc10, arntl1a, arrb2b, cdc20, ctsk, foxo1b, hsp90b1, plk1, psmb6, psmc6, psmd1, psmd12, psmd14, psmd8, ptena, rchy1, rock1, usp14, wnt1","INCREASED CATABOLISM OF MUSCLE PROTEIN"
"SOMATIC MUTATION","6","0.000859367266217482","0.230611349694139","7.14","ar, foxo1b, msh6, pik3ca, ptena, tp53","INCREASED INDUCED MUTATIONS IN CRITICAL GENES; INCREASE MUTATIONS; INCREASE MUTATIONS IN CRITICAL GENES"
"ABNORMAL CIRCULATING ESTROGEN LEVEL","3","0.000913927646220446","0.577393626209884","21.43","nup107, pik3ca, tp53","INCREASED CIRCULATING ESTROGEN LEVELS"
"ABNORMAL FORM OF THE VERTEBRAL BODIES","6","0.000925119791943481","0.231581654275107","18.18","atrx, bmp1a, orc1, ptena, rps19, wnt1","CLONAL EXPANSION/CELL PROLIFERATION TO FORM ALTERED HEPATIC FOCI AHF"
"ABNORMALITY OF ADRENAL PHYSIOLOGY","3","0.00093394909001641","0.574529496016743","3.26","lipf, pik3ca, tp53","INCREASE RENAL PATHOLOGY DUE TO VTG DEPOSITION; DECREASED RENAL ABILITY TO DILUTE URINE; OCCURRENCE KIDNEY TOXICITY; INCREASED KIDNEY FAILURE"
"GO:0016310","12","0.000935677495619841","0.0818701863320125","9.6","adka, ckmt1, csnk2b, ephb2b, fyna, mapk12a, nme2b.2, pik3ca, plk1, riok1, rock1, tek","ACTIVATION SP1"
"G VEGF SIGNALING PATHWAY","4","0.000961938710775046","0.345321128786378","19.05","cdc42, pik3ca, rac1a, vegfaa","REDUCED PRODUCTION VEGF"
"TRIGLYCERIDE METABOLIC PROCESS","4","0.00099279471718898","0.326020208546643","25","cat, lipf, lpl, nr1h3","ACCUMULATION TRIGLYCERIDE"
"GO:0048870","20","0.00102105421555689","0.0600200783946782","10","arrb2b, cd40, cdc42, crk, csnk2b, f11r.1, hmox1a, hsd3b7, kars, ntf3, pik3ca, ptena, rac1a, rock1, rps19, tbx5a, tek, tfa, tmsb4x, tp53","INCREASED MOTILITY"
"G GLUTATHIONE METABOLISM","2","0.00106912245486277","0.807180813091589","25","gsr, rrm2","DEPLETION GSH"
"LUNG FIBROSIS","3","0.00109569120654241","0.452530270961472","8.33","cebpb, hmox1a, mt2","LUNG FIBROSIS"
"GO:0048813","3","0.00110045589525067","0.409361144913634","23.08","cdc42, ephb2b, ptena","ABERRANT DENDRITIC MORPHOLOGY"
"ABNORMALITY OF THE LIVER","21","0.00110790667290081","0.0574237876409726","2.8","adka, aldob, atrx, ctsk, farsb, gale, hmox1a, hsd3b7, lipf, lpl, msh6, ndufs2, ndufv2, pik3ca, ptena, rbm8a, sdha, sdhc, tfa, tp53, tpi1b","INCREASED INDUCTION OF UDPGT'S IN LIVER; INCREASED LIVER STEATOSIS; INCREASED LIVER STEATOSIS; N/A HEPATOTOXICITY HEPATOPATHY INCLUDING A CONSTELLATION OF OBSERVABLE EFFECTS; INDUCTION SUSTAINED HEPATOTOXICITY"
"CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP","2","0.00114618809845069","0.157688952917421","16.67","fdps, pparab","UP REGULATION SREBF2"
"ENDOMETRIAL CANCER","3","0.0011609344922913","0.547935964418477","4.41","pik3ca, ptena, tp53","INCREASE ENDOMETRIAL ADENOCARCINOMAS"
"UPPER MOTOR NEURON DYSFUNCTION","17","0.00118351259617387","0.0749557651993231","3.59","atrx, bckdha, cacna1ba, csnk2b, msh6, ndufs2, ndufv2, nup107, pdhx, pik3ca, psat1, ptena, roraa, sdha, tbp, tp53, tpi1b","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0042060","11","0.00123311756964737","0.110074897993106","12.5","arrb2b, cd40, cdc42, crk, f11r.1, hmox1a, pik3ca, pparab, ptena, rac1a, tp53","FAILURE IN VASCULAR REPAIR MECHANISMS UNRESOLVED BLOOD LOSS HEMORRHAGE"
"ABNORMAL LUNG MORPHOLOGY","14","0.00124592179409526","0.0803823750168014","10.94","agrn, cacna1ba, calcrla, cdc42, farsb, lipf, nup107, plod1a, psat1, psmd12, ptena, rac1a, tbx5a, tp53","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"HEPATOCELLULAR CARCINOMA","3","0.00125921099931097","0.539083563964303","23.08","msh6, pik3ca, tp53","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
