"","Num","POD","SD","%","Genes","KE"
"GO:0016310","4","0.0114018189242635","0.364624054379347","3.2","chek1, fgfr3, mapk3, strada","ACTIVATION SP1"
"GO:0042060","4","0.0116670655042345","0.246115850819689","4.55","apoeb, hnf4a, mapk3, serpine2","FAILURE IN VASCULAR REPAIR MECHANISMS UNRESOLVED BLOOD LOSS HEMORRHAGE"
"REGULATION OF WNT SIGNALING PATHWAY","3","0.0138867889727105","0.255973786656355","3.8","apoeb, psma8, psmd9","INHIBITION WNT PATHWAY"
"ABNORMAL CIRCULATING FATTY ACID CONCENTRATION","3","0.0235672250873233","0.384805189249955","33.33","cpt2, hnf4a, pex19","ACCUMULATION FATTY ACID"
"PEPTIDYL LYSINE MODIFICATION","4","0.02429444655872","0.472858971352936","5.63","chek1, mapk3, taf5, taf7","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE"
"GO:0001775","8","0.030047773354227","0.133217715503282","4.08","apoeb, cebpb, gclm, mapk3, pgm1, rpl22, serpine2, stat3","ACTIVATION DENDRITIC CELLS"
"ELECTRON TRANSPORT CHAIN","3","0.0327954742238416","0.819610086645556","4.41","cox6c, ndufs5, qdprb1","DISRUPTION MITOCHONDRIAL ELECTRON TRANSPORT CHAIN"
"GO:0007568","5","0.0352319795180818","0.388647709370229","5.81","chek1, gclm, mapk3, sod2, stat3","ACCELERATED AGING"
"RENAL TUBULAR DYSFUNCTION","3","0.0398897334788518","0.516712800543372","11.54","hnf4a, pex19, stat3","INCREASE HYPERPLASIA RENAL TUBULAR CELLS; INCREASE CYTOTOXICITY RENAL TUBULAR CELL; INCREASE ADENOMAS/CARCINOMAS RENAL TUBULAR; OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS"
"GO:0009611","5","0.0419658592509024","0.301475829486575","4.46","apoeb, hnf4a, inhbb, mapk3, serpine2","ACCUMULATION DAMAGED MITOCHONDRIAL DNA"
"G TGF BETA SIGNALING PATHWAY","3","0.0423925982246317","0.677268530686905","4.41","fsta, inhbb, mapk3","ACTIVATION TGF-BETA PATHWAY; UP REGULATION TGFBETA1 EXPRESSION"
"LIPID ACCUMULATION IN HEPATOCYTES","4","0.0462187127137271","0.211385934957882","12.5","apoeb, cpt2, hnf4a, pgm1","INCREASE PRENEOPLASTIC FOCI HEPATOCYTES"
"GO:0006629","11","0.0586008253600384","0.114138430112966","5.34","acadl, acat1, aldh1a3, apoeb, cpt2, cyp26a1, fdps, fgfr3, hnf4a, mapk3, per2","ALTERATION LIPID METABOLISM"
"CTOME CELLULAR RESPONSE TO HYPOXIA","3","0.0620732621948128","0.596918190417137","6.98","psma8, psmd9, vegfaa","N/A HYPOXIA"
"ABNORMAL LIVER MORPHOLOGY","7","0.063939379013834","0.141285135876601","5.88","acat1, apoeb, cpt2, hnf4a, pex19, pgm1, stat3","INDUCTION LIVER “DYSFUNCTIONAL” CHANGES BY CGA 330050; INFLAMMATION LIVER; N/A LIVER FIBROSIS; INCREASE RBC CONGESTION IN LIVER; INCREASE LIVER AND SPLENIC HEMOSIDEROSIS; REDUCTION VITELLOGENIN SYNTHESIS IN LIVER; INCREASE VITELLOGENIN SYNTHESIS IN LIVER; FORMATION LIVER FIBROSIS; FORMATION LIVER TUMOR"
"ABNORMALITY OF THE LIVER","7","0.063939379013834","0.141285135876601","0.93","acat1, apoeb, cpt2, hnf4a, pex19, pgm1, stat3","INCREASED INDUCTION OF UDPGT'S IN LIVER; INCREASED LIVER STEATOSIS; INCREASED LIVER STEATOSIS; N/A HEPATOTOXICITY HEPATOPATHY INCLUDING A CONSTELLATION OF OBSERVABLE EFFECTS; INDUCTION SUSTAINED HEPATOTOXICITY"
"GO:0046903","11","0.0646976837438072","0.124749854245963","4.76","apoeb, dnajc1, hnf4a, inhbb, mapk3, per2, pgm1, ppat, psmd9, ralaa, serpine2","SUPPRESSION VLDL SECRETION; INCREASE MUCIN PRODUCTION; INCREASED SECRETION OF LOCAL GROWTH FACTORS"
"GO:1903009","3","0.0685905309660944","0.621068112293553","8.82","pomp, psma8, psmd9","DECREASE GTPCH-1"
"GO:0030163","5","0.071506385519044","0.265462338548569","3.27","apoeb, gfap, psma8, psmd9, serpine2","INCREASED CATABOLISM OF MUSCLE PROTEIN"
"GO:0060291","2","0.0740293601156514","0.0251926391144742","14.29","apoeb, serpine2","DECREASED LONG-TERM POTENTIATION LTP"
"GO:0030154","3","0.075363067473199","0.557080699539831","4.62","fsta, hnf4a, vegfaa","DIFFERENTIATION OF MYOFIBROBLAST"
"ABNORMALITY OF THE ABDOMINAL ORGANS","8","0.0792485484242024","0.119105168848501","4.73","acat1, apoeb, cpt2, hnf4a, mre11a, pex19, pgm1, stat3","IMPAIRED DEVELOPMENT OF REPRODUCTIVE ORGANS"
"POSITIVE REGULATION OF GENE EXPRESSION","6","0.0830017454447297","0.278378655878599","3.31","cebpb, chek1, mapk3, mre11a, stat3, vegfaa","ALTERED GENE EXPRESSION"
"GO:0099536","4","0.100713281659965","0.258877529065379","3.6","apoeb, rpl22, serpine2, stat3","DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN; DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN"
"PANCREATIC HYPOPLASIA","2","0.107229115109976","0.96167641810988","28.57","hnf4a, stat3","INCREASED PANCREATIC ACINAR TUMORS"
"GO:0000003","10","0.116140988067372","0.135164919086079","4.93","cebpb, fsta, hnf4a, inhbb, mapk3, mre11a, ppat, serpine2, stat3, txn","REDUCED REPRODUCTIVE SUCCESS; REPRODUCTIVE FAILURE"
"GO:0050673","4","0.120474257428176","0.233566648914312","4.88","apoeb, cebpb, fsta, stat3","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS; INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS"
"GO:0045333","3","0.155362404171487","0.927426469456337","4.17","cisd1, cox6c, ndufs5","INCREASE OXIDATIVE METABOLISM"
"ABNORMAL LUNG MORPHOLOGY","3","0.157924210023262","0.352596368746622","2.34","apoeb, fgfr3, stat3","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"GO:0044703","7","0.164060530365084","0.218863729553333","6.03","fsta, inhbb, mapk3, ppat, serpine2, stat3, txn","N/A REPRODUCTIVE FAILURE"
"GO:0009790","9","0.17551071464351","0.159399644940553","5.33","aldh1a3, cebpb, cpt2, hnf4a, hoxb2a, mapk3, otx2, ralaa, rpl38","DEFECT OF EMBRYOGENESIS"
"ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES","10","0.181891043416589","0.119042896470492","2.48","acat1, apoeb, cpt2, hnf4a, pex19, pgm1, pomp, rpl15, rps29, stat3","DAMAGING RED BLOOD CELLS; HEMOLYSIS"
"GO:0046983","14","0.182404649735607","0.0910130581991254","7.11","acat1, aldh1a3, apoeb, atic, cebpb, gclm, hnf4a, inhbb, qdprb1, rpl7, stat3, taf5, taf7, uba3","DIMERIZATION AHR/ARNT; REDUCED DIMERIZATION ARNT/HIF1-ALPHA"
"GO:0048870","7","0.191190624471706","0.202953755487073","3.5","apoeb, creb3l3l, mapk3, serpine2, sod2, stat3, tradd","INCREASED MOTILITY"
"GO:0001816","5","0.206085176363474","0.312170992705235","4.17","cebpb, inhbb, mapk3, mre11a, stat3","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION; PRODUCTION OF NERVE GROWTH FACTOR  EPITHELIAL IRRITATION; NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION"
"RESPONSE TO REACTIVE OXYGEN SPECIES","4","0.232284980068038","0.482821166728749","7.14","apoeb, mapk3, sod2, txn","INCREASED REACTIVE OXYGEN SPECIES"
"UPPER MOTOR NEURON DYSFUNCTION","6","0.252515911103716","0.204721364013536","1.27","acat1, gfap, mre11a, otx2, pex19, qdprb1","DECREASE HISTAMINERGIC NEURON EXCITATION; OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL; OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL"
"GO:0005488","44","0.32183257006367","0.0287704735973734","4.09","acadl, acat1, apoeb, bmp2b, caspb, cebpb, chek1, cisd1, creb3l3l, cyp26a1, dnajc1, exosc10, fgfr3, fsta, fzd7a, gclm, hnf4a, hoxb2a, inhbb, mapk3, mmp11a, mmp11b, mre11a, orc5, otx2, per2, pex19, pgm1, ppat, qdprb1, ralaa, rassf1, rpl15, rpl22, rpl7, rps29, sf3b5, sod2, stat3, stk25a, strada, tradd, uba3, vegfaa","INCREASED BINDING OF CHEMICALS TO 2U SERUM"
"GO:0005102","11","0.325613296129427","0.10701487214675","5.29","apoeb, cebpb, fsta, hnf4a, inhbb, ralaa, serpine2, stat3, taf7, tradd, uba3","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS"
"CYTOPLASMIC RIBOSOMAL PROTEINS","8","0.348267289126302","0.139332931330297","5.56","rpl15, rpl22, rpl34, rpl36, RPL37A, rpl38, rpl7, rps29","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY","4","0.36540264681611","0.28249669446543","2.72","apoeb, fgfr3, otx2, stat3","INCREASED RESPIRATORY DISTRESS/ARREST"
"GO:0040011","9","0.383141394478333","0.1520503088453","3.96","apoeb, creb3l3l, mapk3, otx2, ralaa, serpine2, sod2, stat3, tradd","INCREASED LOCOMOTION; INCREASED MUSCULAR WAVES IN FOOT; DECREASED LOCOMOTION"
"REGULATION OF CELL DEATH","11","0.389738045901723","0.113117991741102","4.1","aldh1a3, apoeb, cebpb, creb3l3l, gclm, inhbb, mre11a, sod2, tradd, txn, vegfaa","N/A CELL INJURY/DEATH"
"BLADDER CANCER","3","0.40638155305833","0.402637758709572","7.14","fgfr3, rassf1, vegfaa","INCREASE CANCER"
"REGULATION OF PROTEOLYSIS","6","0.414726886594104","0.177857676868377","5.36","apoeb, dnajc1, serpine2, stat3, tradd, vegfaa","IMPAIRED PROTEOSTASIS"
"DECREASED BODY WEIGHT","7","0.506243477593457","0.168481117124635","3.1","acat1, pex19, pomp, rpl15, rps29, stat3, strada","DECREASED BODY WEIGHT"
"GO:0006412","7","0.546343906452166","0.149327499882041","6.48","rpl15, rpl22, rpl34, rpl36, RPL37A, rpl38, rps29","ALTERED PROTEIN PRODUCTION"
"GO:0003824","4","0.612080916020417","0.297088151083738","6.15","acat1, atic, exosc10, qdprb1","DECREASED DHB4/HSD17B4; DECREASE INCORPORATION OF ACTIVE IODIDE INTO IODOTYROSINES; INHIBITION PROLYL HYDROXYLASES; INHIBITION UROD; DECREASE AKT/ENOS ACTIVITY; INHIBITION DEIODINASE 2; INHIBITION DEIODINASE 1; INHIBITION IODOTYROSINE DEIODINASE IYD; INHIBITION DEIODINASE 3; INHIBITION DUAL OXIDASE; INDUCTION UPREGULATION OF GLUCURONYLTRANSFERASE ACTIVITY"
"GO:0006635","3","0.638878335663653","0.3369146187036","15","acadl, acat1, cpt2","DECREASED PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS; DECREASED MITOCHONDRIAL FATTY ACID BETA OXIDATION; DECREASED MITOCHONDRIAL FATTY ACID BETA-OXIDATION; INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION"
"GO:0006915","3","0.668006291250495","0.419752183277654","9.68","caspb, fgfr3, tradd","CHANGES/INHIBITION CELLULAR HOMEOSTASIS AND APOPTOSIS; DECREASED APOPTOSIS EPITHELIAL CELLS; INCREASED APOPTOSIS DECREASED LEYDIG CELLS"
"GO:0004872","8","0.67107767376898","0.173748008982348","3.35","bmp2b, fgfr3, fzd7a, gria4b, hnf4a, inhbb, ptger2a, vegfaa","ACTIVATION PXR/SXR"
"ABNORMAL NASAL MORPHOLOGY","10","0.731522817195272","0.112088687483846","6.45","atic, cpt2, fgfr3, otx2, pex19, rpl15, rps29, stat3, strada, txnl4a","INCREASE SITE OF CONTACT NASAL TUMORS"
"GO:0016209","2","0.737265607476103","0.731040755785631","18.18","apoeb, sod2","OXIDATION GLUTATHIONE"
"GO:0006954","5","0.826652718051463","0.193804329219042","4.27","apoeb, cebpb, ptger2a, stat3, tradd","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"GO:0072358","3","1.10118131878837","0.358997761148709","2.7","apoeb, sod2, stat3","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION"
"CTOME FOXO MEDIATED TRANSCRIPTION","3","1.21331983711081","0.462953609802674","10.71","sod2, txn, ywhabb","ACTIVATION FOXO"
"ABNORMALITY OF REPRODUCTIVE SYSTEM PHYSIOLOGY","3","1.58200165656379","0.192123783754123","2.91","mre11a, otx2, stat3","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY"
"GO:0045444","4","2.11985151845381","0.23472919383035","9.76","cebpb, inhbb, mmp11a, per2","INCREASED ADIPOGENESIS"
