"","Num","POD","SD","%","Genes","KE"
"CTOME VEGFR2 MEDIATED CELL PROLIFERATION","2","0.0547558037135878","1.49596232162471","33.33","ahcyl1, nras","INHIBITION VEGFR2"
"GO:0006816","2","0.345149964047424","1.73340983372171","18.18","atp2a2b, tmco1","DECREASED CALCIUM INFLUX; REDUCTION CA AND HCO3 TRANSPORT TO SHELL GLAND; OPENING OF CALCIUM CHANNEL CALCIUM INFLUX"
"GO:0006936","4","0.458381865191692","0.669133478036053","7.27","atp2a2b, calcrla, mylpfa, pik3ca","REDUCTION ABDOMINAL MUSCLE CONTRACTION; OVERACTIVATION MUSCLE CONTRACTION"
"PERICARDIAL EFFUSION","2","0.499053565049398","1.47289804946494","50","alg9, calcrla","INCREASE PERICARDIAL EDEMA"
"GO:0019932","5","1.15110896653651","0.496946543006301","8.2","adora2aa, atp2a2b, calcrla, ppp2r1b, prkaa1","INCREASED SECOND MESSENGER PRODUCTION"
"GO:0006412","7","1.43756580492441","0.294274702621472","6.48","eif2b1, eif4e1c, gars, gspt1l, rpl30, rpl35a, rpl38","ALTERED PROTEIN PRODUCTION"
"ABNORMAL PLEURA MORPHOLOGY","3","1.45183084457279","0.754713694784407","37.5","calcrla, ccnd1, ikbkap","PERSISTENT CYTOTOXICITY PLEURA OR PERITONEUM"
"DECREASED FERTILITY","5","1.81131935716581","0.315335916157923","6.58","cyb5a, fgf8a, otx2, polr3h, raf1b","IMPAIRED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; REDUCTION CUMULATIVE FECUNDITY AND SPAWNING; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED SPERM QUANTITY OR QUALITY IN THE ADULT DECREASED FERTILITY; DECREASED TESTOSTERONE"
"GO:0007269","4","2.22754518901351","0.577021451778548","16","adora2aa, atp2a2b, lin7a, rap1b","OVERACTIVATION NEURONOTRANSMITTER RELEASE"
"GO:0015631","4","2.64731264368565","0.317937077486449","21.05","cenpe, gli1, ogg1, rae1","BINDING TUBULIN"
"ABNORMAL CIRCULATING ESTROGEN LEVEL","3","3.15289551888901","0.822947260777969","21.43","cyb5a, pik3ca, polr3h","INCREASED CIRCULATING ESTROGEN LEVELS"
"GLYCOLYSIS AND GLUCONEOGENESIS","3","3.23326018986629","0.489422208042552","13.04","got2a, mdh2, pgam1b","DECREASED PCK1 EXPRESSION CONTROL POINT FOR GLYCOLYSIS/GLUCONEOGENESIS PATHWAY"
"ABNORMAL OVARIAN MORPHOLOGY","4","3.33337680630877","0.504095158040158","10.81","cyb5a, fgf8a, pik3ca, polr3h","PROMOTION OVARIAN GRANULAR CELL TUMORS; DECREASED OVARIAN E2; PROMOTION OVARIAN ADENOMAS"
"GO:0006839","4","3.59907252931995","0.566390587284063","8.7","atp5f1, cpt1aa, hspd1, prkaa1","REDUCTION CHOLESTEROL TRANSPORT IN MITOCHONDRIA"
"GO:0001816","10","4.3400998169645","0.182572436218092","8.33","cyp1b1, hpse, hspd1, iqgap1, mapk11, mapk14a, mapk3, mre11a, polr3h, rps6ka5","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION; PRODUCTION OF NERVE GROWTH FACTOR  EPITHELIAL IRRITATION; NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION"
"GO:0006954","5","4.92082294209136","0.368356341096539","4.27","adora2aa, calcrla, mapk14a, ogg1, rps6ka5","INCREASE INFLAMMATION; INCREASE INFLAMMATION CORNEAL CELLS; INFILTRATION INFLAMMATORY CELLS; INCREASED INFLAMMATION; CHRONIC COUGH RESPIRATORY IRRITABILITY"
"ABNORMALITY OF THE PITUITARY GLAND","6","5.41399791271097","0.280109098245475","12.5","cyb5a, fgf8a, otx2, pik3ca, polr3h, tmco1","INCREASED ADENOMAS PITUITARY"
"ABNORMALITY OF REPRODUCTIVE SYSTEM PHYSIOLOGY","13","5.87285805827669","0.0860132610012772","12.62","cyb5a, eif2b1, fgf8a, mre11a, nras, otx2, pik3ca, polr3h, prpf6, psmd12, raf1b, rras, uchl1","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY"
"ABNORMALITY OF THE OVARY","6","6.15708152966584","0.273568334889808","10.53","cyb5a, eif2b1, fgf8a, mre11a, pik3ca, polr3h","REDUCED PROSTAGLANDINS OVARY"
"GO:0007051","4","6.32870785746794","0.40016816081796","14.81","cenpe, mybl2b, ppp2r1b, rae1","DISORGANIZATION SPINDLE"
"PYRUVATE METABOLIC PROCESS","4","6.39472074344044","0.340625875468514","7.14","pgam1b, prkaa1, prkag1, rae1","INHIBITION 4-HYDROXYPHENYL-PYRUVATE DIOXYGENASE HPPD ENZYME"
