"","Num","POD","SD","%","Genes","KE"
"ABNORMAL FORM OF THE VERTEBRAL BODIES","3","0.0215259886146433","0.314665469969407","9.09","fgfr3, kdelr2b, tmco1","CLONAL EXPANSION/CELL PROLIFERATION TO FORM ALTERED HEPATIC FOCI AHF"
"GO:0019882","4","0.0335374500996865","0.280079253179998","6.78","psmd14, psmd3, sar1b, sec13","GENERATION OF NOVEL EPITOPES  ANTIGEN PRESENTATION"
"REGULATION OF WNT SIGNALING PATHWAY","5","0.0395750121166149","0.241089815177043","6.33","apoeb, bmp2a, ppm1aa, psmd14, psmd3","INHIBITION WNT PATHWAY"
"GO:0048856","2","0.0423864647701348","0.822503398642158","16.67","insra, rxrbb","ALTERED NEUROANATOMY"
"CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R","2","0.0477381463231445","0.623911409279848","15.38","fgfr3, nras","INCREASED IGF-1 MOUSE"
"CTOME CELLULAR RESPONSE TO HYPOXIA","4","0.0704224703080318","0.386060750456133","9.3","psmd14, psmd3, rps27a, vegfaa","N/A HYPOXIA"
"ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION","2","0.0922264978004696","0.468713802000683","18.18","apoeb, sar1b","DECREASED CHOLESTEROL; PERTURBATION OF CHOLESTEROL"
"GO:0016310","9","0.094848872390115","0.142492804867441","7.2","acvr2b, ak1, csnk2a2b, csnk2b, epha2a, fgfr3, insra, map2k2a, mapkapk2a","ACTIVATION SP1"
"GO:0008213","2","0.118076771805885","1.1248953928199","28.57","prmt5, unga","ALKYLATION PROTEIN"
"MORTALITY AGING","3","0.12508298297991","0.380575234617803","11.54","calcrla, fgfr3, nras","REDUCED FITNESS OR EVEN MORTALITY ACIDOSIS HYPOVOLEMIC SHOCK AND ORGAN DYSFUNCTION; INCREASE MORTALITY; INCREASED MORTALITY"
"GO:0003158","4","0.128972362499137","0.326953978965147","16.67","acvr2b, atoh8, csnk2b, hoxb5a","IMPAIRMENT ENDOTHELIAL NETWORK"
"GO:1903409","3","0.141232178967119","0.507597525041849","12","insra, rac1a, stat3","INCREASE ROS PRODUCTION; PRODUCTION REACTIVE OXYGEN SPECIES"
"TRIGLYCERIDE METABOLIC PROCESS","3","0.14833787607272","0.255033817540156","18.75","apoeb, fabp3, pck2","ACCUMULATION TRIGLYCERIDE"
"GO:0006898","6","0.178682180739498","0.18877557938359","15.79","apoeb, calcrla, drd2b, insra, rac1a, tfa","REDUCTION VITELLOGENIN ACCUMULATION INTO OOCYTES AND OOCYTE GROWTH/DEVELOPMENT; INCREASED LDL UPTAKE"
"SOMATIC MUTATION","5","0.181576137811933","0.270768620575335","5.95","casp8, ewsr1a, fgfr3, nras, tp53","INCREASED INDUCED MUTATIONS IN CRITICAL GENES; INCREASE MUTATIONS; INCREASE MUTATIONS IN CRITICAL GENES"
"REGULATION OF ATPASE ACTIVITY","3","0.188528313333145","0.467434043501107","18.75","atp1b1b, tfa, tp53","INHIBITION CA++ ATPASE"
