"","Num","POD","SD","%","Genes","KE"
"SYNTHESIS AND DEGRADATION OF KETONE BODIES","2","0.00356839566285016","0.308870935741589","33.33","acat1, hmgcs1","NOT INCREASED CIRCULATING KETONE BODIES"
"CTOME SYNTHESIS OF KETONE BODIES","2","0.00356839566285016","0.308870935741589","25","acat1, hmgcs1","DECREASED KETOGENESIS PRODUCTION OF KETONE BODIES; DECREASED KETOGENESIS"
"ABNORMAL BLOOD POTASSIUM CONCENTRATION","2","0.00865851662596864","0.0929426259429571","16.67","calm3a, nr3c2","INCREASED BLOOD POTASSIUM CONCENTRATION"
"NADPH REGENERATION","2","0.0107097182221588","0.131652664930807","40","pgam1b, tkta","INHIBITION HMG-COA REDUCTASE"
"REGULATION OF PH","2","0.0929220525187322","0.645549252464626","14.29","atp6v1ba, atp6v1h","DECREASE INTRACELLULAR PH"
"RENAL TUBULAR DYSFUNCTION","5","0.209251244906431","0.411612955952416","19.23","atp6v1ba, mt-co2, ndufb9, pex19, pmm2","INCREASE HYPERPLASIA RENAL TUBULAR CELLS; INCREASE CYTOTOXICITY RENAL TUBULAR CELL; INCREASE ADENOMAS/CARCINOMAS RENAL TUBULAR; OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS"
"GO:0042421","2","0.217009858694002","1.56353928992893","66.67","hand2, th","DECREASED SYNTHESIS OF MOLTING FLUID PROTEASES"
"BRADYCARDIA","3","0.230310811190906","0.775746825365768","50","calm3a, nppa, uqcrfs1","INCREASED ATRIOVENTRICULAR BLOCK AND BRADYCARDIA"
"GLYCOLYSIS AND GLUCONEOGENESIS","6","0.320877521696226","0.3254319775511","26.09","eno3, ldha, mdh2, pgam1b, pgam2, tpi1b","DECREASED PCK1 EXPRESSION CONTROL POINT FOR GLYCOLYSIS/GLUCONEOGENESIS PATHWAY"
"GO:0001963","2","0.335529210787068","1.69735986427281","16.67","drd1b, th","INCREASE DOPAMINERGIC ACTIVITY; DECREASED DOPAMINERGIC ACTIVITY"
"GO:0019098","2","0.335529210787068","1.69735986427281","22.22","drd1b, th","ALTERED REPRODUCTIVE BEHAVIOUR; REDUCED BROOD CARE"
"MATING BEHAVIOR","2","0.335529210787068","1.69735986427281","22.22","drd1b, th","REDUCED ABILITY TO ATTRACT SPAWNING MATES"
"REPRODUCTIVE BEHAVIOR","2","0.335529210787068","1.69735986427281","20","drd1b, th","REDUCED SPAWNING BEHAVIOR"
"MORTALITY AGING","6","0.364180344016649","0.361341419838649","23.08","dnm1l, lipf, msh6, nras, pex19, pqbp1","REDUCED FITNESS OR EVEN MORTALITY ACIDOSIS HYPOVOLEMIC SHOCK AND ORGAN DYSFUNCTION; INCREASE MORTALITY; INCREASED MORTALITY"
"GO:0006635","6","0.507757138718408","0.371316625029816","30","acadl, acat1, akt2, echs1, pparda, ppardb","DECREASED PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS; DECREASED MITOCHONDRIAL FATTY ACID BETA OXIDATION; DECREASED MITOCHONDRIAL FATTY ACID BETA-OXIDATION; INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION"
"ABNORMAL CARDIAC TEST","4","0.63149297825374","0.522451359043309","30.77","calm3a, gata4, gmppb, nppa","INCREASED CARDIAC ARRTHYMIA"
"GO:0005216","4","0.661161117739668","0.496403266234278","16.67","cacna1ba, gria3a, gria4a, grik1b","IMPAIRED ION CHANNELS"
"GO:0007059","6","0.679677739108759","0.361094633554751","13.64","fbxo5, mre11a, ndc1, nup37, ppp2r1b, riok2","INCREASED CHROMOSOME MISSEGGREGATION"
"HYPERACTIVITY","11","0.727699007895026","0.178323081928765","22","cacna1ba, cars, dhdds, fgf8a, gamt, gata4, gria4a, msh6, ntrk1, ppp2r1b, tkta","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY; INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY; N/A ATAXIA PARALYSIS OR HYPERACTIVITY"
"GLOMERULAR SCLEROSIS","3","0.765015083661184","0.825711030650744","21.43","mdh2, mt-co2, nup85","DECREASED GLOMERULAR FILTRATION"
"GO:0003824","19","1.03479727998235","0.108389558193167","29.23","acat1, alas1, atic, echs1, gcat, hmgcs1, ldha, mdh2, mtap, nfs1, pgam1b, pgam2, ppm1ab, ppm1bb, psat1, sucla2, tkta, tpi1b, uqcrc2b","DECREASED DHB4/HSD17B4; DECREASE INCORPORATION OF ACTIVE IODIDE INTO IODOTYROSINES; INHIBITION PROLYL HYDROXYLASES; INHIBITION UROD; DECREASE AKT/ENOS ACTIVITY; INHIBITION DEIODINASE 2; INHIBITION DEIODINASE 1; INHIBITION IODOTYROSINE DEIODINASE IYD; INHIBITION DEIODINASE 3; INHIBITION DUAL OXIDASE; INDUCTION UPREGULATION OF GLUCURONYLTRANSFERASE ACTIVITY"
"CYTOPLASMIC RIBOSOMAL PROTEINS","7","1.08409086640282","0.309642557666837","4.86","rpl19, rpl21, rpl22, rpl38, rpl39, rps4x, rps5","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE"
"VENTRICULAR ARRHYTHMIA","3","1.1200792776844","0.647656561159446","42.86","bmp2a, calm3a, mt-co2","OCCURRENCE CARDIAC ARRHYTHMIA"
"CTOME REGULATED NECROSIS","3","1.2103348251219","0.697298702901638","14.29","casp8, cycsb, hsp90aa1.2","INCREASE NECROSIS TERMINAL BRONCHIOLAR CELLS"
"TUBE FEEDING","4","1.48936319900106","0.571671748470069","23.53","dnm1l, fgf8a, ppp2r1b, psat1","INHIBITION FEEDING"
"GO:0004970","2","1.5280080213736","1.49620295272805","33.33","gria4a, grik1b","BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS"
"GO:0007568","14","1.55237494440723","0.15357636434571","16.28","akt3a, apaf1, apex1, cdk1, eno3, fbxo5, msh6, ntrk1, pitx3, sirt1, sirt3, sod1, sod2, th","ACCELERATED AGING"
"ABNORMALITY OF THE MITOCHONDRION","9","1.6112802390839","0.208451253842459","7.14","dnm1l, echs1, fdxr, hsd17b10, mrpl12, mt-co2, ndufb9, sucla2, vcp","INJURY MITOCHONDRIA; DAMAGING MITOCHONDRIA; N/A MITOCHONDRIAL DYSFUNCTION 1"
"ABNORMALITY OF ADRENAL PHYSIOLOGY","5","1.75030558310911","0.480890897298363","5.43","gata4, lipf, nr3c2, pex19, rbm28","INCREASE RENAL PATHOLOGY DUE TO VTG DEPOSITION; DECREASED RENAL ABILITY TO DILUTE URINE; OCCURRENCE KIDNEY TOXICITY; INCREASED KIDNEY FAILURE"
"G OOCYTE MEIOSIS","9","1.8051682715894","0.237582993069639","22.5","ar, calm3a, cdk1, fbxo5, ppp2r1b, rbx1, ywhah, ywhaqa, ywhaz","REDUCED MEIOTIC PROPHASE I/METAPHASE I TRANSITION OOCYTE"
"DECREASED BODY WEIGHT","33","1.91629400757697","0.0579579281182728","14.6","acat1, bmp4, cacna1ba, cars, casp8, cyb5r3, dhdds, dnm1l, echs1, fdxr, fgf8a, gata4, gria4a, jak1, lipf, mdh2, mrpl12, msh6, mt-co2, ndufb9, nfkb1, nr3c2, orc6, pccb, pex19, pmm2, pqbp1, psat1, srsf2a, stag1b, sucla2, tpm3, uqcrfs1","DECREASED BODY WEIGHT"
"CTOME VEGFR2 MEDIATED CELL PROLIFERATION","3","1.96200185024086","0.880302961071209","50","ahcyl1, nras, src","INHIBITION VEGFR2"
"HEPATOCELLULAR CARCINOMA","3","2.01949102335021","0.786963553050702","23.08","bmp2a, casp8, msh6","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS; INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR; TUMORIGENESIS HEPATOCELLULAR CARCINOMA"
"FAS LIGAND FASL PATHWAY AND STRESS INDUCTION OF HEAT SHOCK PROTEINS HSP REGULATION","4","2.23723164383149","0.462457512572467","15.38","apaf1, casp8, cycsb, pak2a","ACTIVATION FAS; UP REGULATION FAS"
