"","Num","POD","SD","%","Genes","KE"
"GO:0010468","3","2.62720440897824e-06","0.384636129831709","18.75","lhx2b, mapk1, mapk3","DECREASED TRANSCRIPTION OF GENES BY AR"
"DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV","2","4.89328615724589e-06","0.745865806576151","20","mapk1, mapk3","REDUCTION EXCITATORY POSTSYNAPTIC POTENTIAL; GENERATION AMPLIFIED EXCITATORY POSTSYNAPTIC POTENTIAL EPSP"
"CTOME RHO GTPASES ACTIVATE NADPH OXIDASES","2","4.89328615724589e-06","0.745865806576151","33.33","mapk1, mapk3","ACTIVATION NADPH OXIDASE"
"SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR","3","8.8111003245345e-06","0.381279183340963","8.82","mapk1, mapk3, stat3","OCCURRENCE CYTOPLASMIC VACUOLIZATION HEPATOCYTE; OCCURRENCE BALLOONING DEGENERATION HEPATOCYTE"
"REGULATION OF PH","3","9.13283362110993e-06","0.384846668225682","21.43","atp6ap1b, mapk1, mapk3","DECREASE INTRACELLULAR PH"
"CTOME FOXO MEDIATED TRANSCRIPTION","3","9.41578937566324e-06","0.526092329586142","10.71","akt3a, foxo1b, ywhaz","ACTIVATION FOXO"
"G VEGF SIGNALING PATHWAY","3","1.24639477335938e-05","0.422594316209846","14.29","akt3a, mapk1, mapk3","REDUCED PRODUCTION VEGF"
"GO:0050665","2","1.62068180719118e-05","0.174083646533756","33.33","cyp1a, stat3","DECREASED HYDROGEN PEROXIDE PRODUCTION"
"GO:0070330","3","1.66569938024642e-05","0.0762542185370419","37.5","cyp1a, cyp1b1, cyp3c1","REDUCTION IN OVARIAN GRANULOSA CELLS AROMATASE CYP19A1; INHIBITION AROMATASE; DECREASED AROMATASE CYP19A1 MRNA"
"GO:0042446","4","1.85248569078299e-05","0.262715887968675","14.29","cyp3c1, fdxr, hsd11b2, nfkb1","INCREASE LUTEINIZING HORMONE LH; REPRESSED EXPRESSION OF STEROIDOGENIC ENZYMES"
"HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY","5","1.87398292287511e-05","0.189019869393013","4.63","jak2b, mapk1, mapk3, mycb, stat3","DECREASED TRIIODOTHYRONINE T3 IN SERUM; INCREASE THYROID-STIMULATING HORMONE TSH; DECREASED THYROXINE T4 IN SERUM; INCREASED THYROID-STIMULATING HORMONE TSH"
"ESTROGEN RECEPTOR PATHWAY","3","1.87465639703536e-05","0.0898158762258536","16.67","cyp1a, cyp1b1, stat3","ACTIVATION ESTROGEN RECEPTOR"
"RESPONSE TO REACTIVE OXYGEN SPECIES","7","1.95375051764714e-05","0.204573982170095","12.5","btk, cyp1b1, foxo1b, fyna, mapk1, mapk3, ppp2cb","INCREASED REACTIVE OXYGEN SPECIES"
"RESPONSE TO ESTRADIOL","4","2.12570273940667e-05","0.277460879526504","13.33","arpc1b, cyp1a, ncoa1, stat3","REDUCTION PLASMA 17BETA-ESTRADIOL CONCENTRATIONS"
"G OOCYTE MEIOSIS","6","2.75183706839082e-05","0.194763724580212","15","anapc11, mapk1, mapk3, ppp1cc, ppp2cb, ywhaz","REDUCED MEIOTIC PROPHASE I/METAPHASE I TRANSITION OOCYTE"
"GO:1903409","5","2.759236690342e-05","0.0662287912485523","20","agtr2, cyp1a, cyp1b1, jak2b, stat3","INCREASE ROS PRODUCTION; PRODUCTION REACTIVE OXYGEN SPECIES"
"ENDOMETRIAL CANCER","6","3.08624692092953e-05","0.197219317593942","8.82","akt3a, fgfr1b, ilk, mapk1, mapk3, mycb","INCREASE ENDOMETRIAL ADENOCARCINOMAS"
"FARNESOID X RECEPTOR PATHWAY","2","3.43678138608534e-05","0.165631178253474","20","cyp3c1, rxraa","ACTIVATION NR1H4"
"LIVER X RECEPTOR PATHWAY","2","3.43678138608534e-05","0.165631178253474","16.67","cyp3c1, rxraa","ACTIVATION LXR; ACTIVATION LXR ALPHA"
"CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY","5","3.59646662718476e-05","0.297942202694991","16.67","cyp3c1, foxo1b, ncoa1, ncoa2, rxraa","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3; ACTIVATION CONSTITUTIVE ANDROSTANE RECEPTOR"
"ABNORMAL LUNG MORPHOLOGY","11","3.67067861319985e-05","0.105371748378239","8.59","agrn, alg9, btk, fgfr1b, mapk1, nfkb1, rarab, rps15a, srsf2a, stat3, tbx20","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR"
"LIPID ACCUMULATION IN HEPATOCYTES","3","4.01261785209465e-05","0.0645616626911464","9.38","atp6ap1b, hadhaa, pgm1","INCREASE PRENEOPLASTIC FOCI HEPATOCYTES"
"GO:0042701","6","4.16239060761629e-05","0.182239918294985","17.65","akt3a, anapc11, mapk1, mapk3, prkacaa, raf1a","DECREASED PROGESTERONE FROM CORPUS LUTEUM"
"ABNORMALITY OF THE BLADDER","5","4.24809261127709e-05","0.147159539087397","9.62","agtr2, hnrpkl, nfia, rarab, znf711","REDUCED POSTERIOR SWIM BLADDER INFLATION; REDUCED ANTERIOR SWIM BLADDER INFLATION; INCREASE URINARY BLADDER CALCULI"
"HEART DEVELOPMENT","9","4.40079952324204e-05","0.109824558019315","7.14","agtr2, bmp4, mapk1, mapk3, rarab, rock1, smad1, tbx20, vcam1","ALTERED LARVAL DEVELOPMENT; IMPAIRED DEVELOPMENT"
"ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY","12","4.43667982837518e-05","0.0951116024049452","8.16","agrn, alg9, btk, fgfr1b, mapk1, msh6, nfkb1, rarab, rps15a, srsf2a, stat3, tbx20","INCREASED RESPIRATORY DISTRESS/ARREST"
"REGULATION OF WNT SIGNALING PATHWAY","8","4.43811641113753e-05","0.129072352080891","10.13","bambia, csnk1e, ilk, nfkb1, psma8, psmb6, psmd1, psmd10","INHIBITION WNT PATHWAY"
"GO:0044557","2","4.55769408360845e-05","0.0823099152353069","66.67","adora1, adora2b","RELAXATION SMOOTH MUSCLE"
"STEROID HORMONE MEDIATED SIGNALING PATHWAY","5","4.63795416579312e-05","0.0669593783965698","4.9","bmp4, jak2b, paqr7b, rxraa, ufm1","DECREASE STEROIDOGENIC ACUTE REGULATORY PROTEIN STAR; DECREASED HSD17B10 EXPRESSION; REDUCED MATURATION INDUCING STEROID PLASMA"
