"nodes","name","%ppp","matched","mie","ao","pod"
"5780","IMPAIRMENT LEARNING AND MEMORY","64.58","yes","n","yes","3.33e+00"
"5800","N/A NEURODEGENERATION","29.34","yes","n","yes","2.93e+00"
"6022","INCREASED LIVER STEATOSIS","22.1","yes","n","yes","3.15e+00"
"7458","N/A BREAST CANCER","0.79","yes","n","yes","3.34e+00"
"5677","INCREASED MORTALITY","0.14","yes","n","yes","4.52e+00"
"5827","N/A LIVER FIBROSIS","0.11","yes","n","yes","2.38e+00"
"6113","IRREGULARITIES OVARIAN CYCLE","0.1","yes","n","yes","3.51e+00"
"6317","IMPAIRED FERTILITY","0.07","yes","n","yes","3.32e+00"
"7578","REPRODUCTIVE FAILURE","0.03","yes","n","yes","3.10e+00"
"6719","OCCURRENCE KIDNEY TOXICITY","0.02","yes","n","yes","2.46e+00"
"6089","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","0.01","yes","n","yes","2.84e+00"
"6499","REDUCED REPRODUCTIVE SUCCESS","0.01","yes","n","yes","2.60e+00"
"5944","CHOLESTASIS PATHOLOGY","0","yes","n","yes","2.05e+00"
"6776","INCREASE LEYDIG CELL TUMORS","0","yes","n","yes","5.86e+00"
