"nodes","name","%ppp","matched","mie","ao","pod"
"5780","IMPAIRMENT LEARNING AND MEMORY","69.21","yes","n","yes","1.01e-04"
"6499","REDUCED REPRODUCTIVE SUCCESS","4.84","yes","n","yes","1.28e-05"
"5827","N/A LIVER FIBROSIS","3.78","yes","n","yes","1.85e-05"
"7458","N/A BREAST CANCER","0.61","yes","n","yes","1.30e-05"
"5877","INCREASE CANCER","0.44","yes","n","yes","3.42e-05"
"5944","CHOLESTASIS PATHOLOGY","0.2","yes","n","yes","2.01e-05"
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","0.15","yes","n","yes","7.22e-06"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","0.1","yes","n","yes","1.52e-05"
"6113","IRREGULARITIES OVARIAN CYCLE","0.02","yes","n","yes","2.87e-05"
"6719","OCCURRENCE KIDNEY TOXICITY","0.01","yes","n","yes","5.16e-05"
"6022","INCREASED LIVER STEATOSIS","0.01","yes","n","yes","2.17e-05"
"7578","REPRODUCTIVE FAILURE","0.01","yes","n","yes","1.31e-05"
"6168","N/A IMPAIRMENT OF REPRODUCTIVE CAPACITY","0","yes","n","yes","1.24e-05"
