"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","97.97","n","n","n",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","90.47","yes","n","n","1.32e-01"
"6022","INCREASED LIVER STEATOSIS","88.9","yes","n","n","1.32e-01"
"5780","IMPAIRMENT LEARNING AND MEMORY","86.25","n","n","yes",NA
"6013","OXIDATIVE STRESS ","63.76","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","63.52","yes","n","n","1.07e-01"
"5856","PEPTIDE OXIDATION","62.85","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","62.77","n","n","n",NA
"6536","DEATH/FAILURE COLONY","60.81","n","n","yes",NA
"5802","NEUROINFLAMMATION","58.27","n","n","n",NA
"5800","N/A NEURODEGENERATION","57.88","n","n","yes",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","57.5","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","55.29","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","53.08","n","n","yes",NA
"5705","INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION","52.11","n","n","n",NA
"6332","DECREASED NEURONAL NETWORK FUNCTION IN ADULT BRAIN","40.72","yes","n","n","3.97e-01"
"6521","REDUCED FOOD STORAGE","39.81","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","38.08","n","n","n",NA
"6080","INCREASE DNA DAMAGE","33.4","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","33.26","n","n","n",NA
"7289","INCREASED OXIDATIVE STRESS","33.11","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","32.91","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","32.28","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","30.67","n","yes","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","28.49","n","n","n",NA
"6125","ACTIVATION PPARΑ","27.66","n","yes","n",NA
"6136","ACTIVATION HSD17B4","27.59","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","27.42","n","n","n",NA
"6480","ACTIVATION SHP","24.55","n","n","n",NA
"5972","ACTIVATION LXR","24.52","n","yes","n",NA
"6005","WEAKENED COLONY","22.77","n","n","n",NA
"6528","IMPAIRED LARVAL DEVELOPMENT","22.11","n","n","yes",NA
"5987","INHIBITION PPAR ALPHA","21.46","n","yes","n",NA
"5798","SYNAPTOGENESIS DECREASED ","19.24","n","n","n",NA
"6475","ACTIVATION NRF2","18.42","n","yes","n",NA
"6476","ACTIVATION NR1H4","18.42","n","yes","n",NA
"6478","ACTIVATION FXR","18.42","n","n","n",NA
"6144","DEMETHYLATION PPARG PROMOTER","18.41","n","n","n",NA
"5906","INCREASED LIPOGENESIS","18.39","n","n","n",NA
"7668","INCREASE CYTOSOLIC FATTY ACID","18.39","n","n","n",NA
"6148","ACTIVATION SREBP-1","12.28","n","n","n",NA
"6486","INHIBITION LXR","12.26","n","n","n",NA
"5806","RELEASE CYTOKINE","9.36","n","n","n",NA
"5904","ACTIVATION FAS","9.2","n","n","n",NA
"5978","ACTIVATION SCD-1","9.2","n","n","n",NA
"5982","ACTIVATION SREBF1","9.2","n","n","n",NA
"6530","REDUCED BROOD CARE","8.85","n","n","n",NA
"5999","ALTERED CA2+-CALMODULIN ACTIVATED SIGNAL TRANSDUCTION","8.57","n","n","n",NA
"5860","INCREASE INFLAMMATION","8.37","yes","n","n","1.32e-01"
"5948","EMT","6.81","n","n","n",NA
"5910","ACTIVATION GLUCOCORTICOID RECEPTOR","6.13","n","yes","n",NA
"5919","DECREASED PPAR-ALPHA ACTIVATION","6.13","n","yes","n",NA
"6998","INHIBITION NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","5.98","n","n","n",NA
"7004","BINDING OF INHIBITOR NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","5.98","yes","yes","n","1.12e-01"
"7605","COLLAGEN DEPOSITION","5.58","n","n","n",NA
"5826","ACCUMULATION COLLAGEN","5.15","n","n","n",NA
"5829","LUNG FIBROSIS","5.05","n","n","yes",NA
"7001","DECREASE IN MITOCHONDRIAL OXIDATIVE PHOSPHORYLATION","4.83","n","n","n",NA
"5946","EXPRESSION OF COLLAGEN","3.72","n","n","n",NA
"8176","MITOCHONDRIAL INJURY","3.69","n","n","n",NA
"5831","PULMONARY FIBROSIS","3.19","n","n","yes",NA
"5692","ACTIVATION AHR","3.08","n","yes","n",NA
"5917","DECREASED MITOCHONDRIAL FATTY ACID BETA OXIDATION","3.07","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","2.25","yes","n","n","1.43e+01"
"6525","ABNORMAL ROLE CHANGE WITHIN CASTE","2.21","n","n","n",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","1.72","n","n","n",NA
"6020","INCREASE ROS PRODUCTION","1.61","n","n","n",NA
"5774","INCREASE CA++ INTRACELLULAR","1.61","n","n","n",NA
"5775","DISRUPTION MITOCHONDRIAL ELECTRON TRANSPORT CHAIN","1.61","yes","n","n","1.07e-01"
"5777","INHIBITION CA++ ATPASE","1.61","n","yes","n",NA
"6202","INCREASED SECRETION OF LOCAL GROWTH FACTORS","1.54","yes","n","n","6.67e-02"
"5782","BDNF REDUCED","1.4","n","n","n",NA
"5864","RECRUITMENT OF INFLAMMATORY CELLS","1.28","n","n","n",NA
"8060","INCREASE IN RONS","1.25","n","n","n",NA
"5942","FIBROPROLIFERATIVE AIRWAY LESIONS","1.14","n","n","n",NA
"8252","BRONCHIOLITIS OBLITERANS","1.14","n","n","yes",NA
"7446","ALTERED GENE EXPRESSION","1.03","yes","n","n","1.07e-01"
"7535","ALTERED DIFFERENTIATION","1.03","n","n","n",NA
"8203","NEURAL TUBE DEFECTS","1.03","n","n","yes",NA
"6055","INHIBITION NMDARS","0.92","n","n","n",NA
"6059","BINDING OF ANTAGONIST NMDA RECEPTORS","0.92","n","yes","n",NA
"5779","DECREASED CALCIUM INFLUX","0.91","yes","n","n","1.43e+01"
"6036","INCREASE CELL PROLIFERATION","0.74","yes","n","n","1.64e-02"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","0.74","yes","n","yes","1.64e-02"
"5875","INCREASE MUTATIONS","0.73","yes","n","n","1.64e-02"
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","0.63","n","n","n",NA
"5944","CHOLESTASIS PATHOLOGY","0.52","n","n","yes",NA
"7185","DIFFERENTIATION OF FIBROBLASTS","0.48","n","n","n",NA
