"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","89.06","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","66.52","yes","n","n","1.00e-01"
"5780","IMPAIRMENT LEARNING AND MEMORY","53.39","yes","n","yes","2.47e-01"
"5856","PEPTIDE OXIDATION","52.64","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","52.47","yes","n","n","2.47e-01"
"5802","NEUROINFLAMMATION","48.82","n","n","n",NA
"6013","OXIDATIVE STRESS ","41.93","n","n","n",NA
"6080","INCREASE DNA DAMAGE","39.73","n","n","n",NA
"6536","DEATH/FAILURE COLONY","38.44","n","n","yes",NA
"6125","ACTIVATION PPARΑ","36.64","n","yes","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","36.5","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","34.16","n","n","yes",NA
"5800","N/A NEURODEGENERATION","33.06","n","n","yes",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","33.02","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","31.32","n","n","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","30.87","n","n","n",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","28.23","n","n","n",NA
"6521","REDUCED FOOD STORAGE","25.62","n","n","n",NA
"8060","INCREASE IN RONS","24.44","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","21.89","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","21.61","n","n","n",NA
"5875","INCREASE MUTATIONS","20.89","yes","n","n","1.00e-01"
"6454","INCREASED REACTIVE OXYGEN SPECIES","19.61","yes","n","n","1.88e-01"
"6036","INCREASE CELL PROLIFERATION","17.41","n","n","n",NA
"5766","INCREASE APOPTOSIS","17.29","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","17.09","n","n","n",NA
"5782","BDNF REDUCED","16.68","n","n","n",NA
"5756","DECREASE OOGENESIS","16.66","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","16.42","n","n","n",NA
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","16.35","n","n","n",NA
"6475","ACTIVATION NRF2","16.28","n","yes","n",NA
"6476","ACTIVATION NR1H4","16.28","n","yes","n",NA
"6478","ACTIVATION FXR","16.28","n","n","n",NA
"6480","ACTIVATION SHP","16.28","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","16.1","n","n","n",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","15.43","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","15.02","n","n","n",NA
"6005","WEAKENED COLONY","14.91","n","n","n",NA
"6022","INCREASED LIVER STEATOSIS","14.42","yes","n","yes","1.88e-01"
"6229","TH SYNTHESIS DECREASED","14.41","n","n","n",NA
