"nodes","name","%ppp","matched","mie","ao","pod"
"6454","INCREASED REACTIVE OXYGEN SPECIES","95.21","yes","n","n","1.19e-03"
"5787","CELL INJURY/DEATH","94.28","n","n","n",NA
"6022","INCREASED LIVER STEATOSIS","85.26","yes","n","n","1.19e-03"
"5780","IMPAIRMENT LEARNING AND MEMORY","76.73","n","n","yes",NA
"6080","INCREASE DNA DAMAGE","63.04","n","n","n",NA
"5824","INCREASED DE NOVO FA SYNTHESIS","60.94","yes","n","n","1.22e-03"
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","59.39","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","54.18","n","n","n",NA
"5800","N/A NEURODEGENERATION","53.17","n","n","yes",NA
"6536","DEATH/FAILURE COLONY","53.13","n","n","yes",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","52.11","n","n","n",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","51.16","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","49.19","n","n","n",NA
"5802","NEUROINFLAMMATION","49.03","n","n","n",NA
"7289","INCREASED OXIDATIVE STRESS","48","yes","n","n","2.38e-03"
"6013","OXIDATIVE STRESS ","47.36","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","47.22","n","n","yes",NA
"6125","ACTIVATION PPARΑ","44.93","n","yes","n",NA
"6024","ACCUMULATION FATTY ACID","43.93","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","40.75","n","n","n",NA
"6301","INCREASED TRIGLYCERIDE FORMATION","40.21","n","n","n",NA
"6521","REDUCED FOOD STORAGE","35.42","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","33.06","n","yes","n",NA
"5972","ACTIVATION LXR","32.73","n","yes","n",NA
"6126","ACTIVATION LXR ALPHA","30.47","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","24.46","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","23.62","n","n","n",NA
"6480","ACTIVATION SHP","23.03","n","n","n",NA
"6475","ACTIVATION NRF2","21.5","n","yes","n",NA
"6476","ACTIVATION NR1H4","21.5","n","yes","n",NA
"6478","ACTIVATION FXR","21.5","n","n","n",NA
"6005","WEAKENED COLONY","19.68","n","n","n",NA
"6528","IMPAIRED LARVAL DEVELOPMENT","19.68","n","n","yes",NA
"6144","DEMETHYLATION PPARG PROMOTER","16.7","n","n","n",NA
"5766","INCREASE APOPTOSIS","16.3","n","n","n",NA
"5756","DECREASE OOGENESIS","15.83","n","n","n",NA
"8060","INCREASE IN RONS","13.63","n","n","n",NA
"5705","INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION","13.01","n","n","n",NA
"6497","DECREASE OVULATION","12.05","n","n","n",NA
"5982","ACTIVATION SREBF1","11.69","n","n","n",NA
"6148","ACTIVATION SREBP-1","11.01","n","n","n",NA
"5806","RELEASE CYTOKINE","10.98","yes","n","n","1.93e-03"
"5856","PEPTIDE OXIDATION","10.69","n","n","n",NA
"5864","RECRUITMENT OF INFLAMMATORY CELLS","9.95","n","n","n",NA
"7794","INCREASE FOLLICULAR ATRESIA","7.91","n","n","n",NA
"6530","REDUCED BROOD CARE","7.87","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","7.66","n","n","n",NA
"6162","DECREASE FECUNDITY","7.56","n","n","yes",NA
"6136","ACTIVATION HSD17B4","6.89","n","n","n",NA
"5821","ACTIVATION CHREBP","6.78","n","n","n",NA
"5973","UP REGULATION ACETYL-COA CARBOXYLASE-1 ACC-1","6.77","n","n","n",NA
"5984","UP REGULATION FAS","6.77","n","n","n",NA
"5843","DECLINE POPULATION","5.67","n","n","yes",NA
"5685","DECREASE POPULATION TRAJECTORY","5.55","n","n","yes",NA
"5987","INHIBITION PPAR ALPHA","5.36","n","yes","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","5.05","n","n","n",NA
"5692","ACTIVATION AHR","4.81","n","yes","n",NA
"5709","INCREASED FA INFLUX","4.6","n","n","n",NA
"6499","REDUCED REPRODUCTIVE SUCCESS","3.55","yes","n","yes","1.53e-03"
"5782","BDNF REDUCED","3.41","n","n","n",NA
"5707","UP REGULATION CD36","3.07","n","n","n",NA
"6486","INHIBITION LXR","3.06","n","n","n",NA
"5875","INCREASE MUTATIONS","2.99","yes","n","n","6.39e-04"
"6036","INCREASE CELL PROLIFERATION","2.91","n","n","n",NA
"5841","REDUCTION CUMULATIVE FECUNDITY AND SPAWNING","2.83","n","n","n",NA
"6335","ALTERATION FOOD-WEB STRUCTURES","2.83","n","n","yes",NA
"6142","ACTIVATION NADPH OXIDASE","2.8","n","yes","n",NA
"6229","TH SYNTHESIS DECREASED","2.73","n","n","n",NA
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","2.72","yes","n","yes","1.01e-03"
"6349","INCREASED INDUCED MUTATIONS IN CRITICAL GENES","2.72","yes","n","n","1.01e-03"
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","2.52","n","n","n",NA
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","2.14","n","n","n",NA
"6525","ABNORMAL ROLE CHANGE WITHIN CASTE","1.97","n","n","n",NA
"6308","DECREASE FERTILITY","1.89","n","n","yes",NA
"6234","T4 IN SERUM DECREASED","1.86","n","n","n",NA
"6249","T4 IN NEURONAL TISSUE DECREASED","1.86","n","n","n",NA
"5713","UP REGULATION LDLR LOW DENSITY LIPOPROTEIN RECEPTOR","1.69","n","n","n",NA
"6462","INCREASED LDL UPTAKE","1.69","yes","n","n","1.19e-03"
"6413","INHIBITION NA+/I- SYMPORTER NIS","1.67","n","yes","n",NA
"5697","UP REGULATION SCD-1","1.53","n","n","n",NA
"5906","INCREASED LIPOGENESIS","1.53","n","n","n",NA
"7668","INCREASE CYTOSOLIC FATTY ACID","1.53","n","n","n",NA
"5826","ACCUMULATION COLLAGEN","1.41","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","1.4","yes","n","n","1.09e-03"
"7463","INCREASE MUTATIONS","1.06","yes","n","n","6.39e-04"
"5860","INCREASE INFLAMMATION","1.03","yes","n","n","3.21e-03"
"6415","THYROIDAL IODIDE DECREASED","0.99","n","n","n",NA
"6241","THYROPEROXIDASE INHIBITION","0.99","n","yes","n",NA
"6237","GABAERGIC INTERNEURONS DECREASED","0.93","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","0.85","n","n","n",NA
"5794","ACTIVATION STELLATE CELLS","0.82","n","n","n",NA
"5831","PULMONARY FIBROSIS","0.81","n","n","yes",NA
"5935","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB","0.81","yes","n","n","1.09e-03"
"6062","ACTIVATION CASPASE 8 PATHWAY","0.81","n","n","n",NA
"5904","ACTIVATION FAS","0.77","n","n","n",NA
"5978","ACTIVATION SCD-1","0.77","n","n","n",NA
"5917","DECREASED MITOCHONDRIAL FATTY ACID BETA OXIDATION","0.76","n","n","n",NA
"5910","ACTIVATION GLUCOCORTICOID RECEPTOR","0.71","n","yes","n",NA
"6341","CLONAL EXPANSION/CELL PROLIFERATION TO FORM ALTERED HEPATIC FOCI AHF","0.68","yes","n","n","1.01e-03"
"6362","REDUCED PRESYNAPTIC RELEASE OF GLUTAMATE","0.68","n","n","n",NA
"6365","DOWN REGULATION K-CL CO-TRANSPORTER 2 KCC2 ","0.68","n","n","n",NA
"6426","DELAY DEVELOPMENTAL GABA SHIFT ","0.68","n","n","n",NA
