"nodes","name","%ppp","matched","mie","ao","pod"
"6454","INCREASED REACTIVE OXYGEN SPECIES","99.1","yes","n","n","1.07e-01"
"6022","INCREASED LIVER STEATOSIS","98.91","yes","n","n","1.07e-01"
"5787","CELL INJURY/DEATH","96.59","n","n","n",NA
"6024","ACCUMULATION FATTY ACID","74.22","yes","n","n","1.07e-01"
"6013","OXIDATIVE STRESS ","71.44","n","n","n",NA
"5780","IMPAIRMENT LEARNING AND MEMORY","70.73","n","n","yes",NA
"5824","INCREASED DE NOVO FA SYNTHESIS","66.45","n","n","n",NA
"5802","NEUROINFLAMMATION","53.97","n","n","n",NA
"5856","PEPTIDE OXIDATION","52.7","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","52.3","n","n","n",NA
"6301","INCREASED TRIGLYCERIDE FORMATION","49.67","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","47.74","n","n","n",NA
"6536","DEATH/FAILURE COLONY","45.16","n","n","yes",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","44.93","n","n","n",NA
"6080","INCREASE DNA DAMAGE","44.74","n","n","n",NA
"5800","N/A NEURODEGENERATION","43.87","n","n","yes",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","43.62","n","n","n",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","43.21","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","41.54","n","n","n",NA
"5972","ACTIVATION LXR","40.27","n","yes","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","39.88","n","n","yes",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","39.47","n","yes","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","38.11","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","36.55","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","36.24","n","n","n",NA
"6125","ACTIVATION PPARΑ","33.4","n","yes","n",NA
"6126","ACTIVATION LXR ALPHA","33.23","n","n","n",NA
"6521","REDUCED FOOD STORAGE","29.91","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","29.86","yes","n","n","1.84e-01"
"7289","INCREASED OXIDATIVE STRESS","28.71","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","25.87","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","20.17","n","n","n",NA
"5709","INCREASED FA INFLUX","19.64","n","n","n",NA
