"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","98.95","n","n","n",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","61.9","yes","n","n","2.42e+01"
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","58.17","n","n","n",NA
"5856","PEPTIDE OXIDATION","56.24","n","n","n",NA
"6080","INCREASE DNA DAMAGE","56.04","n","n","n",NA
"5802","NEUROINFLAMMATION","53.97","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","52.58","yes","n","n","1.44e+01"
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","46.07","n","n","n",NA
"6013","OXIDATIVE STRESS ","42.81","n","n","n",NA
"5780","IMPAIRMENT LEARNING AND MEMORY","41.56","n","n","yes",NA
"5806","RELEASE CYTOKINE","40.55","yes","n","n","2.84e+01"
"5864","RECRUITMENT OF INFLAMMATORY CELLS","40.55","n","n","n",NA
"5875","INCREASE MUTATIONS","36.47","yes","n","n","1.20e+01"
"5804","NEURONAL NETWORK FUNCTION DECREASED","35.16","n","n","n",NA
"6036","INCREASE CELL PROLIFERATION","32.79","n","n","n",NA
"6033","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","31.61","n","n","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","31.61","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","31.33","n","n","n",NA
"8176","MITOCHONDRIAL INJURY","30.55","n","n","n",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","30.11","n","n","n",NA
"8060","INCREASE IN RONS","29.1","n","n","n",NA
"6536","DEATH/FAILURE COLONY","28.92","n","n","yes",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","28.55","n","n","n",NA
"6345","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","28.38","n","n","yes",NA
"6349","INCREASED INDUCED MUTATIONS IN CRITICAL GENES","28.38","yes","n","n","1.20e+01"
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","27.71","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","26.64","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","25.58","n","n","yes",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","24.51","n","n","n",NA
"7463","INCREASE MUTATIONS","22.79","yes","n","n","1.44e+01"
"5798","SYNAPTOGENESIS DECREASED ","22.44","n","n","n",NA
"6125","ACTIVATION PPARΑ","22.24","n","yes","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","22.24","n","n","n",NA
"6022","INCREASED LIVER STEATOSIS","21.35","yes","n","n","2.42e+01"
"7289","INCREASED OXIDATIVE STRESS","21.19","n","n","n",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","19.4","n","n","n",NA
"6521","REDUCED FOOD STORAGE","19.18","n","n","n",NA
"6024","ACCUMULATION FATTY ACID","17.08","n","n","n",NA
"6176","ACTIVATION PXR/SXR","17.08","yes","yes","n","2.59e+01"
"5782","BDNF REDUCED","15.96","n","n","n",NA
"7001","DECREASE IN MITOCHONDRIAL OXIDATIVE PHOSPHORYLATION","15.77","n","n","n",NA
"5766","INCREASE APOPTOSIS","14.13","n","n","n",NA
"6229","TH SYNTHESIS DECREASED","13.83","n","n","n",NA
"5756","DECREASE OOGENESIS","13.45","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","12.91","n","n","n",NA
"6177","INHIBITION FOXA2","12.81","n","n","n",NA
"5800","N/A NEURODEGENERATION","12.07","n","n","yes",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","11.12","n","n","n",NA
"6162","DECREASE FECUNDITY","10.76","n","n","yes",NA
