"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","95","n","n","n",NA
"5780","IMPAIRMENT LEARNING AND MEMORY","79.19","n","n","yes",NA
"6454","INCREASED REACTIVE OXYGEN SPECIES","78.5","yes","n","n","1.59e+01"
"6022","INCREASED LIVER STEATOSIS","70.78","yes","n","n","3.16e+01"
"5804","NEURONAL NETWORK FUNCTION DECREASED","57.88","n","n","n",NA
"6013","OXIDATIVE STRESS ","57.84","n","n","n",NA
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","55.92","n","n","n",NA
"6536","DEATH/FAILURE COLONY","55.16","n","n","yes",NA
"5856","PEPTIDE OXIDATION","51.7","n","n","n",NA
"5802","NEUROINFLAMMATION","48.22","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","48.17","n","n","yes",NA
"5824","INCREASED DE NOVO FA SYNTHESIS","48.08","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","46.96","n","n","n",NA
"6312","ABNORMAL FORAGING ACTIVITY AND BEHAVIOR","43","yes","n","n","3.39e+01"
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","40.92","yes","n","n","2.31e+01"
"5798","SYNAPTOGENESIS DECREASED ","38.99","n","n","n",NA
"6080","INCREASE DNA DAMAGE","38.46","n","n","n",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","36.64","n","n","n",NA
"6521","REDUCED FOOD STORAGE","36.13","n","n","n",NA
"5972","ACTIVATION LXR","34.74","n","yes","n",NA
"7855","GLUTAMATE DYSHOMEOSTASIS","33.49","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","32.78","n","n","n",NA
"6301","INCREASED TRIGLYCERIDE FORMATION","32.05","n","n","n",NA
"7289","INCREASED OXIDATIVE STRESS","31.71","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","31.12","n","yes","n",NA
"5800","N/A NEURODEGENERATION","27.79","yes","n","yes","4.21e+01"
"6125","ACTIVATION PPARΑ","25.73","n","yes","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","24.86","n","n","n",NA
