"nodes","name","%ppp","matched","mie","ao","pod"
"5787","CELL INJURY/DEATH","88.14","n","n","n",NA
"5998","N/A MITOCHONDRIAL DYSFUNCTION 1","85.04","yes","n","n","1.00e-04"
"5856","PEPTIDE OXIDATION","80.13","n","n","n",NA
"5802","NEUROINFLAMMATION","60.56","n","n","n",NA
"6007","IMPAIRED PROTEOSTASIS","58.14","yes","n","n","1.00e-04"
"5780","IMPAIRMENT LEARNING AND MEMORY","57.82","yes","n","yes","1.12e-04"
"6310","ABNORMAL ROLL CHANGE WITHIN CASTE","53.69","n","n","n",NA
"6125","ACTIVATION PPARΑ","52.13","n","yes","n",NA
"6140","INCREASE GENES INVOLVED IN FATTY ACID OXIDATION","42.7","n","n","n",NA
"5804","NEURONAL NETWORK FUNCTION DECREASED","38.39","n","n","n",NA
"5800","N/A NEURODEGENERATION","37.44","n","n","yes",NA
"5810","INCREASED PRO-INFLAMMATORY MEDIATORS","37.34","n","n","n",NA
"6536","DEATH/FAILURE COLONY","37.18","n","n","yes",NA
"6080","INCREASE DNA DAMAGE","35.98","n","n","n",NA
"6009","DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","34.05","n","n","n",NA
"6519","DECREASE NUMBER OF WORKER BEES","33.04","n","n","yes",NA
"6017","INCREASED REACTIVE OXYGEN SPECIES IN THE MITOCHONDRIA","30.72","n","n","n",NA
"8176","MITOCHONDRIAL INJURY","29.1","n","n","n",NA
"5798","SYNAPTOGENESIS DECREASED ","28.72","n","n","n",NA
"8060","INCREASE IN RONS","27.86","n","n","n",NA
"5766","INCREASE APOPTOSIS","25.13","n","n","n",NA
"6476","ACTIVATION NR1H4","24.91","yes","yes","n","1.23e-04"
"6521","REDUCED FOOD STORAGE","24.78","n","n","n",NA
"6480","ACTIVATION SHP","23.61","n","n","n",NA
"6475","ACTIVATION NRF2","22.31","n","yes","n",NA
"6478","ACTIVATION FXR","22.3","n","n","n",NA
"5808","TISSUE RESIDENT CELL ACTIVATION","21.66","n","n","n",NA
"7419","INCREASE PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","21.35","n","n","n",NA
"5756","DECREASE OOGENESIS","20.65","n","n","n",NA
"6003","IMPAIRED HIVE THERMOREGULATION","16.53","n","n","n",NA
"6528","IMPAIRED LARVAL DEVELOPMENT","16.52","n","n","yes",NA
"8065","LEUKOCYTE RECRUITMENT/ACTIVATION","16.18","n","n","n",NA
"6497","DECREASE OVULATION","16.17","n","n","n",NA
"6013","OXIDATIVE STRESS ","16.03","n","n","n",NA
"6144","DEMETHYLATION PPARG PROMOTER","12.48","n","n","n",NA
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","12.48","yes","yes","n","1.23e-04"
"6148","ACTIVATION SREBP-1","12.44","n","n","n",NA
"6142","ACTIVATION NADPH OXIDASE","12.43","yes","yes","n","1.16e-04"
"6005","WEAKENED COLONY","12.4","n","n","n",NA
"5792","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","12.14","n","n","n",NA
"6162","DECREASE FECUNDITY","11.2","n","n","yes",NA
"7794","INCREASE FOLLICULAR ATRESIA","10.33","n","n","n",NA
"5782","BDNF REDUCED","9.63","n","n","n",NA
"5843","DECLINE POPULATION","9.02","n","n","yes",NA
"5692","ACTIVATION AHR","8.65","yes","yes","n","1.02e-04"
"5690","UP REGULATION CYP1A1","8.64","yes","n","n","1.02e-04"
"7855","GLUTAMATE DYSHOMEOSTASIS","8.51","n","n","n",NA
"6530","REDUCED BROOD CARE","8.26","n","n","n",NA
"5685","DECREASE POPULATION TRAJECTORY","8.15","n","n","yes",NA
"6229","TH SYNTHESIS DECREASED","7.71","n","n","n",NA
"5875","INCREASE MUTATIONS","6.65","yes","n","n","3.57e-05"
