"nodes","name","%ppp","matched","mie","ao","pod"
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","19.46","yes","yes","n","3.18e+00"
"6475","ACTIVATION NRF2","18.35","yes","yes","n","4.15e+00"
"5692","ACTIVATION AHR","5.67","yes","yes","n","1.76e+00"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","2.33","yes","yes","n","1.08e+01"
"5919","DECREASED PPAR-ALPHA ACTIVATION","2.04","yes","yes","n","3.15e+00"
"5910","ACTIVATION GLUCOCORTICOID RECEPTOR","1.97","yes","yes","n","3.15e+00"
"7395","INHIBITION DUAL OXIDASE","1.61","yes","yes","n","1.08e+01"
"5777","INHIBITION CA++ ATPASE","0.23","yes","yes","n","8.06e+00"
"5717","AGONISM ANDROGEN RECEPTOR","0.05","yes","yes","n","4.13e+00"
"5870","ALKYLATION DNA","0.01","yes","yes","n","6.06e+00"
"6769","DECREASED ANDROGEN RECEPTOR ACTIVITY","0","yes","yes","n","5.86e+00"
"6176","ACTIVATION PXR/SXR","0","yes","yes","n","5.30e+00"
