"nodes","name","%ppp","matched","mie","ao","pod"
"6513","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR","6","yes","yes","n","1.78e+00"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","1.75","yes","yes","n","1.33e+00"
"5777","INHIBITION CA++ ATPASE","1.28","yes","yes","n","1.42e+00"
"7395","INHIBITION DUAL OXIDASE","1.18","yes","yes","n","1.33e+00"
"6796","ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNEL","0.14","yes","yes","n","8.81e-01"
"7159","ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNELS","0.14","yes","yes","n","8.81e-01"
"6561","INHIBITION SODIUM CHANNEL","0.11","yes","yes","n","1.54e+00"
"6142","ACTIVATION NADPH OXIDASE","0.08","yes","yes","n","1.37e+00"
"7115","INHIBITION DEIODINASE 2","0.06","yes","yes","n","7.91e-01"
"7139","INHIBITION DEIODINASE 1","0.06","yes","yes","n","7.91e-01"
"6992","BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS","0.04","yes","yes","n","1.26e+00"
"6387","COVALENT BINDING PROTEIN","0.02","yes","yes","n","1.04e+00"
"5833","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE","0.01","yes","yes","n","8.15e-01"
