"nodes","name","%ppp","matched","mie","ao","pod"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","9.62","yes","yes","n","1.00e+01"
"7395","INHIBITION DUAL OXIDASE","6.61","yes","yes","n","1.00e+01"
"6176","ACTIVATION PXR/SXR","0.94","yes","yes","n","1.07e+01"
"6475","ACTIVATION NRF2","0.34","yes","yes","n","2.65e+01"
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","0.17","yes","yes","n","2.58e+01"
"7115","INHIBITION DEIODINASE 2","0.01","yes","yes","n","1.98e+01"
"7139","INHIBITION DEIODINASE 1","0.01","yes","yes","n","1.98e+01"
"6866","INHIBITION PROLYL HYDROXYLASES","0.01","yes","yes","n","1.22e+01"
"6876","INHIBITION HMG-COA REDUCTASE","0.01","yes","yes","n","2.34e+01"
"6778","INCREASE DOPAMINERGIC ACTIVITY","0","yes","yes","n","1.36e+01"
