"nodes","name","%ppp","matched","mie","ao","pod"
"6476","ACTIVATION NR1H4","24.91","yes","yes","n","1.23e-04"
"6445","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","12.48","yes","yes","n","1.23e-04"
"6142","ACTIVATION NADPH OXIDASE","12.43","yes","yes","n","1.16e-04"
"5692","ACTIVATION AHR","8.65","yes","yes","n","1.02e-04"
"6413","INHIBITION NA+/I- SYMPORTER NIS","4.96","yes","yes","n","1.29e-04"
"7432","ACTIVATION ESTROGEN RECEPTOR","0.62","yes","yes","n","1.11e-04"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","0.41","yes","yes","n","1.80e-04"
"7395","INHIBITION DUAL OXIDASE","0.28","yes","yes","n","1.80e-04"
"5972","ACTIVATION LXR","0.02","yes","yes","n","6.79e-05"
"5742","INHIBITION AROMATASE","0.02","yes","yes","n","4.71e-05"
"6151","REDUCTION IN OVARIAN GRANULOSA CELLS AROMATASE CYP19A1","0.02","yes","yes","n","4.71e-05"
"6980","DECREASE INTRACELLULAR PH","0.01","yes","yes","n","4.55e-05"
"6729","ACTIVATION CONSTITUTIVE ANDROSTANE RECEPTOR","0","yes","yes","n","6.04e-05"
