"","V1","V2","V3"
"1","BINDING OF S PROTEIN TO ACE RECEPTOR","8504","mie"
"2","FRUSTRATED PHAGOYTOSIS","8408","mie"
"3","MITOCHONDRIAL COMPLEX V INHIBITION","8172","mie"
"4","MITOCHONDRIAL COMPLEX IV INHIBITION","8169","mie"
"5","MITOCHONDRIAL COMPLEX III INHIBITION","8164","mie"
"6","HISTONE DEACETYLASE INHIBITION","8087","mie"
"7","ACTIVATION ESTROGEN RECEPTOR","7432","mie"
"8","UNKNOWN MIE","7326","mie"
"9","INHIBITION CYCLOOXYGENASE 1 ACTIVITY","7312","mie"
"10","BINDING OF ANTAGONIST PPAR ALPHA","7111","mie"
"11","BINDING OF INHIBITOR NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","7004","mie"
"12","INHIBITION ORGANIC ANION TRANSPORTER 1 OAT1","6995","mie"
"13","BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS","6992","mie"
"14","INHIBITION PHOSPHOLIPASE A","6910","mie"
"15","INHIBITION PYRUVATE DEHYDROGENASE KINASE PDK ENZYME","6749","mie"
"16","BINDING AT PICROTOXIN SITE IGABAR CHLORIDE CHANNEL","6674","mie"
"17","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR","6513","mie"
"18","ACTIVATION NR1H4","6476","mie"
"19","ACTIVATION NRF2","6475","mie"
"20","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","6445","mie"
"21","ACTIVATION PXR/SXR","6176","mie"
"22","ALKYLATION PROTEIN","6171","mie"
"23","DECREASED PPAR-GAMMA ACTIVATION","6160","mie"
"24","DECREASED PPAR-BETA ACTIVATION","6158","mie"
"25","ACTIVATION NADPH OXIDASE","6142","mie"
"26","ACTIVATION PPARΑ","6125","mie"
"27","INHIBITION PPAR ALPHA","5987","mie"
"28","ACTIVATION LXR","5972","mie"
"29","DECREASED PPAR-ALPHA ACTIVATION","5919","mie"
"30","ACTIVATION GLUCOCORTICOID RECEPTOR","5910","mie"
"31","INHIBITION CA++ ATPASE","5777","mie"
"32","INHIBITION BILE SALT EXPORT PUMP ABCB11","5768","mie"
"33","ACTIVATION AHR","5692","mie"
"34","BRONCHIOLITIS OBLITERANS","8252","ao"
"35","NEURAL TUBE DEFECTS","8203","ao"
"36","LIVER CANCER","7861","ao"
"37","REDUCE SPERM COUNT","7792","ao"
"38","REPRODUCTIVE FAILURE","7578","ao"
"39","LIVER INJURY","7576","ao"
"40","N/A BREAST CANCER","7458","ao"
"41","INCREASED MESOTHELIOMAS","7296","ao"
"42","HYPERTENSION","7065","ao"
"43","PARKINSONIAN MOTOR DEFICITS","7009","ao"
"44","LUNG CANCER","6989","ao"
"45","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS","6832","ao"
"46","DECREASED SURVIVAL","6578","ao"
"47","REDUCED SURVIVAL","6575","ao"
"48","INCREASED PREDATION","6572","ao"
"49","DEATH/FAILURE COLONY","6536","ao"
"50","IMPAIRED LARVAL DEVELOPMENT","6528","ao"
"51","DECREASE NUMBER OF WORKER BEES","6519","ao"
"52","REDUCED REPRODUCTIVE SUCCESS","6499","ao"
"53","INCREASE SITE OF CONTACT NASAL TUMORS","6354","ao"
"54","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","6345","ao"
"55","ALTERATION FOOD-WEB STRUCTURES","6335","ao"
"56","DECREASED POPULATION 1","6321","ao"
"57","DECREASE FERTILITY","6308","ao"
"58","DECREASE FECUNDITY","6162","ao"
"59","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","6089","ao"
"60","INCREASE LUNG CANCER","6038","ao"
"61","CHOLESTASIS PATHOLOGY","5944","ao"
"62","INCREASE CANCER","5877","ao"
"63","INCREASE HERITABLE MUTATIONS IN OFFSPRING","5871","ao"
"64","DECLINE POPULATION","5843","ao"
"65","PULMONARY FIBROSIS","5831","ao"
"66","LUNG FIBROSIS","5829","ao"
"67","N/A LIVER FIBROSIS","5827","ao"
"68","N/A NEURODEGENERATION","5800","ao"
"69","NEURODEGENERATION","5796","ao"
"70","NECROTIC TISSUE","5788","ao"
"71","IMPAIRMENT LEARNING AND MEMORY","5780","ao"
"72","DECREASE POPULATION TRAJECTORY","5685","ao"
"73","DECREASED POPULATION TRAJECTORY","5679","ao"
"74","INCREASED MORTALITY","5677","ao"
