"","V1","V2","V3"
"1","ACTIVATION NRF2","6475","mie"
"2","ACTIVATION LXR","5972","mie"
"3","BRONCHIOLITIS OBLITERANS","8252","ao"
"4","NEURAL TUBE DEFECTS","8203","ao"
"5","LIVER CANCER","7861","ao"
"6","REDUCE SPERM COUNT","7792","ao"
"7","TESTICULAR ATROPHY","7580","ao"
"8","REPRODUCTIVE FAILURE","7578","ao"
"9","LIVER INJURY","7576","ao"
"10","N/A BREAST CANCER","7458","ao"
"11","INCREASED MESOTHELIOMAS","7296","ao"
"12","HYPERTENSION","7065","ao"
"13","PARKINSONIAN MOTOR DEFICITS","7009","ao"
"14","LUNG CANCER","6989","ao"
"15","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS","6832","ao"
"16","DECREASED SURVIVAL","6578","ao"
"17","REDUCED SURVIVAL","6575","ao"
"18","INCREASED PREDATION","6572","ao"
"19","DEATH/FAILURE COLONY","6536","ao"
"20","IMPAIRED LARVAL DEVELOPMENT","6528","ao"
"21","DECREASE NUMBER OF WORKER BEES","6519","ao"
"22","REDUCED REPRODUCTIVE SUCCESS","6499","ao"
"23","INCREASE SITE OF CONTACT NASAL TUMORS","6354","ao"
"24","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","6345","ao"
"25","ALTERATION FOOD-WEB STRUCTURES","6335","ao"
"26","DECREASED POPULATION 1","6321","ao"
"27","IMPAIRED FERTILITY","6317","ao"
"28","MALFORMATION MALE REPRODUCTIVE TRACT","6316","ao"
"29","DECREASE FERTILITY","6308","ao"
"30","DECREASE FECUNDITY","6162","ao"
"31","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","6089","ao"
"32","INCREASE LUNG CANCER","6038","ao"
"33","INCREASED LIVER STEATOSIS","6022","ao"
"34","APOPTOSIS","5996","ao"
"35","CHOLESTASIS PATHOLOGY","5944","ao"
"36","INCREASE CANCER","5877","ao"
"37","INCREASE HERITABLE MUTATIONS IN OFFSPRING","5871","ao"
"38","DECLINE POPULATION","5843","ao"
"39","PULMONARY FIBROSIS","5831","ao"
"40","LUNG FIBROSIS","5829","ao"
"41","N/A LIVER FIBROSIS","5827","ao"
"42","N/A NEURODEGENERATION","5800","ao"
"43","NEURODEGENERATION","5796","ao"
"44","NECROTIC TISSUE","5788","ao"
"45","IMPAIRMENT LEARNING AND MEMORY","5780","ao"
"46","DECREASE POPULATION TRAJECTORY","5685","ao"
"47","DECREASED POPULATION TRAJECTORY","5679","ao"
"48","INCREASED MORTALITY","5677","ao"
