"","V1","V2","V3"
"1","ACTIVATION ESTROGEN RECEPTOR","7432","mie"
"2","INHIBITION DUAL OXIDASE","7395","mie"
"3","INHIBITION IODOTYROSINE DEIODINASE IYD","7387","mie"
"4","DECREASE INTRACELLULAR PH","6980","mie"
"5","ACTIVATION NR1H4","6476","mie"
"6","SUPPRESSION CONSTITUTIVE ANDROSTANE RECEPTOR NR1L3","6445","mie"
"7","INHIBITION NA+/I- SYMPORTER NIS","6413","mie"
"8","ACTIVATION NADPH OXIDASE","6142","mie"
"9","ACTIVATION LXR","5972","mie"
"10","ACTIVATION AHR","5692","mie"
"11","BRONCHIOLITIS OBLITERANS","8252","ao"
"12","NEURAL TUBE DEFECTS","8203","ao"
"13","LIVER CANCER","7861","ao"
"14","REDUCE SPERM COUNT","7792","ao"
"15","REPRODUCTIVE FAILURE","7578","ao"
"16","LIVER INJURY","7576","ao"
"17","N/A BREAST CANCER","7458","ao"
"18","INCREASED MESOTHELIOMAS","7296","ao"
"19","HYPERTENSION","7065","ao"
"20","PARKINSONIAN MOTOR DEFICITS","7009","ao"
"21","LUNG CANCER","6989","ao"
"22","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS","6832","ao"
"23","DECREASED SURVIVAL","6578","ao"
"24","REDUCED SURVIVAL","6575","ao"
"25","INCREASED PREDATION","6572","ao"
"26","DEATH/FAILURE COLONY","6536","ao"
"27","IMPAIRED LARVAL DEVELOPMENT","6528","ao"
"28","DECREASE NUMBER OF WORKER BEES","6519","ao"
"29","REDUCED REPRODUCTIVE SUCCESS","6499","ao"
"30","INCREASE SITE OF CONTACT NASAL TUMORS","6354","ao"
"31","TUMORIGENESIS HEPATOCELLULAR CARCINOMA","6345","ao"
"32","ALTERATION FOOD-WEB STRUCTURES","6335","ao"
"33","DECREASED POPULATION 1","6321","ao"
"34","IMPAIRED FERTILITY","6317","ao"
"35","DECREASE FERTILITY","6308","ao"
"36","DECREASE FECUNDITY","6162","ao"
"37","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","6089","ao"
"38","INCREASE LUNG CANCER","6038","ao"
"39","CHOLESTASIS PATHOLOGY","5944","ao"
"40","INCREASE CANCER","5877","ao"
"41","INCREASE HERITABLE MUTATIONS IN OFFSPRING","5871","ao"
"42","DECLINE POPULATION","5843","ao"
"43","PULMONARY FIBROSIS","5831","ao"
"44","LUNG FIBROSIS","5829","ao"
"45","N/A LIVER FIBROSIS","5827","ao"
"46","N/A NEURODEGENERATION","5800","ao"
"47","NEURODEGENERATION","5796","ao"
"48","NECROTIC TISSUE","5788","ao"
"49","IMPAIRMENT LEARNING AND MEMORY","5780","ao"
"50","DECREASE POPULATION TRAJECTORY","5685","ao"
"51","DECREASED POPULATION TRAJECTORY","5679","ao"
"52","INCREASED MORTALITY","5677","ao"
